,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37025,1,2024-11-04,@,Texas State,L,44,64,17,58,.293,5,24,.208,5,15,.333,10,29,7,7,0,13,15,,20,48,.417,7,15,.467,17,21,.810,8,40,13,8,4,12,16,2025,eastern-michigan
37026,2,2024-11-08,,Siena Heights,W,83,58,30,55,.545,6,18,.333,17,28,.607,14,44,21,8,7,17,15,,23,64,.359,6,28,.214,6,8,.750,7,23,10,11,1,15,21,2025,eastern-michigan
37027,3,2024-11-14,@,IU Indianapolis,W,74,71,26,60,.433,10,24,.417,12,17,.706,9,35,10,8,5,12,21,,16,60,.267,8,33,.242,31,35,.886,15,35,10,8,4,12,17,2025,eastern-michigan
37028,4,2024-11-16,@,Cleveland State,L,63,71,23,56,.411,7,20,.350,10,14,.714,9,25,12,8,4,16,17,,27,52,.519,5,14,.357,12,18,.667,8,29,13,6,6,13,17,2025,eastern-michigan
37029,5,2024-11-21,@,Oakland,W,68,64,23,60,.383,9,24,.375,13,16,.813,10,31,17,1,0,6,22,,23,47,.489,3,18,.167,15,22,.682,4,32,12,4,3,11,18,2025,eastern-michigan
37030,6,2024-11-25,@,Houston Christian,W,74,73,29,51,.569,5,15,.333,11,14,.786,6,27,14,11,4,15,14,,28,55,.509,9,20,.450,8,15,.533,9,25,12,8,4,13,15,2025,eastern-michigan
37031,7,2024-11-26,N,Northern Arizona,W,72,68,24,55,.436,5,20,.250,19,28,.679,8,29,11,7,6,8,14,,27,65,.415,7,27,.259,7,12,.583,16,44,10,5,2,14,19,2025,eastern-michigan
37032,8,2024-11-30,,Detroit Mercy,L (1 OT),89,98,28,59,.475,11,28,.393,22,27,.815,6,29,16,6,2,14,21,,34,62,.548,9,14,.643,21,24,.875,7,30,17,9,1,14,25,2025,eastern-michigan
37033,9,2024-12-03,@,Loyola (IL),L,54,76,19,45,.422,7,20,.350,9,18,.500,3,14,11,13,3,12,13,,29,53,.547,9,22,.409,9,13,.692,12,38,21,5,1,17,18,2025,eastern-michigan
37034,10,2024-12-15,,Purdue Fort Wayne,L,76,99,29,61,.475,6,21,.286,12,18,.667,12,33,13,5,3,10,16,,35,64,.547,20,39,.513,9,18,.500,9,33,23,6,3,9,17,2025,eastern-michigan
37035,11,2024-12-21,,Wright State,W,86,82,29,58,.500,9,23,.391,19,26,.731,12,33,14,6,1,14,12,,31,60,.517,7,17,.412,13,16,.813,8,24,13,11,3,9,22,2025,eastern-michigan
37036,12,2024-12-28,@,Davidson,L,64,86,23,57,.404,9,27,.333,9,12,.750,4,22,12,4,1,9,24,,26,49,.531,12,24,.500,22,31,.710,6,34,16,4,1,9,17,2025,eastern-michigan
37037,13,2025-01-04,,Northern Illinois,W,75,71,27,60,.450,5,23,.217,16,22,.727,9,34,14,5,1,10,15,,21,53,.396,10,23,.435,19,21,.905,3,28,12,4,2,13,20,2025,eastern-michigan
37038,14,2025-01-07,@,Toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,eastern-michigan
37039,15,2025-01-11,,Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,eastern-michigan
37040,16,2025-01-14,@,Central Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,eastern-michigan
37041,17,2025-01-18,@,Bowling Green State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,eastern-michigan
37042,18,2025-01-21,,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,eastern-michigan
37043,19,2025-01-25,,Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,eastern-michigan
