,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37057,1,2024-11-04,@,Colorado,L,56,76,21,58,.362,5,16,.313,9,14,.643,5,24,13,14,4,15,18,,27,59,.458,9,23,.391,13,17,.765,13,43,16,12,5,18,13,2025,eastern-washington
37058,2,2024-11-06,,Seattle,W,93,86,34,59,.576,9,22,.409,16,20,.800,3,27,23,8,1,6,20,,28,59,.475,12,22,.545,18,26,.692,6,23,18,3,0,10,19,2025,eastern-washington
37059,3,2024-11-11,@,Missouri,L,77,84,29,56,.518,9,25,.360,10,12,.833,6,26,16,7,1,14,25,,26,48,.542,10,18,.556,22,31,.710,7,27,13,8,3,12,13,2025,eastern-washington
37060,4,2024-11-17,,Cal Poly,L,78,82,29,60,.483,9,27,.333,11,16,.688,6,26,17,16,2,19,14,,33,64,.516,11,31,.355,5,11,.455,10,31,20,15,3,21,15,2025,eastern-washington
37061,5,2024-11-21,N,Washington State,L,81,96,31,65,.477,3,19,.158,16,22,.727,8,25,11,10,4,14,19,,32,64,.500,16,30,.533,16,22,.727,14,37,24,10,4,21,22,2025,eastern-washington
37062,6,2024-11-23,@,California Baptist,L,68,79,22,54,.407,7,20,.350,17,21,.810,10,24,11,6,2,11,15,,32,57,.561,6,19,.316,9,12,.750,8,29,16,7,3,13,17,2025,eastern-washington
37063,7,2024-11-26,@,UCSB,L,51,67,18,61,.295,5,22,.227,10,17,.588,15,31,10,6,1,10,15,,24,48,.500,10,24,.417,9,12,.750,5,33,15,6,3,15,19,2025,eastern-washington
37064,8,2024-11-30,@,Utah,L,80,88,26,57,.456,11,30,.367,17,18,.944,5,28,17,4,5,10,26,,28,58,.483,4,19,.211,28,45,.622,15,36,14,4,4,8,18,2025,eastern-washington
37065,9,2024-12-04,,North Dakota,W,87,81,31,62,.500,12,22,.545,13,18,.722,13,30,20,4,3,7,20,,28,55,.509,6,18,.333,19,28,.679,12,32,10,5,3,8,15,2025,eastern-washington
37066,10,2024-12-07,@,South Dakota State,L,53,74,16,44,.364,4,22,.182,17,22,.773,2,21,10,11,1,14,21,,26,64,.406,7,31,.226,15,16,.938,15,43,16,7,2,13,19,2025,eastern-washington
37067,11,2024-12-10,@,Washington,L,69,87,28,56,.500,5,17,.294,8,11,.727,6,24,12,12,2,15,14,,34,56,.607,10,19,.526,9,15,.600,8,30,17,12,1,14,15,2025,eastern-washington
37068,12,2024-12-21,,Lincoln (CA),W,107,63,45,74,.608,4,16,.250,13,17,.765,11,43,27,13,5,8,9,,23,61,.377,10,26,.385,7,8,.875,4,21,12,4,0,18,13,2025,eastern-washington
37069,13,2024-12-30,,Eastern Oregon,W,89,63,29,60,.483,11,25,.440,20,22,.909,4,35,19,5,5,13,9,,27,68,.397,4,19,.211,5,9,.556,8,32,12,8,3,13,18,2025,eastern-washington
37070,14,2025-01-02,,Montana,L,81,92,29,63,.460,8,24,.333,15,17,.882,12,32,11,4,4,15,20,,31,55,.564,8,19,.421,22,24,.917,3,21,23,14,3,6,17,2025,eastern-washington
37071,15,2025-01-04,,Montana State,W,68,63,25,56,.446,1,14,.071,17,20,.850,6,31,9,7,6,8,20,,19,52,.365,6,22,.273,19,23,.826,2,28,11,7,3,12,20,2025,eastern-washington
37072,16,2025-01-09,@,Portland State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,eastern-washington
37073,17,2025-01-11,@,Sacramento State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,eastern-washington
37074,18,2025-01-18,@,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,eastern-washington
37075,19,2025-01-20,@,Montana State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,eastern-washington
37076,20,2025-01-23,,Northern Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,eastern-washington
37077,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,eastern-washington
37078,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,eastern-washington
37079,21,2025-01-25,,Northern Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,eastern-washington
37080,22,2025-01-30,@,Idaho State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,eastern-washington
37081,23,2025-02-01,@,Weber State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,eastern-washington
37082,24,2025-02-06,,Sacramento State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,eastern-washington
37083,25,2025-02-08,,Portland State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,eastern-washington
