,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37090,1,2024-11-04,@,UNC,L,76,90,26,61,.426,13,29,.448,11,14,.786,9,37,11,4,5,15,12,,32,80,.400,13,32,.406,13,16,.813,15,39,22,11,7,6,13,2025,elon
37091,2,2024-11-09,,Bluefield University,W,103,66,35,66,.530,12,35,.343,21,31,.677,14,47,19,6,3,11,12,,24,68,.353,6,24,.250,12,16,.750,10,32,12,7,2,14,23,2025,elon
37092,3,2024-11-15,@,Gardner-Webb,L,79,80,26,55,.473,8,23,.348,19,27,.704,8,27,13,4,3,11,16,,26,59,.441,10,23,.435,18,22,.818,14,31,16,5,8,9,20,2025,elon
37093,4,2024-11-20,@,Northern Illinois,W,75,48,23,49,.469,7,21,.333,22,27,.815,12,51,9,8,6,14,14,,18,59,.305,9,27,.333,3,10,.300,6,23,13,8,2,12,20,2025,elon
37094,5,2024-11-22,@,Notre Dame,W,84,77,32,56,.571,7,15,.467,13,17,.765,7,30,19,4,4,10,11,,29,61,.475,12,29,.414,7,9,.778,7,22,15,7,2,6,19,2025,elon
37095,6,2024-11-29,N,Maine,L,56,69,18,48,.375,6,24,.250,14,18,.778,9,31,12,5,5,18,12,,26,59,.441,7,22,.318,10,11,.909,7,26,21,11,2,7,15,2025,elon
37096,7,2024-11-30,N,Navy,W,69,63,20,64,.313,10,31,.323,19,26,.731,13,43,12,6,5,8,17,,21,66,.318,8,31,.258,13,16,.813,10,36,10,5,2,8,20,2025,elon
37097,8,2024-12-01,@,Penn,W,68,53,28,58,.483,6,17,.353,6,10,.600,11,43,19,4,6,7,9,,19,64,.297,8,37,.216,7,9,.778,11,28,11,4,2,6,14,2025,elon
37098,9,2024-12-07,,Wofford,W,79,56,28,47,.596,11,22,.500,12,16,.750,6,38,19,7,8,16,12,,21,73,.288,9,39,.231,5,8,.625,17,31,16,8,0,8,14,2025,elon
37099,10,2024-12-14,,Virginia-Lynchburg,W,114,52,46,89,.517,12,43,.279,10,20,.500,29,65,25,8,4,10,6,,22,62,.355,3,15,.200,5,7,.714,4,19,1,8,4,16,15,2025,elon
37100,11,2024-12-18,@,ETSU,L,58,84,18,53,.340,6,26,.231,16,33,.485,12,34,6,4,1,9,15,,31,58,.534,7,22,.318,15,21,.714,8,38,18,8,6,7,23,2025,elon
37101,12,2024-12-21,,UNC Greensboro,W,73,69,23,60,.383,4,23,.174,23,33,.697,21,44,9,8,4,12,10,,26,56,.464,10,24,.417,7,9,.778,5,22,12,10,1,10,20,2025,elon
37102,13,2024-12-28,,Marshall,W,73,59,23,57,.404,8,24,.333,19,25,.760,10,39,14,6,6,10,15,,21,68,.309,6,30,.200,11,14,.786,14,29,14,6,4,12,24,2025,elon
37103,14,2025-01-02,@,North Carolina A&T,W,75,67,23,59,.390,7,25,.280,22,27,.815,18,43,12,2,3,8,12,,23,64,.359,11,26,.423,10,16,.625,13,32,13,6,2,6,19,2025,elon
37104,15,2025-01-04,,Hampton,W,70,62,20,46,.435,5,21,.238,25,37,.676,8,35,9,5,8,11,9,,25,69,.362,8,28,.286,4,7,.571,13,30,13,8,4,6,25,2025,elon
37105,16,2025-01-09,@,William & Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,elon
37106,17,2025-01-11,,Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,elon
37107,18,2025-01-16,@,Drexel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,elon
37108,19,2025-01-18,@,Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,elon
37109,20,2025-01-23,,Monmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,elon
37110,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,elon
37111,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,elon
37112,21,2025-01-25,,College of Charleston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,elon
37113,22,2025-01-30,,Hofstra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,elon
37114,23,2025-02-01,,Northeastern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,elon
37115,24,2025-02-06,@,Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,elon
37116,25,2025-02-08,@,College of Charleston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,elon
37117,26,2025-02-13,,North Carolina A&T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,elon
37118,27,2025-02-15,@,UNC Wilmington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,elon
37119,28,2025-02-20,,Towson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,elon
37120,29,2025-02-22,,William & Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,elon
37121,30,2025-02-27,@,Monmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,elon
37122,31,2025-03-01,@,Stony Brook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,elon
