,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37123,1,2024-11-05,@,North Texas,L,63,80,22,47,.468,8,26,.308,11,17,.647,3,21,11,4,4,13,18,,26,57,.456,9,24,.375,19,24,.792,13,33,12,10,0,8,11,2025,evansville
37124,2,2024-11-09,,Brescia,W,96,49,40,71,.563,13,33,.394,3,10,.300,10,47,24,5,5,9,12,,19,65,.292,3,20,.150,8,12,.667,6,27,4,6,1,8,8,2025,evansville
37125,3,2024-11-13,@,Middle Tennessee,L,63,80,21,61,.344,4,28,.143,17,25,.680,8,26,9,6,3,12,18,,29,59,.492,2,15,.133,20,23,.870,12,44,9,5,6,16,20,2025,evansville
37126,4,2024-11-16,,Radford,L,81,92,27,54,.500,17,35,.486,10,14,.714,8,23,20,7,4,11,16,,35,55,.636,10,19,.526,12,19,.632,7,26,16,7,1,9,12,2025,evansville
37127,5,2024-11-19,@,Ohio State,L,30,80,11,58,.190,3,27,.111,5,10,.500,4,23,3,3,4,11,20,,28,54,.519,7,21,.333,17,26,.654,8,46,15,9,5,9,16,2025,evansville
37128,6,2024-11-22,,Green Bay,W,98,81,37,62,.597,9,21,.429,15,17,.882,7,42,21,6,4,19,18,,25,62,.403,10,36,.278,21,23,.913,4,20,11,11,1,10,13,2025,evansville
37129,7,2024-11-24,,Campbell,W,66,53,23,51,.451,6,24,.250,14,20,.700,6,32,15,11,4,11,18,,16,49,.327,5,22,.227,16,18,.889,3,27,7,9,0,14,15,2025,evansville
37130,8,2024-12-03,@,Murray State,L,61,63,25,57,.439,4,19,.211,7,12,.583,6,26,8,12,9,8,18,,22,51,.431,7,19,.368,12,18,.667,6,35,9,4,1,14,14,2025,evansville
37131,9,2024-12-07,,Western Kentucky,L,65,79,22,61,.361,9,31,.290,12,16,.750,5,32,14,7,7,10,14,,27,61,.443,10,24,.417,15,18,.833,5,36,14,8,2,10,16,2025,evansville
37132,10,2024-12-12,,Chattanooga,L,67,75,24,54,.444,10,28,.357,9,13,.692,5,26,18,7,5,15,11,,29,58,.500,12,26,.462,5,6,.833,5,27,18,8,0,13,12,2025,evansville
37133,11,2024-12-18,@,UT Arlington,L,54,80,17,55,.309,4,24,.167,16,23,.696,7,22,10,8,1,10,24,,21,54,.389,11,30,.367,27,36,.750,14,46,12,6,2,16,19,2025,evansville
37134,12,2024-12-21,@,Ball State,L,43,80,16,55,.291,3,26,.115,8,15,.533,10,30,5,2,3,13,22,,27,54,.500,7,17,.412,19,28,.679,7,35,14,10,3,6,13,2025,evansville
37135,13,2024-12-29,,Missouri State,W,57,40,18,47,.383,8,22,.364,13,20,.650,5,31,10,8,4,11,12,,14,54,.259,5,25,.200,7,13,.538,10,38,11,8,1,13,17,2025,evansville
37136,14,2025-01-01,@,Southern Illinois,W,68,53,24,50,.480,5,15,.333,15,19,.789,4,31,11,7,6,11,14,,19,61,.311,6,31,.194,9,13,.692,12,34,10,5,4,13,16,2025,evansville
37137,15,2025-01-04,,Indiana State,L,62,66,22,54,.407,7,20,.350,11,18,.611,7,31,16,9,2,13,14,,22,54,.407,7,23,.304,15,17,.882,6,31,16,6,5,15,20,2025,evansville
37138,16,2025-01-08,,Illinois State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,evansville
37139,17,2025-01-11,@,Drake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,evansville
37140,18,2025-01-14,@,Northern Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,evansville
37141,19,2025-01-18,,Belmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,evansville
37142,20,2025-01-22,,UIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,evansville
37143,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,evansville
37144,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,evansville
37145,21,2025-01-25,@,Valparaiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,evansville
37146,22,2025-01-29,,Murray State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,evansville
37147,23,2025-02-02,@,Belmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,evansville
37148,24,2025-02-05,,Southern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,evansville
37149,25,2025-02-08,,Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,evansville
37150,26,2025-02-12,@,Missouri State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,evansville
37151,27,2025-02-16,,Valparaiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,evansville
37152,28,2025-02-19,@,Indiana State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,evansville
37153,29,2025-02-22,@,UIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,evansville
37154,30,2025-02-26,,Drake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,evansville
37155,31,2025-03-02,@,Illinois State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,evansville
