,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37156,1,2024-11-04,@,Rhode Island,L,58,96,19,70,.271,4,29,.138,16,27,.593,15,34,12,4,7,10,32,,28,52,.538,6,11,.545,34,41,.829,6,44,14,1,4,11,24,2025,fairfield
37157,2,2024-11-09,@,Georgetown,L,57,69,20,60,.333,8,22,.364,9,10,.900,10,29,12,12,1,17,16,,27,57,.474,6,20,.300,9,12,.750,12,36,15,13,6,16,15,2025,fairfield
37158,3,2024-11-12,@,New Hampshire,W,62,56,24,64,.375,3,16,.188,11,15,.733,10,37,10,4,3,7,14,,20,54,.370,4,20,.200,12,15,.800,4,30,9,3,2,11,16,2025,fairfield
37159,4,2024-11-15,,John Jay,W,93,44,35,67,.522,6,17,.353,17,28,.607,16,43,22,13,4,10,14,,18,59,.305,5,18,.278,3,7,.429,6,24,9,3,3,20,19,2025,fairfield
37160,5,2024-11-19,,Drexel,L,61,67,24,67,.358,7,28,.250,6,13,.462,14,33,10,10,3,6,15,,26,55,.473,7,20,.350,8,11,.727,9,38,11,3,5,13,13,2025,fairfield
37161,6,2024-11-23,N,Yale,L,66,91,20,50,.400,7,22,.318,19,25,.760,8,20,6,5,1,7,20,,33,55,.600,7,16,.438,18,20,.900,6,31,23,4,3,5,21,2025,fairfield
37162,7,2024-11-24,N,Vermont,W,67,66,26,51,.510,6,15,.400,9,12,.750,6,27,16,6,3,9,12,,22,49,.449,8,25,.320,14,17,.824,5,23,11,5,3,13,14,2025,fairfield
37163,8,2024-12-01,,FDU,W,78,74,27,64,.422,3,14,.214,21,29,.724,13,33,13,9,0,7,16,,26,54,.481,8,20,.400,14,19,.737,7,30,12,3,2,15,22,2025,fairfield
37164,9,2024-12-04,,Rider,W,78,75,30,62,.484,9,18,.500,9,14,.643,14,31,17,4,2,13,20,,27,55,.491,5,14,.357,16,26,.615,11,28,11,7,4,10,13,2025,fairfield
37165,10,2024-12-08,@,Mount St. Mary's,L,94,101,34,68,.500,10,30,.333,16,22,.727,11,31,17,3,7,6,20,,35,65,.538,10,23,.435,21,27,.778,11,33,23,4,5,5,19,2025,fairfield
37166,11,2024-12-18,,Central Connecticut,L,63,64,26,62,.419,11,26,.423,0,2,.000,6,25,13,7,3,9,7,,29,61,.475,5,15,.333,1,1,1.000,10,38,16,5,6,12,7,2025,fairfield
37167,12,2024-12-21,@,Monmouth,L,74,88,26,69,.377,8,29,.276,14,17,.824,18,38,14,10,3,13,16,,33,60,.550,9,19,.474,13,20,.650,10,32,17,8,6,13,16,2025,fairfield
37168,13,2024-12-28,@,Columbia,L,72,85,28,64,.438,13,29,.448,3,6,.500,9,24,21,4,2,7,15,,30,52,.577,9,22,.409,16,17,.941,4,30,15,4,2,10,12,2025,fairfield
37169,14,2025-01-03,@,Merrimack,L,54,67,21,57,.368,1,17,.059,11,13,.846,14,37,9,3,2,14,11,,26,52,.500,9,15,.600,6,10,.600,2,18,14,11,7,8,13,2025,fairfield
37170,15,2025-01-10,,Iona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fairfield
37171,16,2025-01-12,@,Marist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fairfield
37172,17,2025-01-16,,Niagara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fairfield
37173,18,2025-01-18,,Canisius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fairfield
