,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37222,1,2024-11-04,@,TCU,L,59,105,18,54,.333,8,34,.235,15,21,.714,7,26,8,3,0,12,15,,41,75,.547,14,30,.467,9,16,.563,15,44,29,8,3,5,21,2025,florida-am
37223,2,2024-11-07,@,SMU,L,73,102,22,61,.361,9,28,.321,20,26,.769,7,28,16,6,4,15,20,,35,66,.530,10,24,.417,22,27,.815,10,40,23,10,7,11,21,2025,florida-am
37224,3,2024-11-11,@,Maryland,L,53,84,20,51,.392,6,21,.286,7,17,.412,9,36,10,3,2,20,19,,31,64,.484,8,29,.276,14,21,.667,8,33,11,11,3,6,16,2025,florida-am
37225,4,2024-11-19,@,Florida,L,60,84,19,55,.345,5,21,.238,17,24,.708,9,33,5,2,3,15,21,,28,68,.412,10,34,.294,18,26,.692,18,46,17,11,5,7,17,2025,florida-am
37226,5,2024-11-22,,Trinity Baptist,W,110,68,39,73,.534,17,39,.436,15,22,.682,11,42,21,3,7,10,12,,26,75,.347,5,16,.313,11,15,.733,12,37,9,3,0,14,14,2025,florida-am
37227,6,2024-11-29,@,Clemson,L,58,86,23,55,.418,11,26,.423,1,6,.167,7,22,11,7,1,14,16,,30,60,.500,9,25,.360,17,20,.850,12,39,15,9,1,9,9,2025,florida-am
37228,7,2024-12-03,,Presbyterian,W,66,63,22,59,.373,7,24,.292,15,20,.750,8,33,11,12,8,12,18,,21,60,.350,7,22,.318,14,22,.636,16,42,11,8,4,20,18,2025,florida-am
37229,8,2024-12-06,,Trinity (FL),W,130,58,49,83,.590,17,39,.436,15,21,.714,15,41,20,14,4,5,10,,20,58,.345,9,26,.346,9,12,.750,8,26,2,3,2,26,13,2025,florida-am
37230,9,2024-12-17,@,Utah,L,59,89,20,53,.377,9,27,.333,10,14,.714,7,24,11,3,3,18,17,,34,62,.548,11,29,.379,10,24,.417,10,34,25,11,3,10,18,2025,florida-am
37231,10,2024-12-20,@,BYU,L,57,103,18,55,.327,10,34,.294,11,12,.917,2,23,12,5,1,18,21,,34,63,.540,15,34,.441,20,26,.769,9,43,25,9,1,11,13,2025,florida-am
37232,11,2024-12-29,@,Tarleton State,L,60,70,19,47,.404,6,19,.316,16,21,.762,4,31,12,5,5,19,17,,25,60,.417,4,9,.444,16,24,.667,10,33,13,13,6,10,12,2025,florida-am
37233,12,2025-01-04,,Bethune-Cookman,L,55,62,20,51,.392,7,29,.241,8,12,.667,5,26,12,6,4,15,13,,22,54,.407,8,18,.444,10,13,.769,7,32,8,7,3,12,9,2025,florida-am
37234,13,2025-01-11,@,Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-am
37235,14,2025-01-13,@,Grambling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-am
37236,15,2025-01-18,,Arkansas-Pine Bluff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-am
37237,16,2025-01-20,,Mississippi Valley State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-am
37238,17,2025-01-25,@,Alcorn State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-am
37239,18,2025-01-27,@,Jackson State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-am
37240,19,2025-02-01,,Alabama A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-am
37241,20,2025-02-03,,Alabama State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-am
37242,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,florida-am
37243,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,florida-am
37244,21,2025-02-08,@,Texas Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-am
37245,22,2025-02-10,@,Prairie View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-am
