,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37253,1,2024-11-04,N,Indiana State,W,97,64,34,61,.557,11,23,.478,18,27,.667,7,43,18,15,6,16,18,,21,64,.328,13,37,.351,9,14,.643,6,27,15,11,1,21,23,2025,florida-atlantic
37254,2,2024-11-08,,Coastal Georgia,W,99,49,36,77,.468,16,42,.381,11,19,.579,18,48,26,17,1,11,14,,18,48,.375,5,16,.313,8,16,.500,1,25,8,7,2,24,12,2025,florida-atlantic
37255,3,2024-11-12,@,UCF,L,94,100,29,64,.453,14,34,.412,22,29,.759,8,24,17,10,3,13,18,,32,60,.533,13,28,.464,23,25,.920,7,31,20,6,4,16,23,2025,florida-atlantic
37256,4,2024-11-15,@,College of Charleston,L (2 OT),116,119,42,76,.553,16,29,.552,16,22,.727,11,36,24,7,5,16,21,,42,82,.512,15,30,.500,20,24,.833,8,34,22,10,3,12,22,2025,florida-atlantic
37257,5,2024-11-16,N,Liberty,W (1 OT),77,74,30,59,.508,8,21,.381,9,12,.750,2,29,10,5,2,13,15,,26,61,.426,10,34,.294,12,21,.571,10,36,17,11,3,12,13,2025,florida-atlantic
37258,6,2024-11-21,N,Oklahoma State,W,86,78,22,52,.423,7,23,.304,35,49,.714,5,36,11,5,5,15,23,,25,73,.342,6,26,.231,22,32,.688,15,46,13,11,2,14,33,2025,florida-atlantic
37259,7,2024-11-22,N,Drake,L,63,75,20,43,.465,5,16,.313,18,25,.720,4,23,13,3,1,15,20,,23,50,.460,10,25,.400,19,25,.760,9,29,16,6,1,13,21,2025,florida-atlantic
37260,8,2024-11-24,N,Seton Hall,L,61,63,21,62,.339,4,28,.143,15,18,.833,11,36,9,4,0,10,16,,23,57,.404,10,22,.455,7,10,.700,7,31,9,6,5,13,20,2025,florida-atlantic
37261,9,2024-11-30,,Florida Gulf Coast,L,78,80,29,63,.460,17,40,.425,3,8,.375,9,31,22,4,6,7,12,,33,63,.524,12,23,.522,2,4,.500,7,31,14,5,0,9,9,2025,florida-atlantic
37262,10,2024-12-04,@,Florida International,W,88,77,36,68,.529,7,23,.304,9,12,.750,6,26,24,8,3,9,17,,29,62,.468,3,10,.300,16,21,.762,10,32,14,9,5,12,14,2025,florida-atlantic
37263,11,2024-12-10,,Jacksonville,W,85,63,30,68,.441,8,26,.308,17,26,.654,14,47,16,13,6,11,23,,17,55,.309,12,29,.414,17,27,.630,7,33,11,8,4,15,21,2025,florida-atlantic
