,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37189,1,2024-11-04,N,South Florida,W,98,83,33,63,.524,5,26,.192,27,33,.818,11,37,12,8,5,8,16,,28,63,.444,13,27,.481,14,17,.824,10,29,16,8,0,15,27,2025,florida
37190,2,2024-11-07,,Jacksonville,W,81,60,30,57,.526,7,24,.292,14,25,.560,12,33,19,10,10,10,7,,25,66,.379,7,24,.292,3,3,1.000,15,35,11,7,2,17,19,2025,florida
37191,3,2024-11-11,,Grambling,W,86,62,29,64,.453,7,23,.304,21,26,.808,17,45,13,11,5,12,18,,23,54,.426,2,12,.167,14,17,.824,3,21,4,6,4,15,20,2025,florida
37192,4,2024-11-15,@,Florida State,W,87,74,32,61,.525,10,28,.357,13,17,.765,13,47,12,2,4,19,21,,27,70,.386,7,20,.350,13,21,.619,14,28,12,10,5,8,16,2025,florida
37193,5,2024-11-19,,Florida A&M,W,84,60,28,68,.412,10,34,.294,18,26,.692,18,46,17,11,5,7,17,,19,55,.345,5,21,.238,17,24,.708,9,33,5,2,3,15,21,2025,florida
37194,6,2024-11-22,,Southern Illinois,W,93,68,35,75,.467,16,39,.410,7,14,.500,13,43,25,7,9,6,14,,25,72,.347,5,15,.333,13,18,.722,19,47,7,5,2,12,14,2025,florida
37195,7,2024-11-28,N,Wake Forest,W,75,58,23,58,.397,8,27,.296,21,27,.778,11,39,8,10,1,11,17,,21,56,.375,3,20,.150,13,15,.867,8,29,9,7,4,11,17,2025,florida
37196,8,2024-11-29,N,Wichita State,W,88,51,35,78,.449,14,33,.424,4,5,.800,17,51,20,6,8,8,16,,17,57,.298,5,22,.227,12,19,.632,4,25,9,2,4,9,9,2025,florida
37197,9,2024-12-04,,Virginia,W,87,69,31,60,.517,10,25,.400,15,21,.714,11,30,14,9,3,6,12,,26,57,.456,8,21,.381,9,10,.900,13,30,14,2,2,12,17,2025,florida
37198,10,2024-12-14,N,Arizona State,W,83,66,32,67,.478,10,30,.333,9,10,.900,10,43,17,7,5,14,19,,23,62,.371,7,25,.280,13,19,.684,5,25,9,7,4,11,11,2025,florida
37199,11,2024-12-17,N,UNC,W,90,84,30,65,.462,11,32,.344,19,27,.704,14,43,14,7,3,17,20,,33,72,.458,5,28,.179,13,19,.684,8,30,10,11,2,10,23,2025,florida
37200,12,2024-12-21,,North Florida,W,99,45,34,76,.447,9,20,.450,22,27,.815,25,62,20,11,5,11,15,,13,56,.232,8,34,.235,11,18,.611,5,21,9,7,3,17,18,2025,florida
37201,13,2024-12-29,,Stetson,W,85,45,35,69,.507,9,25,.360,6,9,.667,10,47,19,12,7,13,13,,18,68,.265,3,24,.125,6,8,.750,10,32,6,6,2,15,8,2025,florida
37202,14,2025-01-04,@,Kentucky,L,100,106,33,60,.550,12,33,.364,22,35,.629,12,33,16,3,4,8,20,,37,64,.578,14,29,.483,18,24,.750,8,26,25,6,2,5,20,2025,florida
37203,15,2025-01-07,,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida
37204,16,2025-01-11,@,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida
37205,17,2025-01-14,,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida
37206,18,2025-01-18,,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida
37207,19,2025-01-22,@,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida
37208,20,2025-01-25,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida
37209,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,florida
37210,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,florida
37211,21,2025-02-01,@,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida
37212,22,2025-02-04,,Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida
37213,23,2025-02-08,@,Auburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida
37214,24,2025-02-11,@,Mississippi State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida
