,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37319,1,2024-11-05,@,Rice,L,70,77,23,63,.365,6,18,.333,18,24,.750,9,38,12,11,4,11,31,,24,52,.462,6,24,.250,23,38,.605,8,34,16,3,5,15,18,2025,florida-international
37320,2,2024-11-09,@,Southern Utah,L,75,80,27,69,.391,5,22,.227,16,22,.727,12,28,12,11,3,15,27,,25,46,.543,2,12,.167,28,42,.667,5,32,12,7,4,24,18,2025,florida-international
37321,3,2024-11-14,,Florida National University,W,110,55,45,81,.556,9,30,.300,11,14,.786,17,49,30,15,5,11,15,,20,62,.323,8,24,.333,7,14,.500,10,27,14,7,4,22,11,2025,florida-international
37322,4,2024-11-18,,Howard,L,70,75,26,64,.406,5,29,.172,13,18,.722,7,27,15,6,4,9,16,,27,61,.443,8,22,.364,13,17,.765,11,38,19,5,1,14,17,2025,florida-international
37323,5,2024-11-22,N,Northeastern,L,58,60,26,56,.464,1,9,.111,5,11,.455,5,29,10,5,3,11,18,,22,53,.415,2,9,.222,14,22,.636,5,29,11,7,4,11,16,2025,florida-international
37324,6,2024-11-23,N,Cal State Bakersfield,W (1 OT),76,73,22,56,.393,9,23,.391,23,29,.793,6,24,11,7,6,12,20,,24,56,.429,7,17,.412,18,20,.900,5,30,14,7,4,13,23,2025,florida-international
37325,7,2024-11-24,@,Florida Gulf Coast,L,59,60,19,49,.388,5,18,.278,16,25,.640,7,33,8,6,1,13,15,,21,55,.382,7,27,.259,11,15,.733,8,29,13,9,0,10,21,2025,florida-international
37326,8,2024-12-04,,Florida Atlantic,L,77,88,29,62,.468,3,10,.300,16,21,.762,10,32,14,9,5,12,14,,36,68,.529,7,23,.304,9,12,.750,6,26,24,8,3,9,17,2025,florida-international
37327,9,2024-12-06,,,W,70,63,28,61,.459,4,16,.250,10,14,.714,10,37,17,5,10,14,10,,23,63,.365,8,23,.348,9,12,.750,8,31,9,9,1,12,14,2025,florida-international
37328,10,2024-12-14,@,Stetson,W,81,72,28,61,.459,5,18,.278,20,26,.769,11,38,13,9,6,9,22,,24,61,.393,6,24,.250,18,24,.750,9,30,8,5,4,10,18,2025,florida-international
37329,11,2024-12-17,@,East Carolina,L,64,75,26,56,.464,5,16,.313,7,18,.389,8,26,17,9,2,15,13,,28,58,.483,6,22,.273,13,15,.867,9,33,18,8,3,15,16,2025,florida-international
37330,12,2024-12-21,,IU Indianapolis,W,75,69,23,53,.434,8,15,.533,21,27,.778,7,26,13,10,10,10,15,,23,58,.397,13,32,.406,10,15,.667,10,31,16,6,6,13,22,2025,florida-international
37331,13,2024-12-30,,Utah Tech,W,80,66,30,55,.545,7,16,.438,13,22,.591,5,26,17,12,7,18,18,,21,54,.389,7,25,.280,17,24,.708,7,26,11,13,2,18,18,2025,florida-international
37332,14,2025-01-02,,Middle Tennessee,L,69,73,29,57,.509,6,15,.400,5,6,.833,6,29,17,9,7,18,16,,26,57,.456,6,19,.316,15,23,.652,6,26,13,11,4,14,11,2025,florida-international
37333,15,2025-01-04,,Western Kentucky,W,85,66,27,58,.466,11,22,.500,20,25,.800,12,36,16,16,6,24,19,,21,57,.368,4,22,.182,20,24,.833,6,20,9,20,3,20,19,2025,florida-international
37334,16,2025-01-09,@,Louisiana Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-international
37335,17,2025-01-11,@,Sam Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-international
37336,18,2025-01-16,,New Mexico State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-international
37337,19,2025-01-18,,UTEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-international
37338,20,2025-01-25,,Liberty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-international
37339,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,florida-international
37340,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,florida-international
37341,21,2025-01-30,@,Jacksonville State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-international
37342,22,2025-02-01,@,Kennesaw State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-international
37343,23,2025-02-06,,Sam Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-international
37344,24,2025-02-08,,Louisiana Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-international
37345,25,2025-02-13,@,UTEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-international
37346,26,2025-02-15,@,New Mexico State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-international
37347,27,2025-02-22,@,Liberty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-international
37348,28,2025-02-27,,Kennesaw State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-international
37349,29,2025-03-01,,Jacksonville State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-international
37350,30,2025-03-06,@,Western Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-international
37351,31,2025-03-08,@,Middle Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,florida-international
