,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37385,1,2024-11-04,@,St. John's (NY),L,60,92,20,55,.364,8,23,.348,12,20,.600,8,29,9,5,1,19,13,,36,66,.545,9,26,.346,11,15,.733,7,34,19,11,4,11,19,2025,fordham
37386,2,2024-11-09,@,Seton Hall,W,57,56,19,52,.365,7,24,.292,12,18,.667,9,34,13,8,6,14,19,,22,54,.407,4,9,.444,8,16,.500,9,34,13,7,4,12,17,2025,fordham
37387,3,2024-11-12,,Binghamton,W,78,63,23,60,.383,11,32,.344,21,30,.700,8,34,15,9,7,7,22,,23,54,.426,6,16,.375,11,19,.579,8,40,16,2,3,17,25,2025,fordham
37388,4,2024-11-15,@,Manhattan,L,76,78,27,72,.375,11,34,.324,11,14,.786,11,36,13,11,2,10,22,,26,62,.419,6,19,.316,20,28,.714,14,40,17,7,4,14,15,2025,fordham
37389,5,2024-11-19,,Georgian Court,W,101,61,34,65,.523,14,30,.467,19,30,.633,14,43,27,9,8,14,14,,24,62,.387,5,25,.200,8,9,.889,8,25,7,9,3,17,21,2025,fordham
37390,6,2024-11-22,,Drexel,L,71,73,28,60,.467,8,26,.308,7,11,.636,10,30,13,9,2,10,15,,27,53,.509,9,21,.429,10,11,.909,6,30,17,5,5,13,13,2025,fordham
37391,7,2024-11-25,N,Penn State,L,66,85,26,54,.481,4,18,.222,10,20,.500,7,27,16,9,1,14,24,,30,57,.526,5,14,.357,20,32,.625,11,37,13,5,1,11,19,2025,fordham
37392,8,2024-11-26,N,San Francisco,L,64,85,23,61,.377,9,28,.321,9,14,.643,11,29,13,6,0,10,19,,30,49,.612,11,20,.550,14,23,.609,8,31,19,7,2,11,16,2025,fordham
37393,9,2024-12-01,,New Hampshire,W,83,61,29,61,.475,8,23,.348,17,19,.895,14,42,13,11,3,18,13,,24,60,.400,5,19,.263,8,11,.727,8,26,11,8,2,15,18,2025,fordham
37394,10,2024-12-04,,FDU,W,84,75,30,65,.462,6,23,.261,18,23,.783,13,45,13,5,4,16,14,,28,65,.431,7,23,.304,12,18,.667,2,22,16,9,5,11,18,2025,fordham
37395,11,2024-12-08,,Maine,W,87,72,31,61,.508,9,19,.474,16,25,.640,12,42,19,10,5,14,17,,26,66,.394,3,12,.250,17,19,.895,7,28,11,9,1,13,17,2025,fordham
37396,12,2024-12-14,N,Bryant,W,86,84,30,69,.435,7,23,.304,19,22,.864,9,29,11,8,2,14,22,,27,61,.443,6,18,.333,24,31,.774,11,34,14,9,3,16,15,2025,fordham
37397,13,2024-12-21,,Albany (NY),W,87,83,30,60,.500,9,19,.474,18,23,.783,5,29,18,11,7,12,14,,31,63,.492,7,16,.438,14,18,.778,8,34,17,5,2,15,19,2025,fordham
37398,14,2024-12-31,,Saint Louis,L,63,88,24,61,.393,5,18,.278,10,14,.714,8,27,12,8,3,10,13,,35,58,.603,8,21,.381,10,14,.714,6,31,15,10,5,11,13,2025,fordham
37399,15,2025-01-04,,St. Bonaventure,L,66,86,24,55,.436,10,27,.370,8,9,.889,5,24,13,5,3,13,16,,31,59,.525,9,19,.474,15,18,.833,7,31,13,11,1,8,13,2025,fordham
37400,16,2025-01-08,@,VCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fordham
37401,17,2025-01-11,@,Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fordham
37402,18,2025-01-15,,UMass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fordham
37403,19,2025-01-22,@,Loyola (IL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fordham
37404,20,2025-01-26,,Duquesne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fordham
37405,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,fordham
37406,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,fordham
37407,21,2025-01-29,@,La Salle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fordham
37408,22,2025-02-01,@,St. Bonaventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fordham
37409,23,2025-02-05,,Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fordham
37410,24,2025-02-12,,Dayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fordham
37411,25,2025-02-15,@,Richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fordham
37412,26,2025-02-19,@,Duquesne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fordham
37413,27,2025-02-22,,Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fordham
