,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37418,1,2024-11-08,,Sacramento State,W,64,57,21,61,.344,8,30,.267,14,19,.737,12,40,10,8,4,13,13,,24,61,.393,8,30,.267,1,2,.500,8,32,9,4,5,15,17,2025,fresno-state
37419,2,2024-11-13,@,UCSB,L,86,91,31,67,.463,8,22,.364,16,24,.667,8,24,15,12,3,13,25,,27,52,.519,8,23,.348,29,33,.879,5,32,12,5,0,18,21,2025,fresno-state
37420,3,2024-11-16,@,Cal State Bakersfield,L,56,74,21,56,.375,2,16,.125,12,19,.632,6,24,5,7,6,15,18,,30,65,.462,5,17,.294,9,18,.500,18,47,11,5,4,17,18,2025,fresno-state
37421,4,2024-11-20,,Prairie View,W,94,83,35,72,.486,6,22,.273,18,25,.720,14,45,17,1,2,12,22,,30,72,.417,5,23,.217,18,26,.692,11,31,11,8,4,9,23,2025,fresno-state
37422,5,2024-11-23,@,Long Beach State,W,72,69,18,60,.300,6,26,.231,30,44,.682,16,41,10,10,0,8,12,,27,64,.422,12,29,.414,3,4,.750,9,37,16,7,2,18,26,2025,fresno-state
37423,6,2024-11-27,N,Washington State,L,73,84,27,63,.429,7,22,.318,12,21,.571,6,29,9,6,0,16,17,,34,64,.531,6,22,.273,10,18,.556,9,37,23,10,7,19,19,2025,fresno-state
37424,7,2024-11-28,N,California Baptist,L (2 OT),81,86,33,78,.423,4,21,.190,11,17,.647,12,47,7,3,4,14,13,,34,90,.378,9,34,.265,9,14,.643,18,49,14,6,4,6,17,2025,fresno-state
37425,8,2024-12-04,,San Diego State,L,62,84,18,67,.269,5,27,.185,21,30,.700,13,37,4,12,3,10,18,,33,68,.485,7,23,.304,11,17,.647,13,52,12,3,8,14,23,2025,fresno-state
37426,9,2024-12-07,@,Santa Clara,L,66,81,23,59,.390,6,15,.400,14,21,.667,5,28,10,10,2,17,16,,26,62,.419,13,31,.419,16,22,.727,12,41,20,13,4,16,17,2025,fresno-state
37427,10,2024-12-11,@,BYU,L,67,95,24,69,.348,12,37,.324,7,10,.700,8,25,17,9,1,10,11,,38,69,.551,14,34,.412,5,6,.833,10,44,18,3,3,17,13,2025,fresno-state
37428,11,2024-12-14,,San Diego,W,73,65,26,61,.426,3,17,.176,18,25,.720,13,37,9,10,6,12,14,,27,66,.409,5,21,.238,6,10,.600,15,38,10,6,2,17,23,2025,fresno-state
37429,12,2024-12-21,,California Baptist,L,69,86,27,58,.466,10,18,.556,5,12,.417,5,25,11,5,5,9,14,,34,65,.523,9,20,.450,9,11,.818,12,38,18,7,2,8,12,2025,fresno-state
37430,13,2024-12-28,@,UNLV,L,77,87,27,58,.466,13,29,.448,10,16,.625,6,26,19,7,4,9,15,,35,65,.538,10,24,.417,7,9,.778,10,38,19,5,0,10,15,2025,fresno-state
37431,14,2024-12-31,,New Mexico,L,89,103,29,67,.433,10,22,.455,21,31,.677,8,28,10,10,4,14,15,,41,70,.586,9,23,.391,12,15,.800,5,35,21,10,8,16,19,2025,fresno-state
37432,15,2025-01-04,@,Utah State,L,83,89,29,60,.483,7,20,.350,18,26,.692,8,33,19,8,2,14,24,,31,64,.484,9,26,.346,18,27,.667,10,34,22,11,4,10,17,2025,fresno-state
37433,16,2025-01-07,@,Colorado State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fresno-state
37434,17,2025-01-11,,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fresno-state
37435,18,2025-01-17,,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fresno-state
37436,19,2025-01-20,@,New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fresno-state
37437,20,2025-01-25,,Colorado State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fresno-state
37438,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,fresno-state
37439,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,fresno-state
37440,21,2025-01-28,@,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,fresno-state
