,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37515,1,2024-11-04,,North Carolina Central,W,75,58,21,51,.412,2,17,.118,31,41,.756,16,44,12,6,1,16,19,,16,57,.281,5,21,.238,21,25,.840,9,24,7,8,2,10,30,2025,george-mason
37516,2,2024-11-08,@,Marquette,L,63,82,22,58,.379,8,24,.333,11,15,.733,9,35,13,4,2,18,18,,26,67,.388,11,35,.314,19,26,.731,11,35,16,13,7,9,15,2025,george-mason
37517,3,2024-11-11,,Stony Brook,W,94,56,32,59,.542,11,27,.407,19,24,.792,10,39,19,12,0,10,19,,19,60,.317,5,26,.192,13,18,.722,12,29,9,5,2,14,19,2025,george-mason
37518,4,2024-11-13,,Central Michigan,L,69,70,20,49,.408,5,20,.250,24,34,.706,8,34,8,5,3,15,13,,25,61,.410,10,26,.385,10,12,.833,6,25,16,11,3,13,23,2025,george-mason
37519,5,2024-11-16,@,East Carolina,L (2 OT),77,78,26,60,.433,6,22,.273,19,25,.760,10,38,13,9,3,19,26,,24,71,.338,7,31,.226,23,32,.719,24,48,9,14,2,14,21,2025,george-mason
37520,6,2024-11-20,,Coppin State,W,93,55,32,53,.604,9,21,.429,20,30,.667,11,33,16,10,7,10,17,,19,57,.333,4,17,.235,13,19,.684,11,27,10,6,0,15,23,2025,george-mason
37521,7,2024-11-23,,Ferrum,W,100,55,36,68,.529,13,35,.371,15,21,.714,10,41,17,8,4,5,12,,19,59,.322,6,24,.250,11,13,.846,7,27,8,3,2,11,17,2025,george-mason
37522,8,2024-11-29,@,James Madison,W,66,61,23,47,.489,4,13,.308,16,24,.667,3,25,11,6,2,11,14,,23,64,.359,10,40,.250,5,7,.714,15,36,12,3,0,9,18,2025,george-mason
37523,9,2024-12-03,,UNC Asheville,W,74,52,27,43,.628,6,14,.429,14,23,.609,6,33,16,9,1,17,11,,20,52,.385,4,17,.235,8,13,.615,7,20,10,11,1,14,19,2025,george-mason
37524,10,2024-12-07,,Tulane,W,76,64,24,55,.436,8,20,.400,20,24,.833,9,35,12,5,2,9,12,,23,56,.411,10,27,.370,8,10,.800,6,25,12,4,4,7,21,2025,george-mason
37525,11,2024-12-17,@,Duke,L,47,68,20,68,.294,2,17,.118,5,6,.833,16,38,5,5,1,12,20,,21,56,.375,9,27,.333,17,21,.810,11,34,11,10,3,10,11,2025,george-mason
