,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37581,1,2024-11-06,,Lehigh,W,85,77,31,64,.484,5,22,.227,18,23,.783,16,40,12,7,8,13,17,,28,59,.475,10,23,.435,11,17,.647,6,24,16,7,1,13,18,2025,georgetown
37582,2,2024-11-09,,Fairfield,W,69,57,27,57,.474,6,20,.300,9,12,.750,12,36,15,13,6,16,15,,20,60,.333,8,22,.364,9,10,.900,10,29,12,12,1,17,16,2025,georgetown
37583,3,2024-11-16,,Notre Dame,L,63,84,22,70,.314,8,32,.250,11,16,.688,14,27,15,7,2,5,16,,32,54,.593,9,21,.429,11,12,.917,8,42,20,3,2,11,17,2025,georgetown
37584,4,2024-11-20,,Mount St. Mary's,W,79,51,32,64,.500,6,20,.300,9,12,.750,10,41,17,6,2,12,11,,21,67,.313,5,19,.263,4,6,.667,13,34,14,8,2,12,16,2025,georgetown
37585,5,2024-11-23,,Saint Francis (PA),W,82,65,30,69,.435,9,27,.333,13,19,.684,13,34,18,14,5,8,15,,22,56,.393,10,29,.345,11,15,.733,13,39,13,5,1,19,18,2025,georgetown
37586,6,2024-11-26,,Wagner,W,66,41,22,51,.431,7,22,.318,15,21,.714,7,28,16,14,6,10,11,,14,50,.280,7,19,.368,6,8,.750,11,30,10,6,2,15,17,2025,georgetown
37587,7,2024-11-30,,Albany (NY),W,100,68,41,65,.631,9,22,.409,9,9,1.000,6,33,26,12,3,15,17,,20,56,.357,7,22,.318,21,24,.875,7,21,6,14,1,17,14,2025,georgetown
37588,8,2024-12-02,,UMBC,W,86,62,33,68,.485,3,20,.150,17,22,.773,11,37,17,13,4,10,9,,25,63,.397,4,18,.222,8,9,.889,5,31,14,8,4,17,13,2025,georgetown
37589,9,2024-12-06,@,West Virginia,L,60,73,22,58,.379,9,27,.333,7,8,.875,10,29,8,5,4,14,16,,26,57,.456,9,26,.346,12,13,.923,5,28,13,8,6,10,11,2025,georgetown
37590,10,2024-12-14,@,Syracuse,W,75,71,31,65,.477,6,25,.240,7,11,.636,10,33,20,6,2,10,20,,23,54,.426,4,16,.250,21,29,.724,5,26,12,5,3,10,15,2025,georgetown
37591,11,2024-12-18,,Creighton,W,81,57,33,60,.550,10,16,.625,5,7,.714,8,37,17,12,4,13,13,,21,53,.396,12,33,.364,3,9,.333,5,21,10,6,5,16,8,2025,georgetown
37592,12,2024-12-22,@,Seton Hall,W,61,60,23,43,.535,4,12,.333,11,22,.500,5,28,14,7,6,16,21,,20,67,.299,3,24,.125,17,23,.739,20,37,8,9,6,8,20,2025,georgetown
37593,13,2024-12-28,,Coppin State,W,83,53,30,54,.556,8,18,.444,15,16,.938,13,43,21,4,8,19,13,,18,62,.290,7,19,.368,10,14,.714,12,22,9,13,3,8,17,2025,georgetown
37594,14,2025-01-03,,Xavier,W,69,63,25,56,.446,4,18,.222,15,25,.600,11,39,11,2,4,12,22,,20,57,.351,5,19,.263,18,25,.720,7,33,8,8,0,11,19,2025,georgetown
37595,15,2025-01-07,@,Marquette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,georgetown
37596,16,2025-01-11,,UConn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,georgetown
37597,17,2025-01-14,@,St. John's (NY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,georgetown
