,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37614,1,2024-11-04,,Tennessee Tech,W,83,78,34,66,.515,4,18,.222,11,18,.611,14,39,15,10,4,12,14,,30,61,.492,11,28,.393,7,11,.636,4,19,15,7,2,13,18,2025,georgia
37615,2,2024-11-10,,Texas Southern,W,92,64,25,59,.424,12,34,.353,30,39,.769,13,45,17,3,12,14,16,,24,65,.369,1,19,.053,15,19,.789,3,18,11,10,4,4,27,2025,georgia
37616,3,2024-11-12,,North Florida,W,90,77,31,59,.525,6,15,.400,22,28,.786,13,39,15,3,8,10,11,,30,70,.429,12,37,.324,5,6,.833,11,27,13,4,0,9,24,2025,georgia
37617,4,2024-11-15,@,Georgia Tech,W,77,69,26,56,.464,3,18,.167,22,31,.710,9,39,10,5,4,12,24,,23,63,.365,6,23,.261,17,22,.773,8,31,11,5,3,11,28,2025,georgia
37618,5,2024-11-19,,Alabama A&M,W,93,45,28,53,.528,9,25,.360,28,41,.683,15,44,18,16,7,16,15,,16,54,.296,6,21,.286,7,12,.583,6,16,8,11,4,21,29,2025,georgia
37619,6,2024-11-23,N,Marquette,L,69,80,24,54,.444,8,25,.320,13,19,.684,6,28,13,11,2,17,16,,29,58,.500,11,27,.407,11,15,.733,8,28,13,13,2,13,18,2025,georgia
37620,7,2024-11-24,N,St. John's (NY),W,66,63,24,49,.490,5,12,.417,13,16,.813,12,34,11,6,10,23,24,,19,61,.311,2,19,.105,23,28,.821,17,29,5,9,2,14,19,2025,georgia
37621,8,2024-11-30,,Jacksonville,W,102,56,36,54,.667,14,24,.583,16,21,.762,4,29,24,12,5,12,14,,20,57,.351,7,25,.280,9,13,.692,8,21,12,9,2,15,17,2025,georgia
37622,9,2024-12-03,,Notre Dame,W,69,48,28,63,.444,6,26,.231,7,9,.778,13,38,19,7,3,5,13,,19,52,.365,4,19,.211,6,9,.667,6,26,5,3,1,10,11,2025,georgia
37623,10,2024-12-14,N,Grand Canyon,W,73,68,27,53,.509,5,15,.333,14,17,.824,7,33,17,6,9,18,17,,23,63,.365,7,27,.259,15,17,.882,12,33,10,14,3,13,21,2025,georgia
37624,11,2024-12-19,,Buffalo,W,100,49,37,69,.536,14,34,.412,12,19,.632,14,39,24,15,6,5,14,,18,53,.340,4,19,.211,9,12,.750,5,24,8,3,4,18,17,2025,georgia
