,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37647,1,2024-11-04,,Northern Illinois,W,80,65,31,64,.484,12,27,.444,6,12,.500,8,32,17,14,2,15,21,,22,58,.379,8,30,.267,13,17,.765,8,34,12,9,5,19,15,2025,georgia-southern
37648,2,2024-11-08,@,UNC Wilmington,L,84,92,29,59,.492,8,22,.364,18,28,.643,7,25,9,7,1,14,38,,21,50,.420,5,25,.200,45,59,.763,12,43,12,6,6,12,23,2025,georgia-southern
37649,3,2024-11-11,,Augusta,W,79,69,27,63,.429,8,27,.296,17,20,.850,10,36,17,7,4,12,17,,25,63,.397,4,18,.222,15,22,.682,8,30,11,5,7,10,14,2025,georgia-southern
37650,4,2024-11-15,N,North Carolina Central,W,80,75,31,62,.500,7,29,.241,11,19,.579,16,40,11,9,1,19,19,,25,60,.417,5,24,.208,20,29,.690,13,30,12,10,0,18,17,2025,georgia-southern
37651,5,2024-11-16,@,Winthrop,W,89,87,30,68,.441,9,30,.300,20,28,.714,8,34,12,11,9,15,34,,24,51,.471,3,16,.188,36,49,.735,6,38,5,9,3,19,21,2025,georgia-southern
37652,6,2024-11-17,N,William & Mary,L,87,102,31,66,.470,10,33,.303,15,24,.625,12,35,7,5,1,16,21,,33,67,.493,16,44,.364,20,26,.769,6,30,18,9,1,10,20,2025,georgia-southern
37653,7,2024-11-23,,West Georgia,W,64,54,24,62,.387,12,34,.353,4,8,.500,11,37,13,7,3,20,14,,22,59,.373,6,21,.286,4,11,.364,7,31,14,12,3,15,11,2025,georgia-southern
37654,8,2024-11-30,@,Drake,L,47,61,17,45,.378,2,15,.133,11,16,.688,6,26,7,6,4,17,21,,20,51,.392,6,21,.286,15,22,.682,10,34,13,7,3,11,15,2025,georgia-southern
37655,9,2024-12-04,@,VCU,L,54,89,18,60,.300,6,21,.286,12,17,.706,12,30,9,8,2,14,25,,25,54,.463,12,32,.375,27,34,.794,12,37,18,6,6,12,14,2025,georgia-southern
37656,10,2024-12-07,,North Florida,W (1 OT),93,91,36,73,.493,9,24,.375,12,22,.545,10,43,23,7,4,14,12,,35,78,.449,14,45,.311,7,14,.500,7,33,18,6,2,11,19,2025,georgia-southern
37657,11,2024-12-13,@,Louisiana Tech,L,63,77,24,63,.381,11,31,.355,4,6,.667,10,30,14,6,1,13,11,,31,58,.534,9,22,.409,6,10,.600,9,32,21,10,4,12,6,2025,georgia-southern
37658,12,2024-12-17,,Gardner-Webb,W,86,81,27,72,.375,9,28,.321,23,29,.793,15,34,15,7,4,9,24,,27,54,.500,5,13,.385,22,25,.880,6,34,8,4,3,17,24,2025,georgia-southern
37659,13,2024-12-21,@,Texas State,L,61,83,20,65,.308,10,26,.385,11,19,.579,12,26,12,9,3,8,14,,30,56,.536,6,14,.429,17,20,.850,10,45,20,4,8,12,17,2025,georgia-southern
37660,14,2025-01-02,,Louisiana-Monroe,W,90,82,32,61,.525,15,33,.455,11,12,.917,11,32,21,8,5,14,18,,27,63,.429,12,30,.400,16,25,.640,11,26,14,10,2,8,10,2025,georgia-southern
37661,15,2025-01-04,,South Alabama,L,47,76,16,48,.333,8,31,.258,7,15,.467,8,31,13,7,3,21,19,,25,54,.463,10,24,.417,16,24,.667,9,36,17,13,5,10,16,2025,georgia-southern
37662,16,2025-01-08,@,Georgia State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,georgia-southern
37663,17,2025-01-11,@,Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,georgia-southern
37664,18,2025-01-16,@,Coastal Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,georgia-southern
37665,19,2025-01-18,@,Old Dominion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,georgia-southern
37666,20,2025-01-22,,Coastal Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,georgia-southern
37667,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,georgia-southern
37668,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,georgia-southern
37669,21,2025-01-25,,Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,georgia-southern
37670,22,2025-01-30,@,Troy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,georgia-southern
37671,23,2025-02-01,@,Southern Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,georgia-southern
37672,24,2025-02-05,,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,georgia-southern
37673,25,2025-02-13,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,georgia-southern
37674,26,2025-02-15,,Old Dominion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,georgia-southern
37675,27,2025-02-20,@,Appalachian State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,georgia-southern
37676,28,2025-02-22,@,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,georgia-southern
37677,29,2025-02-25,,Appalachian State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,georgia-southern
37678,30,2025-02-28,,Georgia State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,georgia-southern
