,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37679,1,2024-11-04,,Ball State,W,71,66,27,65,.415,2,11,.182,15,22,.682,14,48,14,3,3,6,18,,22,68,.324,8,33,.242,14,24,.583,14,41,11,1,0,6,16,2025,georgia-state
37680,2,2024-11-08,@,Mississippi State,L,66,101,22,64,.344,5,18,.278,17,25,.680,17,35,9,5,0,16,14,,42,72,.583,10,28,.357,7,10,.700,11,36,26,15,8,10,22,2025,georgia-state
37681,3,2024-11-13,@,Jacksonville State,L,67,72,24,69,.348,10,29,.345,9,14,.643,8,36,13,5,3,8,17,,26,65,.400,7,27,.259,13,17,.765,9,44,12,3,1,9,13,2025,georgia-state
37682,4,2024-11-18,,Toccoa Falls,W,106,66,43,84,.512,14,38,.368,6,9,.667,22,49,19,13,1,12,10,,26,57,.456,6,25,.240,8,15,.533,5,24,9,9,4,17,9,2025,georgia-state
37683,5,2024-11-22,,North Carolina Central,W,93,79,33,47,.702,9,17,.529,18,25,.720,7,29,15,2,6,12,16,,28,65,.431,9,23,.391,14,16,.875,13,20,18,7,1,6,19,2025,georgia-state
37684,6,2024-11-26,N,Austin Peay,L,50,62,15,39,.385,5,13,.385,15,23,.652,4,29,8,7,2,17,15,,20,50,.400,10,21,.476,12,19,.632,6,27,9,7,2,11,19,2025,georgia-state
37685,7,2024-11-27,N,Tulsa,W,74,71,27,62,.435,3,16,.188,17,23,.739,13,43,7,4,0,11,14,,27,64,.422,11,31,.355,6,11,.545,6,30,14,4,2,7,19,2025,georgia-state
37686,8,2024-11-29,@,Kentucky,L,76,105,26,56,.464,11,21,.524,13,20,.650,4,23,14,6,1,17,24,,40,67,.597,7,26,.269,18,22,.818,7,32,23,10,2,9,20,2025,georgia-state
37687,9,2024-12-06,,Kennesaw State,L,77,81,26,65,.400,9,24,.375,16,25,.640,15,41,15,6,2,12,22,,26,61,.426,9,29,.310,20,27,.741,7,31,14,8,5,11,19,2025,georgia-state
37688,10,2024-12-14,,Charlotte,L,63,77,20,58,.345,2,18,.111,21,29,.724,14,34,5,8,4,13,24,,25,48,.521,2,14,.143,25,36,.694,4,27,14,8,2,11,23,2025,georgia-state
