,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37711,1,2024-11-06,,West Georgia,W,85,62,33,68,.485,7,27,.259,12,17,.706,10,42,20,5,6,10,16,,23,64,.359,6,15,.400,10,18,.556,6,23,10,6,6,7,15,2025,georgia-tech
37712,2,2024-11-10,,North Florida,L,93,105,37,79,.468,13,29,.448,6,12,.500,13,38,22,4,2,10,20,,37,69,.536,9,31,.290,22,29,.759,9,38,12,3,4,8,14,2025,georgia-tech
37713,3,2024-11-12,,Texas Southern,W,81,62,22,58,.379,11,36,.306,26,34,.765,13,43,14,3,5,14,19,,22,66,.333,6,14,.429,12,22,.545,13,36,12,8,2,12,24,2025,georgia-tech
37714,4,2024-11-15,,Georgia,L,69,77,23,63,.365,6,23,.261,17,22,.773,8,31,11,5,3,11,28,,26,56,.464,3,18,.167,22,31,.710,9,39,10,5,4,12,24,2025,georgia-tech
37715,5,2024-11-23,,Cincinnati,L,58,81,21,59,.356,5,20,.250,11,20,.550,9,24,8,5,1,11,14,,32,62,.516,9,22,.409,8,12,.667,9,34,16,4,5,10,20,2025,georgia-tech
37716,6,2024-11-27,,Charleston Southern,W,91,67,38,72,.528,3,11,.273,12,20,.600,12,39,18,10,1,7,26,,17,56,.304,8,24,.333,25,35,.714,10,33,13,4,3,14,17,2025,georgia-tech
37717,7,2024-11-30,,Central Arkansas,W,87,68,29,61,.475,13,32,.406,16,20,.800,11,39,18,7,1,5,15,,21,57,.368,14,32,.438,12,14,.857,6,26,12,3,3,8,13,2025,georgia-tech
37718,8,2024-12-03,@,Oklahoma,L,61,76,22,53,.415,5,19,.263,12,18,.667,7,30,9,4,4,10,21,,20,52,.385,10,28,.357,26,30,.867,7,30,7,8,1,7,16,2025,georgia-tech
37719,9,2024-12-07,@,UNC,L,65,68,20,64,.313,8,27,.296,17,24,.708,9,34,9,5,4,14,20,,23,59,.390,5,24,.208,17,21,.810,9,43,10,11,2,18,18,2025,georgia-tech
37720,10,2024-12-15,N,Northwestern,L,60,71,22,56,.393,7,24,.292,9,13,.692,6,38,14,1,4,15,15,,26,65,.400,9,22,.409,10,16,.625,6,30,18,9,4,6,14,2025,georgia-tech
37721,11,2024-12-18,,UMBC,W,91,82,32,61,.525,8,16,.500,19,29,.655,14,41,24,7,5,14,15,,30,58,.517,10,25,.400,12,19,.632,2,22,18,9,0,13,19,2025,georgia-tech
