,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37744,1,2024-11-04,,Baylor,W,101,63,40,71,.563,13,31,.419,8,13,.615,15,43,24,8,3,11,18,,23,62,.371,3,21,.143,14,20,.700,13,31,11,8,4,11,14,2025,gonzaga
37745,2,2024-11-10,,Arizona State,W,88,80,31,62,.500,8,24,.333,18,22,.818,8,36,22,8,1,8,10,,30,63,.476,9,29,.310,11,12,.917,4,25,8,5,3,10,18,2025,gonzaga
37746,3,2024-11-15,,UMass-Lowell,W,113,54,41,76,.539,10,22,.455,21,27,.778,11,40,21,16,7,9,20,,18,50,.360,3,16,.188,15,20,.750,2,27,6,4,2,24,19,2025,gonzaga
37747,4,2024-11-18,@,San Diego State,W,80,67,24,57,.421,5,20,.250,27,31,.871,11,38,14,6,2,8,21,,23,61,.377,8,25,.320,13,18,.722,8,30,10,4,9,10,22,2025,gonzaga
37748,5,2024-11-20,,Long Beach State,W,84,41,29,63,.460,9,27,.333,17,24,.708,11,38,14,7,2,4,15,,17,54,.315,2,20,.100,5,11,.455,9,32,6,3,4,12,20,2025,gonzaga
37749,6,2024-11-27,N,West Virginia,L (1 OT),78,86,26,65,.400,7,21,.333,19,22,.864,8,31,20,7,3,12,18,,26,63,.413,11,35,.314,23,26,.885,8,32,12,7,8,11,17,2025,gonzaga
37750,7,2024-11-28,N,Indiana,W,89,73,31,64,.484,6,20,.300,21,22,.955,9,33,20,9,2,13,22,,27,59,.458,4,18,.222,15,22,.682,3,22,17,8,4,12,22,2025,gonzaga
37751,8,2024-11-29,N,Davidson,W,90,65,35,64,.547,6,16,.375,14,15,.933,8,38,24,7,3,9,16,,24,56,.429,6,24,.250,11,16,.688,1,19,17,3,3,10,16,2025,gonzaga
37752,9,2024-12-07,N,Kentucky,L (1 OT),89,90,33,71,.465,6,27,.222,17,24,.708,13,39,17,2,2,5,15,,34,75,.453,7,25,.280,15,18,.833,15,40,17,1,4,7,21,2025,gonzaga
37753,10,2024-12-14,N,UConn,L,71,77,25,57,.439,6,16,.375,15,19,.789,6,28,13,4,3,10,17,,27,59,.458,5,24,.208,18,21,.857,7,33,16,4,4,7,19,2025,gonzaga
37754,11,2024-12-18,,Nicholls State,W,102,72,35,54,.648,8,17,.471,24,27,.889,4,39,23,6,6,14,10,,27,75,.360,10,33,.303,8,11,.727,7,22,13,13,1,10,22,2025,gonzaga
37755,12,2024-12-21,,Bucknell,W,86,65,34,71,.479,12,35,.343,6,9,.667,10,39,21,11,2,12,16,,24,59,.407,10,31,.323,7,10,.700,4,27,9,7,1,17,10,2025,gonzaga
37756,13,2024-12-28,N,UCLA,L,62,65,25,55,.455,7,24,.292,5,8,.625,8,30,17,3,2,15,15,,20,55,.364,12,24,.500,13,18,.722,11,35,16,9,3,11,15,2025,gonzaga
37757,14,2024-12-30,@,Pepperdine,W,89,82,36,66,.545,2,15,.133,15,19,.789,10,32,15,9,4,13,15,,32,68,.471,9,29,.310,9,10,.900,10,28,20,8,1,14,16,2025,gonzaga
