,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37777,1,2024-11-04,,Southern–New Orleans,W,92,42,37,72,.514,12,25,.480,6,12,.500,9,47,13,10,8,12,13,,16,63,.254,2,14,.143,8,15,.533,6,32,7,8,3,18,12,2025,grambling
37778,2,2024-11-08,@,Ole Miss,L,64,66,21,45,.467,9,19,.474,13,20,.650,4,31,10,5,7,21,18,,23,65,.354,6,26,.231,14,18,.778,9,29,13,14,5,6,20,2025,grambling
37779,3,2024-11-11,@,Florida,L,62,86,23,54,.426,2,12,.167,14,17,.824,3,21,4,6,4,15,20,,29,64,.453,7,23,.304,21,26,.808,17,45,13,11,5,12,18,2025,grambling
37780,4,2024-11-21,@,New Mexico,L,58,80,22,62,.355,7,19,.368,7,15,.467,7,32,17,9,3,21,24,,28,60,.467,7,18,.389,17,26,.654,8,42,23,14,9,15,14,2025,grambling
37781,5,2024-11-24,@,USC,L,69,80,25,55,.455,7,22,.318,12,14,.857,6,28,14,9,3,12,24,,25,50,.500,7,21,.333,23,33,.697,9,31,17,6,2,13,13,2025,grambling
37782,6,2024-11-26,@,Cal Poly,L,79,82,29,61,.475,13,26,.500,8,14,.571,8,31,15,4,7,11,17,,32,63,.508,9,22,.409,9,12,.750,6,31,16,5,1,8,10,2025,grambling
37783,7,2024-12-03,,Arkansas Baptist,W,82,56,32,57,.561,7,16,.438,11,14,.786,7,43,22,5,5,10,14,,19,58,.328,6,17,.353,12,19,.632,5,22,10,6,1,11,12,2025,grambling
37784,8,2024-12-07,@,Pepperdine,L,57,85,21,55,.382,5,17,.294,10,18,.556,5,27,10,5,4,14,12,,34,69,.493,10,23,.435,7,9,.778,10,39,18,6,7,8,14,2025,grambling
37785,9,2024-12-16,,Southeastern Louisiana,L,65,75,23,50,.460,7,16,.438,12,16,.750,1,14,14,3,2,6,15,,27,48,.563,8,20,.400,13,17,.765,7,35,14,4,1,16,13,2025,grambling
37786,10,2024-12-19,N,Delaware State,L,60,73,22,58,.379,4,24,.167,12,19,.632,12,30,11,7,0,10,19,,27,57,.474,5,10,.500,14,17,.824,13,36,12,6,4,13,19,2025,grambling
37787,11,2024-12-20,N,Norfolk State,L,70,76,25,56,.446,5,21,.238,15,17,.882,9,28,11,3,6,9,20,,25,51,.490,6,15,.400,20,27,.741,6,24,13,6,2,6,17,2025,grambling
37788,12,2024-12-22,@,Cincinnati,L,49,84,17,50,.340,2,14,.143,13,15,.867,8,28,10,4,3,16,21,,30,65,.462,9,32,.281,15,20,.750,17,40,17,9,6,5,15,2025,grambling
37789,13,2024-12-30,,,W,100,55,38,72,.528,14,25,.560,10,11,.909,11,49,16,4,2,11,8,,25,75,.333,2,15,.133,3,5,.600,12,31,16,10,2,9,8,2025,grambling
