,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37809,1,2024-11-04,,Cal State Fullerton,W,89,79,28,59,.475,10,31,.323,23,32,.719,16,36,15,9,1,17,26,,24,50,.480,7,17,.412,24,30,.800,8,25,11,10,1,17,25,2025,grand-canyon
37810,2,2024-11-09,,Western Kentucky,W,74,72,24,60,.400,4,17,.235,22,29,.759,9,36,10,11,4,11,14,,28,61,.459,8,21,.381,8,13,.615,6,34,8,7,2,14,19,2025,grand-canyon
37811,3,2024-11-14,N,Arizona State,L,76,87,26,59,.441,7,17,.412,17,25,.680,11,30,13,9,3,14,20,,29,54,.537,11,25,.440,18,21,.857,5,27,16,3,5,15,21,2025,grand-canyon
37812,4,2024-11-20,,UC-Davis,L,68,75,22,59,.373,4,25,.160,20,28,.714,15,36,11,13,5,17,16,,26,57,.456,7,15,.467,16,18,.889,10,35,9,11,3,18,20,2025,grand-canyon
37813,5,2024-11-22,,Norfolk State,W,91,73,33,54,.611,14,24,.583,11,14,.786,4,25,31,3,4,12,16,,29,62,.468,4,14,.286,11,14,.786,8,19,12,7,0,11,16,2025,grand-canyon
37814,6,2024-11-26,N,Stanford,W,78,71,25,54,.463,5,12,.417,23,29,.793,5,29,13,8,5,10,19,,24,63,.381,4,22,.182,19,24,.792,10,33,11,3,5,12,20,2025,grand-canyon
37815,7,2024-12-03,,Hawaii,W,78,72,25,57,.439,4,16,.250,24,32,.750,6,25,11,13,4,8,16,,26,56,.464,8,25,.320,12,20,.600,7,35,13,3,2,19,23,2025,grand-canyon
37816,8,2024-12-07,,Life Pacific,W,100,52,34,68,.500,8,28,.286,24,35,.686,14,49,19,14,6,5,12,,18,69,.261,8,33,.242,8,9,.889,10,31,9,3,2,17,20,2025,grand-canyon
37817,9,2024-12-14,N,Georgia,L,68,73,23,63,.365,7,27,.259,15,17,.882,12,33,10,14,3,13,21,,27,53,.509,5,15,.333,14,17,.824,7,33,17,6,9,18,17,2025,grand-canyon
37818,10,2024-12-16,@,Louisiana Tech,L,66,74,25,62,.403,6,27,.222,10,17,.588,12,30,13,6,4,11,17,,28,54,.519,7,20,.350,11,14,.786,7,32,13,6,5,13,18,2025,grand-canyon
