,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37841,1,2024-11-04,@,Oklahoma State,L,76,89,25,51,.490,14,31,.452,12,16,.750,2,23,14,8,2,19,17,,29,69,.420,10,22,.455,21,24,.875,16,39,13,11,4,13,17,2025,green-bay
37842,2,2024-11-08,,St. Thomas,L,76,90,26,63,.413,10,35,.286,14,15,.933,5,22,17,6,1,10,19,,32,53,.604,8,18,.444,18,24,.750,5,32,16,4,6,13,15,2025,green-bay
37843,3,2024-11-13,@,Western Illinois,W,87,73,31,63,.492,13,33,.394,12,13,.923,9,33,12,5,1,6,12,,28,66,.424,10,21,.476,7,18,.389,16,38,8,3,3,11,11,2025,green-bay
37844,4,2024-11-16,@,Providence,L,65,79,24,56,.429,8,29,.276,9,15,.600,4,31,11,1,1,11,19,,27,62,.435,9,29,.310,16,28,.571,11,37,14,9,3,5,18,2025,green-bay
37845,5,2024-11-19,,SIU-Edwardsville,W,82,57,24,51,.471,10,27,.370,24,29,.828,4,34,13,7,2,10,14,,20,59,.339,7,31,.226,10,18,.556,9,34,13,5,5,13,21,2025,green-bay
37846,6,2024-11-22,@,Evansville,L,81,98,25,62,.403,10,36,.278,21,23,.913,4,20,11,11,1,10,13,,37,62,.597,9,21,.429,15,17,.882,7,42,21,6,4,19,18,2025,green-bay
37847,7,2024-11-25,@,Ohio State,L,69,102,24,49,.490,10,24,.417,11,16,.688,2,21,11,3,1,17,19,,38,68,.559,14,31,.452,12,19,.632,9,35,20,10,4,8,14,2025,green-bay
37848,8,2024-11-30,,Campbell,L,66,72,23,58,.397,6,26,.231,14,19,.737,6,32,13,8,2,10,16,,26,58,.448,9,28,.321,11,15,.733,5,33,15,7,2,12,17,2025,green-bay
37849,9,2024-12-04,@,IU Indianapolis,L,75,84,24,51,.471,11,28,.393,16,20,.800,4,29,13,2,1,11,22,,30,66,.455,9,33,.273,15,23,.652,14,37,12,7,3,5,18,2025,green-bay
37850,10,2024-12-07,,Cleveland State,L,61,83,19,46,.413,6,19,.316,17,21,.810,6,24,14,7,5,19,16,,27,56,.482,10,23,.435,19,21,.905,8,31,17,13,6,13,22,2025,green-bay
37851,11,2024-12-11,,Milwaukee,L,67,88,23,53,.434,7,24,.292,14,17,.824,6,20,12,5,4,13,15,,34,69,.493,12,29,.414,8,15,.533,22,44,15,6,3,15,18,2025,green-bay
37852,12,2024-12-14,@,UCSB,L,66,83,23,56,.411,8,26,.308,12,14,.857,3,28,12,5,2,14,15,,32,71,.451,10,33,.303,9,12,.750,12,43,19,9,3,9,14,2025,green-bay
37853,13,2024-12-18,,Michigan Tech,L,70,72,25,60,.417,7,23,.304,13,17,.765,10,40,17,3,3,12,15,,24,58,.414,11,30,.367,13,17,.765,5,27,20,7,5,6,14,2025,green-bay
37854,14,2024-12-21,@,Drake,L,62,72,20,41,.488,4,13,.308,18,19,.947,3,20,7,2,2,13,19,,28,56,.500,3,19,.158,13,22,.591,11,27,14,10,4,4,16,2025,green-bay
37855,15,2024-12-29,,Purdue Fort Wayne,L,67,83,28,49,.571,6,20,.300,5,12,.417,4,27,24,3,5,17,14,,28,59,.475,15,27,.556,12,14,.857,5,25,22,10,4,7,9,2025,green-bay
37856,16,2025-01-02,@,Wright State,L,51,74,19,54,.352,4,21,.190,9,13,.692,3,27,11,8,1,14,16,,29,60,.483,8,21,.381,8,12,.667,9,38,20,7,2,12,13,2025,green-bay
37857,17,2025-01-04,@,Northern Kentucky,L,60,78,21,50,.420,13,26,.500,5,6,.833,2,24,17,5,0,9,22,,24,53,.453,13,26,.500,17,26,.654,12,38,17,3,4,8,8,2025,green-bay
37858,18,2025-01-11,@,Milwaukee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,green-bay
37859,19,2025-01-17,,Robert Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,green-bay
37860,20,2025-01-19,,Youngstown State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,green-bay
37861,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,green-bay
37862,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,green-bay
37863,21,2025-01-22,,IU Indianapolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,green-bay
37864,22,2025-01-25,@,Cleveland State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,green-bay
37865,23,2025-01-30,@,Oakland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,green-bay
37866,24,2025-02-01,@,Detroit Mercy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,green-bay
37867,25,2025-02-08,@,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,green-bay
37868,26,2025-02-14,,Northern Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,green-bay
37869,27,2025-02-16,,Wright State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,green-bay
37870,28,2025-02-21,@,Robert Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,green-bay
37871,29,2025-02-23,@,Youngstown State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,green-bay
37872,30,2025-02-27,,Detroit Mercy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,green-bay
37873,31,2025-03-01,,Oakland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,green-bay
