,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37874,1,2024-11-04,,Mid-Atlantic Christian,W,110,53,38,78,.487,13,33,.394,21,26,.808,20,42,25,18,1,5,14,,20,44,.455,2,14,.143,11,15,.733,2,20,15,2,2,25,19,2025,hampton
37875,2,2024-11-08,@,George Washington,L,54,82,19,66,.288,4,19,.211,12,16,.750,13,36,4,7,2,15,16,,31,66,.470,7,27,.259,13,17,.765,10,40,13,10,4,12,12,2025,hampton
37876,3,2024-11-12,@,Providence,L,51,60,16,56,.286,7,25,.280,12,13,.923,11,28,6,8,0,10,18,,20,46,.435,10,29,.345,10,20,.500,10,35,11,4,5,14,14,2025,hampton
37877,4,2024-11-16,,Norfolk State,L,58,67,20,67,.299,8,31,.258,10,14,.714,19,35,12,5,6,12,18,,22,49,.449,7,18,.389,16,22,.727,7,28,16,6,5,9,16,2025,hampton
37878,5,2024-11-19,@,UMBC,W,78,68,26,52,.500,8,18,.444,18,22,.818,11,36,10,5,2,11,13,,26,54,.481,8,23,.348,8,12,.667,4,18,12,1,2,10,16,2025,hampton
37879,6,2024-11-24,N,Boise State,L,69,83,26,62,.419,10,26,.385,7,10,.700,5,22,11,10,3,8,25,,26,48,.542,4,15,.267,27,35,.771,9,37,20,6,3,13,10,2025,hampton
37880,7,2024-11-25,N,Duquesne,W,64,59,20,52,.385,6,19,.316,18,22,.818,10,27,11,7,3,14,23,,19,45,.422,6,18,.333,15,29,.517,9,30,13,11,6,16,18,2025,hampton
37881,8,2024-11-26,N,High Point,L,73,76,25,59,.424,8,24,.333,15,21,.714,10,27,11,4,5,2,17,,24,49,.490,10,18,.556,18,23,.783,6,28,14,1,2,11,18,2025,hampton
37882,9,2024-12-03,,North Carolina A&T,W,82,71,27,65,.415,5,22,.227,21,27,.778,11,36,11,8,2,5,18,,25,55,.455,7,19,.368,14,25,.560,6,37,11,3,4,15,19,2025,hampton
37883,10,2024-12-10,,Newport News-Apprentice,W,86,68,31,65,.477,11,27,.407,13,21,.619,13,47,23,5,9,13,11,,25,66,.379,10,27,.370,8,12,.667,6,29,17,12,3,10,16,2025,hampton
37884,11,2024-12-18,,Regent,W,108,65,43,76,.566,10,23,.435,12,15,.800,17,56,29,15,4,20,14,,23,70,.329,10,44,.227,9,13,.692,6,24,12,10,1,18,9,2025,hampton
