,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37906,1,2024-11-04,,Marist,W,79,66,30,48,.625,7,17,.412,12,16,.750,5,27,12,6,3,12,15,,26,63,.413,8,20,.400,6,10,.600,8,23,10,10,1,8,14,2025,harvard
37907,2,2024-11-08,@,Navy,L,80,85,30,60,.500,12,32,.375,8,15,.533,8,33,19,2,5,17,22,,28,66,.424,7,24,.292,22,26,.846,12,33,18,11,2,6,12,2025,harvard
37908,3,2024-11-10,@,American,L,55,67,20,52,.385,5,21,.238,10,15,.667,6,28,10,5,2,11,17,,22,50,.440,9,24,.375,14,17,.824,3,29,13,6,3,9,21,2025,harvard
37909,4,2024-11-13,@,Northeastern,L,56,78,19,59,.322,4,31,.129,14,20,.700,9,33,9,7,3,12,14,,31,59,.525,9,22,.409,7,12,.583,4,33,21,10,3,11,17,2025,harvard
37910,5,2024-11-17,@,Colorado,L,66,88,24,65,.369,8,23,.348,10,14,.714,8,23,14,9,3,8,17,,29,56,.518,9,19,.474,21,25,.840,10,41,18,6,6,13,14,2025,harvard
37911,6,2024-11-22,,Colgate,W,78,67,29,59,.492,11,29,.379,9,11,.818,6,32,19,10,3,9,8,,27,58,.466,13,32,.406,0,0,,4,26,13,5,2,12,11,2025,harvard
37912,7,2024-11-27,,UMass,L,54,62,23,61,.377,6,20,.300,2,3,.667,7,25,13,9,5,11,15,,27,67,.403,1,16,.063,7,11,.636,18,47,10,6,6,13,8,2025,harvard
37913,8,2024-11-30,@,St. John's (NY),L,64,77,22,61,.361,8,29,.276,12,16,.750,7,28,13,5,2,9,12,,31,70,.443,6,27,.222,9,13,.692,16,47,15,6,6,8,17,2025,harvard
37914,9,2024-12-04,@,Holy Cross,L,67,68,27,65,.415,7,25,.280,6,6,1.000,10,34,12,6,3,12,13,,25,54,.463,7,18,.389,11,14,.786,5,28,11,7,5,11,8,2025,harvard
37915,10,2024-12-08,@,New Hampshire,W,72,62,22,44,.500,4,14,.286,24,28,.857,4,25,12,12,1,18,15,,22,55,.400,5,23,.217,13,14,.929,9,28,10,10,2,16,19,2025,harvard
37916,11,2024-12-21,,Furman,L,63,77,22,58,.379,8,25,.320,11,12,.917,8,27,13,5,2,10,13,,28,54,.519,10,24,.417,11,14,.786,5,28,17,6,4,9,14,2025,harvard
37917,12,2024-12-29,@,Iona,W,67,61,20,44,.455,7,19,.368,20,24,.833,7,28,14,6,9,18,14,,23,67,.343,3,18,.167,12,14,.857,17,31,12,12,5,10,19,2025,harvard
37918,13,2025-01-05,,Bowdoin,W,71,65,25,52,.481,8,21,.381,13,21,.619,9,36,13,5,1,8,9,,25,60,.417,11,32,.344,4,10,.400,6,25,15,6,6,6,15,2025,harvard
37919,14,2025-01-11,,Princeton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,harvard
37920,15,2025-01-18,@,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,harvard
37921,16,2025-01-20,,Penn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,harvard
37922,17,2025-01-25,@,Yale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,harvard
37923,18,2025-01-31,@,Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,harvard
37924,19,2025-02-01,@,Cornell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,harvard
37925,20,2025-02-08,@,Dartmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,harvard
37926,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,harvard
37927,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,harvard
37928,21,2025-02-14,,Cornell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,harvard
37929,22,2025-02-15,,Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,harvard
37930,23,2025-02-21,@,Princeton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,harvard
37931,24,2025-02-22,@,Penn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,harvard
37932,25,2025-02-28,,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,harvard
37933,26,2025-03-01,,Yale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,harvard
37934,27,2025-03-08,,Dartmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,harvard
