,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37935,1,2024-11-09,,Life Pacific,W,96,61,37,64,.578,10,28,.357,12,19,.632,14,41,16,3,2,5,9,,22,53,.415,7,20,.350,10,12,.833,3,18,7,3,2,8,17,2025,hawaii
37936,2,2024-11-10,,San Jose State,W,80,69,30,55,.545,6,19,.316,14,20,.700,4,24,11,2,1,6,17,,21,50,.420,6,12,.500,21,24,.875,6,25,6,4,3,5,21,2025,hawaii
37937,3,2024-11-12,,Pacific,W,76,66,25,52,.481,3,17,.176,23,29,.793,9,36,7,4,2,12,25,,23,61,.377,2,13,.154,18,28,.643,12,30,5,5,1,8,26,2025,hawaii
37938,4,2024-11-17,,Weber State,W (1 OT),73,68,22,51,.431,3,15,.200,26,40,.650,9,33,14,5,5,13,18,,26,60,.433,4,18,.222,12,20,.600,7,30,7,11,7,10,29,2025,hawaii
37939,5,2024-11-23,,UNC,L,69,87,22,57,.386,8,23,.348,17,24,.708,13,38,11,1,3,13,20,,28,54,.519,5,15,.333,26,34,.765,3,22,16,8,3,5,23,2025,hawaii
37940,6,2024-11-27,,Hawaii Pacific,W,67,63,20,58,.345,15,31,.484,12,18,.667,7,34,12,5,4,9,14,,24,60,.400,7,18,.389,8,9,.889,9,36,6,4,2,10,16,2025,hawaii
37941,7,2024-12-03,@,Grand Canyon,L,72,78,26,56,.464,8,25,.320,12,20,.600,7,35,13,3,2,19,23,,25,57,.439,4,16,.250,24,32,.750,6,25,11,13,4,8,16,2025,hawaii
37942,8,2024-12-07,@,Long Beach State,L,68,76,26,53,.491,7,19,.368,9,12,.750,7,28,13,6,4,15,16,,25,50,.500,10,13,.769,16,17,.941,4,23,11,10,1,11,16,2025,hawaii
37943,9,2024-12-15,,Texas A&M-Corpus Christi,W,71,62,24,47,.511,8,20,.400,15,23,.652,8,31,10,6,3,16,18,,22,52,.423,4,10,.400,14,21,.667,5,22,9,7,4,12,20,2025,hawaii
37944,10,2024-12-22,,Charlotte,W,78,61,32,59,.542,5,15,.333,9,13,.692,8,34,13,3,0,11,19,,21,53,.396,5,14,.357,14,19,.737,4,20,7,4,3,7,16,2025,hawaii
