,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37968,1,2024-11-06,,Coppin State,W,93,51,31,55,.564,14,28,.500,17,25,.680,8,40,21,4,4,12,15,,20,64,.313,5,22,.227,6,13,.462,6,22,7,6,4,12,19,2025,high-point
37969,2,2024-11-09,,Jackson State,W,80,71,23,42,.548,10,24,.417,24,29,.828,4,28,16,9,2,18,21,,23,54,.426,7,20,.350,18,26,.692,4,20,11,10,0,12,21,2025,high-point
37970,3,2024-11-12,,North Carolina Central,W,76,60,27,53,.509,6,15,.400,16,19,.842,7,31,13,6,5,7,13,,23,54,.426,6,15,.400,8,10,.800,5,21,10,5,2,10,18,2025,high-point
37971,4,2024-11-15,,UAB,W,68,65,24,64,.375,6,24,.250,14,19,.737,11,34,9,3,4,8,17,,19,55,.345,7,18,.389,20,28,.714,14,43,6,5,6,14,20,2025,high-point
37972,5,2024-11-18,,American,W,80,73,29,51,.569,6,14,.429,16,21,.762,9,21,10,3,1,7,17,,29,52,.558,7,22,.318,8,12,.667,12,25,13,1,1,9,22,2025,high-point
37973,6,2024-11-24,N,Missouri State,L,61,71,20,46,.435,3,17,.176,18,24,.750,4,23,9,3,5,13,18,,23,59,.390,8,18,.444,17,21,.810,14,37,10,8,2,13,23,2025,high-point
37974,7,2024-11-25,N,Old Dominion,W,73,67,25,47,.532,6,16,.375,17,23,.739,7,30,9,4,4,8,16,,27,64,.422,7,24,.292,6,11,.545,13,28,11,1,2,7,18,2025,high-point
37975,8,2024-11-26,N,Hampton,W,76,73,24,49,.490,10,18,.556,18,23,.783,6,28,14,1,2,11,18,,25,59,.424,8,24,.333,15,21,.714,10,27,11,4,5,2,17,2025,high-point
37976,9,2024-11-30,,Pfeiffer,W,81,50,29,66,.439,8,25,.320,15,19,.789,16,46,14,8,10,9,18,,18,48,.375,5,14,.357,9,16,.563,4,19,8,4,2,16,17,2025,high-point
37977,10,2024-12-03,@,UNC Greensboro,L,68,72,26,59,.441,7,21,.333,9,9,1.000,9,25,11,4,1,6,14,,29,58,.500,6,21,.286,8,13,.615,11,33,8,2,1,8,11,2025,high-point
37978,11,2024-12-06,,North Texas,W,76,71,20,45,.444,8,25,.320,28,37,.757,10,32,13,7,2,16,24,,21,50,.420,7,14,.500,22,27,.815,6,19,10,9,2,13,25,2025,high-point
37979,12,2024-12-14,N,Appalachian State,W,65,59,22,61,.361,6,29,.207,15,18,.833,9,36,10,13,4,13,21,,20,57,.351,5,14,.357,14,18,.778,10,38,9,7,3,16,14,2025,high-point
37980,13,2024-12-17,,Carolina,W,99,31,38,65,.585,8,24,.333,15,21,.714,18,48,18,14,4,13,11,,13,49,.265,4,18,.222,1,2,.500,1,11,5,8,1,20,18,2025,high-point
37981,14,2024-12-21,@,Southern Illinois,W,94,81,33,57,.579,7,20,.350,21,32,.656,6,26,13,7,2,7,23,,23,50,.460,5,17,.294,30,37,.811,9,29,10,5,3,14,21,2025,high-point
37982,15,2024-12-29,,Norfolk State,L,74,77,19,55,.345,15,36,.417,21,33,.636,20,41,15,5,3,10,19,,28,52,.538,5,15,.333,16,23,.696,5,26,12,4,3,8,25,2025,high-point
37983,16,2025-01-02,,Radford,W,76,58,28,60,.467,13,31,.419,7,10,.700,13,32,15,10,4,8,13,,21,53,.396,6,16,.375,10,13,.769,13,30,8,4,3,13,15,2025,high-point
37984,17,2025-01-04,@,UNC Asheville,L,99,103,32,65,.492,8,31,.258,27,30,.900,10,37,10,0,1,10,25,,35,69,.507,6,21,.286,27,37,.730,8,31,18,3,4,2,24,2025,high-point
37985,18,2025-01-08,@,Charleston Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,high-point
37986,19,2025-01-11,,Gardner-Webb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,high-point
37987,20,2025-01-16,@,Longwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,high-point
37988,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,high-point
37989,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,high-point
37990,21,2025-01-18,,Presbyterian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,high-point
37991,22,2025-01-22,@,USC Upstate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,high-point
37992,23,2025-01-25,,Winthrop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,high-point
37993,24,2025-02-01,@,Presbyterian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,high-point
37994,25,2025-02-05,@,Radford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,high-point
37995,26,2025-02-08,,UNC Asheville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,high-point
37996,27,2025-02-12,,Longwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,high-point
37997,28,2025-02-15,@,Winthrop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,high-point
37998,29,2025-02-19,,Charleston Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,high-point
37999,30,2025-02-22,@,Gardner-Webb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,high-point
38000,31,2025-02-26,,USC Upstate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,high-point
