,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38001,1,2024-11-04,,Old Westbury,W,89,62,30,66,.455,11,34,.324,18,23,.783,9,44,17,9,4,10,15,,23,64,.359,10,24,.417,6,8,.750,2,30,14,5,2,14,23,2025,hofstra
38002,2,2024-11-08,,Iona,W,90,76,32,59,.542,10,21,.476,16,24,.667,10,33,22,7,8,13,23,,23,59,.390,8,24,.333,22,30,.733,10,28,10,10,2,15,22,2025,hofstra
38003,3,2024-11-13,N,Seton Hall,W,49,48,17,46,.370,6,21,.286,9,11,.818,5,23,11,7,5,13,14,,17,48,.354,6,20,.300,8,17,.471,11,34,9,6,3,13,17,2025,hofstra
38004,4,2024-11-16,@,UMass,W (1 OT),75,71,25,60,.417,9,25,.360,16,20,.800,5,38,12,4,3,13,20,,25,67,.373,11,29,.379,10,20,.500,12,36,16,6,9,9,21,2025,hofstra
38005,5,2024-11-19,@,Florida State,L,61,79,24,50,.480,8,24,.333,5,7,.714,4,25,14,2,0,20,19,,26,57,.456,9,26,.346,18,23,.783,8,28,15,14,2,12,14,2025,hofstra
38006,6,2024-11-22,@,Houston,L,44,80,16,52,.308,8,25,.320,4,5,.800,4,27,7,3,0,14,15,,29,62,.468,12,24,.500,10,16,.625,10,36,20,10,6,4,12,2025,hofstra
38007,7,2024-11-29,N,Rice,W (1 OT),68,63,24,63,.381,5,27,.185,15,25,.600,10,42,7,6,5,10,18,,21,62,.339,8,21,.381,13,20,.650,8,40,9,5,1,11,20,2025,hofstra
38008,8,2024-11-30,N,Tarleton State,L,59,61,16,50,.320,9,28,.321,18,24,.750,8,28,11,5,7,9,18,,22,49,.449,5,10,.500,12,18,.667,9,37,10,5,2,11,18,2025,hofstra
38009,9,2024-12-01,N,Arkansas State,W,68,66,26,54,.481,4,12,.333,12,19,.632,7,29,11,8,2,11,18,,21,48,.438,6,19,.316,18,22,.818,6,28,6,4,3,15,18,2025,hofstra
38010,10,2024-12-06,,St. Joseph's–Long Island,W,114,46,41,67,.612,19,37,.514,13,16,.813,7,38,28,8,6,3,16,,13,52,.250,4,19,.211,16,19,.842,3,23,8,2,0,13,12,2025,hofstra
38011,11,2024-12-09,@,Norfolk State,W,80,67,27,45,.600,11,22,.500,15,20,.750,6,28,14,7,6,14,22,,19,49,.388,5,15,.333,24,26,.923,2,16,9,4,0,10,19,2025,hofstra
38012,12,2024-12-15,,Temple,L,42,60,14,56,.250,5,29,.172,9,15,.600,8,38,8,6,12,9,17,,20,64,.313,4,16,.250,16,20,.800,11,46,8,7,3,8,16,2025,hofstra
38013,13,2024-12-29,@,Quinnipiac,L (1 OT),69,75,23,62,.371,6,16,.375,17,17,1.000,3,29,10,8,6,10,22,,22,75,.293,6,28,.214,25,34,.735,23,51,11,8,7,11,16,2025,hofstra
38014,14,2025-01-02,,William & Mary,L,56,74,21,56,.375,9,37,.243,5,7,.714,1,22,18,8,4,9,17,,27,51,.529,12,21,.571,8,13,.615,3,34,16,6,0,13,9,2025,hofstra
38015,15,2025-01-04,@,Northeastern,W,55,37,17,41,.415,5,13,.385,16,21,.762,3,34,6,8,5,13,13,,13,61,.213,3,25,.120,8,15,.533,15,37,5,9,3,13,18,2025,hofstra
38016,16,2025-01-09,,College of Charleston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,hofstra
38017,17,2025-01-11,,UNC Wilmington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,hofstra
38018,18,2025-01-16,@,Towson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,hofstra
38019,19,2025-01-20,@,Drexel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,hofstra
38020,20,2025-01-23,,Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,hofstra
38021,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,hofstra
38022,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,hofstra
38023,21,2025-01-25,,Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,hofstra
38024,22,2025-01-30,@,Elon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,hofstra
38025,23,2025-02-01,@,Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,hofstra
38026,24,2025-02-06,,Northeastern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,hofstra
38027,25,2025-02-08,,Stony Brook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,hofstra
38028,26,2025-02-13,@,William & Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,hofstra
38029,27,2025-02-15,@,Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,hofstra
38030,28,2025-02-20,,Monmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,hofstra
38031,29,2025-02-22,@,Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,hofstra
