,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38067,1,2024-11-04,,Jackson State,W,97,40,39,67,.582,12,20,.600,7,7,1.000,11,37,19,12,6,9,13,,13,47,.277,4,23,.174,10,15,.667,7,23,8,3,3,20,14,2025,houston
38068,2,2024-11-09,N,Auburn,L,69,74,24,58,.414,5,13,.385,16,22,.727,10,24,7,5,3,10,20,,27,51,.529,7,23,.304,13,19,.684,9,28,14,6,7,11,21,2025,houston
38069,3,2024-11-13,,Louisiana,W,91,45,31,68,.456,10,23,.435,19,27,.704,18,45,13,17,4,9,14,,15,46,.326,6,21,.286,9,12,.750,3,24,7,4,2,22,21,2025,houston
38070,4,2024-11-22,,Hofstra,W,80,44,29,62,.468,12,24,.500,10,16,.625,10,36,20,10,6,4,12,,16,52,.308,8,25,.320,4,5,.800,4,27,7,3,0,14,15,2025,houston
38071,5,2024-11-26,N,Alabama,L (1 OT),80,85,24,65,.369,6,19,.316,26,33,.788,9,29,8,10,10,12,30,,22,61,.361,11,31,.355,30,41,.732,17,43,14,5,6,14,25,2025,houston
38072,6,2024-11-28,N,Notre Dame,W,65,54,27,60,.450,6,23,.261,5,9,.556,6,26,19,5,2,5,16,,19,49,.388,7,21,.333,9,14,.643,6,30,12,1,0,10,12,2025,houston
38073,7,2024-11-30,N,San Diego State,L (1 OT),70,73,23,62,.371,11,24,.458,13,17,.765,15,36,13,1,2,12,21,,23,57,.404,9,25,.360,18,27,.667,10,31,13,8,5,6,15,2025,houston
38074,8,2024-12-07,,Butler,W,79,51,32,60,.533,9,18,.500,6,6,1.000,12,37,8,6,5,11,17,,13,46,.283,9,28,.321,16,22,.727,7,21,10,5,1,12,12,2025,houston
38075,9,2024-12-10,,Troy,W,62,42,22,51,.431,9,19,.474,9,14,.643,10,34,17,7,9,8,16,,12,50,.240,2,18,.111,16,22,.727,11,24,4,5,3,9,18,2025,houston
38076,10,2024-12-18,,Toledo,W,78,49,30,67,.448,4,24,.167,14,19,.737,14,46,12,10,5,11,18,,16,54,.296,5,18,.278,12,18,.667,4,23,7,6,2,14,15,2025,houston
38077,11,2024-12-21,,Texas A&M-Corpus Christi,W,87,51,26,53,.491,14,29,.483,21,25,.840,11,32,17,9,8,8,14,,18,56,.321,5,19,.263,10,16,.625,13,28,13,4,2,12,16,2025,houston
38078,12,2024-12-30,@,Oklahoma State,W,60,47,24,57,.421,6,20,.300,6,6,1.000,5,32,9,8,5,11,16,,14,54,.259,4,19,.211,15,18,.833,7,32,7,7,1,12,10,2025,houston
38079,13,2025-01-04,,BYU,W,86,55,29,59,.492,16,34,.471,12,16,.750,14,33,15,9,7,11,15,,18,48,.375,8,24,.333,11,15,.733,4,18,14,6,2,14,15,2025,houston
38080,14,2025-01-06,,TCU,W,65,46,26,54,.481,8,19,.421,5,9,.556,11,28,14,11,6,9,14,,20,47,.426,3,18,.167,3,7,.429,6,23,4,4,2,14,11,2025,houston
38081,15,2025-01-11,@,Kansas State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,houston
38082,16,2025-01-15,,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,houston
38083,17,2025-01-18,@,UCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,houston
38084,18,2025-01-21,,Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,houston
38085,19,2025-01-25,@,Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,houston
38086,20,2025-01-29,@,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,houston
38087,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,houston
38088,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,houston
38089,21,2025-02-01,,Texas Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,houston
38090,22,2025-02-04,,Oklahoma State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,houston
