,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38100,1,2024-11-04,@,Kansas,L,57,87,22,58,.379,8,22,.364,5,12,.417,8,26,12,9,1,15,12,,32,53,.604,11,22,.500,12,16,.750,5,33,20,11,7,14,14,2025,howard
38101,2,2024-11-08,@,Missouri,L,62,77,22,55,.400,10,19,.526,8,10,.800,6,23,14,5,0,16,19,,24,51,.471,3,22,.136,26,31,.839,7,30,9,11,4,12,14,2025,howard
38102,3,2024-11-11,,Dillard,W,91,73,29,61,.475,15,34,.441,18,31,.581,7,43,24,7,4,15,27,,23,63,.365,5,21,.238,22,31,.710,6,31,6,9,4,15,22,2025,howard
38103,4,2024-11-13,N,Tennessee State,W (1 OT),88,84,33,62,.532,10,24,.417,12,20,.600,8,27,20,6,1,12,20,,33,59,.559,7,20,.350,11,26,.423,11,34,7,7,3,10,19,2025,howard
38104,5,2024-11-18,@,Florida International,W,75,70,27,61,.443,8,22,.364,13,17,.765,11,38,19,5,1,14,17,,26,64,.406,5,29,.172,13,18,.722,7,27,15,6,4,9,16,2025,howard
38105,6,2024-11-24,N,Boston University,L,62,69,25,55,.455,2,16,.125,10,11,.909,6,27,7,8,1,14,14,,22,54,.407,13,27,.481,12,16,.750,10,33,9,6,4,12,13,2025,howard
38106,7,2024-11-25,@,UMBC,L,77,95,29,59,.492,6,17,.353,13,17,.765,9,29,14,3,0,12,16,,35,58,.603,12,24,.500,13,18,.722,4,20,17,6,2,6,16,2025,howard
38107,8,2024-11-30,,Mount St. Mary's,L,75,79,24,52,.462,7,22,.318,20,27,.741,7,28,11,5,2,16,23,,21,50,.420,8,23,.348,29,30,.967,5,23,12,6,1,13,20,2025,howard
38108,9,2024-12-08,@,Cincinnati,L,67,84,26,54,.481,6,18,.333,9,9,1.000,5,22,13,9,1,16,17,,34,64,.531,8,23,.348,8,13,.615,14,37,19,9,2,13,12,2025,howard
38109,10,2024-12-11,,Virginia-Lynchburg,W,124,50,44,85,.518,17,35,.486,19,31,.613,20,62,34,7,8,10,19,,16,63,.254,1,14,.071,17,22,.773,5,19,3,8,2,12,24,2025,howard
38110,11,2024-12-14,,UNC Wilmington,W,88,83,27,51,.529,13,20,.650,21,26,.808,5,29,20,4,3,12,24,,29,63,.460,5,24,.208,20,27,.741,9,30,10,1,1,8,20,2025,howard
38111,12,2024-12-17,,Drexel,L,65,68,25,64,.391,6,20,.300,9,10,.900,6,29,19,6,2,8,10,,25,61,.410,7,27,.259,11,12,.917,10,36,9,3,2,10,13,2025,howard
38112,13,2024-12-28,@,Hampton,L,67,83,22,55,.400,6,18,.333,17,22,.773,8,24,12,7,1,14,20,,25,53,.472,13,31,.419,20,24,.833,12,33,19,9,8,14,17,2025,howard
38113,14,2025-01-01,@,Yale,L,65,93,26,57,.456,6,22,.273,7,9,.778,7,22,15,3,4,14,18,,33,61,.541,14,28,.500,13,17,.765,10,31,24,7,3,8,14,2025,howard
38114,15,2025-01-04,,Delaware State,W,100,94,31,52,.596,11,22,.500,27,27,1.000,5,25,25,4,2,17,17,,31,66,.470,6,20,.300,26,29,.897,12,26,16,9,0,9,19,2025,howard
38115,16,2025-01-11,,Morgan State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,howard
38116,17,2025-01-13,,Coppin State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,howard
38117,18,2025-01-15,,Bowie State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,howard
