,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38132,1,2024-11-04,,Northwest University,W,94,60,35,69,.507,7,25,.280,17,23,.739,10,40,12,14,5,8,23,,20,52,.385,7,18,.389,13,22,.591,3,24,5,4,4,19,16,2025,idaho
38133,2,2024-11-07,,UC-Davis,L,75,79,24,53,.453,12,28,.429,15,25,.600,8,33,15,6,0,17,23,,26,61,.426,7,27,.259,20,26,.769,12,35,8,8,1,12,20,2025,idaho
38134,3,2024-11-11,@,Washington State,L,67,90,23,63,.365,5,24,.208,16,23,.696,9,26,8,6,2,10,20,,34,66,.515,8,26,.308,14,20,.700,13,42,16,6,10,12,25,2025,idaho
38135,4,2024-11-16,@,BYU,L,71,95,26,52,.500,12,21,.571,7,11,.636,3,23,15,4,1,17,20,,33,59,.559,10,26,.385,19,30,.633,6,31,21,12,8,6,12,2025,idaho
38136,5,2024-11-19,,Evergreen State,W,101,58,36,71,.507,13,30,.433,16,29,.552,20,45,27,9,3,11,19,,20,51,.392,5,19,.263,13,18,.722,2,18,7,3,3,19,20,2025,idaho
38137,6,2024-11-23,N,Southern Utah,L,67,82,25,57,.439,7,16,.438,10,12,.833,8,20,14,6,0,4,19,,30,53,.566,11,19,.579,11,14,.786,9,28,16,3,5,8,13,2025,idaho
38138,7,2024-11-24,@,San Diego,L,61,68,22,59,.373,6,25,.240,11,19,.579,12,36,8,5,5,21,21,,25,55,.455,6,21,.286,12,17,.706,8,31,16,8,7,14,18,2025,idaho
38139,8,2024-11-30,,UC-Riverside,W,80,68,28,59,.475,13,37,.351,11,14,.786,11,31,18,6,4,8,16,,25,57,.439,9,21,.429,9,12,.750,9,28,10,4,1,12,17,2025,idaho
38140,9,2024-12-04,@,Kansas City,W,82,77,29,51,.569,10,22,.455,14,23,.609,6,26,15,5,2,15,21,,25,59,.424,9,27,.333,18,26,.692,14,31,13,8,5,11,21,2025,idaho
38141,10,2024-12-07,@,Oregon State,L,62,78,22,51,.431,8,26,.308,10,16,.625,12,32,8,1,5,15,15,,30,64,.469,5,13,.385,13,17,.765,12,31,21,11,1,5,12,2025,idaho
38142,11,2024-12-15,,UC-San Diego,L,56,80,20,51,.392,12,28,.429,4,9,.444,5,24,11,8,2,16,15,,27,58,.466,10,30,.333,16,23,.696,9,37,12,13,2,10,14,2025,idaho
38143,12,2024-12-18,@,UC-Davis,L,66,74,21,58,.362,6,24,.250,18,21,.857,8,26,5,9,3,14,25,,21,50,.420,5,14,.357,27,43,.628,10,33,12,9,6,14,19,2025,idaho
38144,13,2024-12-21,@,Pacific,W,95,72,37,63,.587,15,34,.441,6,6,1.000,10,37,24,5,6,11,10,,27,64,.422,11,29,.379,7,9,.778,9,23,17,3,3,6,6,2025,idaho
38145,14,2025-01-02,,Montana State,W,69,64,22,56,.393,7,20,.350,18,26,.692,9,38,12,6,1,11,17,,22,57,.386,6,27,.222,14,23,.609,7,34,8,7,6,10,18,2025,idaho
38146,15,2025-01-04,,Montana,L,71,73,27,64,.422,8,27,.296,9,10,.900,11,36,10,5,1,12,17,,28,52,.538,7,18,.389,10,16,.625,4,25,9,7,1,12,13,2025,idaho
38147,16,2025-01-09,@,Sacramento State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho
38148,17,2025-01-11,@,Portland State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho
38149,18,2025-01-18,,Eastern Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho
38150,19,2025-01-20,@,Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho
38151,20,2025-01-23,,Northern Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho
38152,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,idaho
38153,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,idaho
38154,21,2025-01-25,,Northern Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho
38155,22,2025-01-30,@,Weber State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho
38156,23,2025-02-01,@,Idaho State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho
38157,24,2025-02-06,,Portland State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho
38158,25,2025-02-08,,Sacramento State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho
38159,26,2025-02-15,@,Eastern Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho
38160,27,2025-02-20,@,Northern Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho
38161,28,2025-02-22,@,Northern Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho
38162,29,2025-02-27,,Idaho State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho
38163,30,2025-03-01,,Weber State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho
