,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38165,1,2024-11-05,@,Arizona State,L,48,55,17,67,.254,4,28,.143,10,13,.769,14,41,6,4,4,8,16,,20,55,.364,7,24,.292,8,12,.667,6,37,12,6,9,14,15,2025,idaho-state
38166,2,2024-11-07,@,USC,L,69,75,21,45,.467,4,12,.333,23,30,.767,9,34,12,0,5,17,26,,24,56,.429,5,20,.250,22,34,.647,9,23,20,6,3,6,23,2025,idaho-state
38167,3,2024-11-11,,Southern Oregon,W,87,63,32,66,.485,7,22,.318,16,19,.842,17,44,19,7,7,7,13,,23,56,.411,9,22,.409,8,13,.615,7,21,10,4,4,9,16,2025,idaho-state
38168,4,2024-11-16,@,San Diego,W,78,66,26,59,.441,7,22,.318,19,25,.760,10,35,18,8,6,15,18,,22,60,.367,5,26,.192,17,19,.895,8,29,13,9,5,15,18,2025,idaho-state
38169,5,2024-11-18,@,Cal State Fullerton,L,61,62,21,68,.309,6,28,.214,13,14,.929,18,37,5,9,3,7,12,,24,49,.490,7,15,.467,7,8,.875,5,26,11,4,6,15,10,2025,idaho-state
38170,6,2024-11-20,@,UCLA,L,70,84,24,54,.444,11,33,.333,11,14,.786,10,20,12,6,1,11,21,,27,47,.574,9,14,.643,21,26,.808,7,23,16,7,0,11,18,2025,idaho-state
38171,7,2024-11-25,,Embry–Riddle (AZ),W,97,46,33,61,.541,15,34,.441,16,22,.727,15,40,22,9,8,11,13,,17,57,.298,8,21,.381,4,7,.571,8,17,8,8,1,18,19,2025,idaho-state
38172,8,2024-12-04,@,South Dakota,L,80,94,27,64,.422,13,31,.419,13,23,.565,16,30,13,4,6,12,24,,29,57,.509,11,21,.524,25,32,.781,13,31,17,8,5,8,21,2025,idaho-state
38173,9,2024-12-07,,Oral Roberts,W,71,55,23,57,.404,2,18,.111,23,27,.852,15,51,17,3,7,12,18,,17,55,.309,9,29,.310,12,15,.800,3,17,10,8,4,9,23,2025,idaho-state
38174,10,2024-12-14,,Walla Walla,W,97,43,37,73,.507,15,36,.417,8,14,.571,19,52,33,9,7,8,3,,18,61,.295,5,15,.333,2,2,1.000,4,23,11,7,3,11,9,2025,idaho-state
38175,11,2024-12-18,,Utah Valley,L,56,70,19,54,.352,4,14,.286,14,23,.609,8,36,9,3,9,13,19,,28,64,.438,4,18,.222,10,14,.714,5,35,14,5,5,8,19,2025,idaho-state
38176,12,2025-01-02,@,Northern Arizona,W,72,67,26,56,.464,5,13,.385,15,25,.600,11,33,14,7,5,11,17,,23,58,.397,10,27,.370,11,19,.579,10,29,15,5,3,14,20,2025,idaho-state
38177,13,2025-01-04,@,Northern Colorado,L (1 OT),92,93,35,64,.547,11,25,.440,11,17,.647,8,27,12,8,4,16,21,,36,58,.621,4,16,.250,17,25,.680,6,25,22,7,3,15,19,2025,idaho-state
38178,14,2025-01-11,,Weber State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho-state
38179,15,2025-01-16,,Montana State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho-state
38180,16,2025-01-18,,Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho-state
38181,17,2025-01-23,@,Sacramento State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho-state
38182,18,2025-01-25,@,Portland State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho-state
38183,19,2025-01-30,,Eastern Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho-state
38184,20,2025-02-01,,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho-state
38185,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,idaho-state
38186,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,idaho-state
38187,21,2025-02-03,,Northern Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho-state
38188,22,2025-02-08,@,Weber State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho-state
38189,23,2025-02-13,@,Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho-state
38190,24,2025-02-15,@,Montana State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho-state
38191,25,2025-02-20,,Portland State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho-state
38192,26,2025-02-22,,Sacramento State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho-state
38193,27,2025-02-27,@,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho-state
38194,28,2025-03-01,@,Eastern Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho-state
38195,29,2025-03-03,,Northern Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,idaho-state
