,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38262,1,2024-11-04,,St. Francis (IL),W,91,43,38,66,.576,11,23,.478,4,11,.364,10,39,26,14,2,14,16,,15,50,.300,4,18,.222,9,14,.643,5,26,6,9,7,20,10,2025,illinois-chicago
38263,2,2024-11-08,,Yale,W,91,79,31,68,.456,12,32,.375,17,23,.739,7,34,16,8,2,8,18,,25,56,.446,11,24,.458,18,25,.720,5,32,13,4,7,16,19,2025,illinois-chicago
38264,3,2024-11-12,@,Northwestern,L,74,83,25,54,.463,10,23,.435,14,22,.636,10,34,18,4,2,19,25,,27,54,.500,7,15,.467,22,33,.667,6,27,18,10,3,9,21,2025,illinois-chicago
38265,4,2024-11-16,,Saint Mary's (MN),W,117,59,45,75,.600,13,29,.448,14,16,.875,11,43,31,14,2,6,16,,20,62,.323,8,32,.250,11,15,.733,7,24,14,3,1,16,18,2025,illinois-chicago
38266,5,2024-11-21,N,James Madison,L,81,99,33,64,.516,3,13,.231,12,19,.632,10,25,12,6,2,16,21,,34,64,.531,10,24,.417,21,27,.778,11,34,16,13,3,12,17,2025,illinois-chicago
38267,6,2024-11-22,N,La Salle,W,96,83,28,53,.528,10,26,.385,30,34,.882,7,33,15,6,2,13,17,,33,66,.500,5,18,.278,12,18,.667,4,22,12,6,4,8,24,2025,illinois-chicago
38268,7,2024-11-23,N,East Carolina,L,55,72,23,59,.390,6,24,.250,3,7,.429,11,33,18,7,5,16,16,,28,58,.483,6,17,.353,10,15,.667,7,29,14,9,4,7,13,2025,illinois-chicago
38269,8,2024-12-04,,Northern Iowa,L,56,83,19,59,.322,5,23,.217,13,18,.722,18,34,12,3,3,13,17,,30,53,.566,11,18,.611,12,18,.667,6,28,20,9,4,9,15,2025,illinois-chicago
38270,9,2024-12-08,,Dartmouth,W (1 OT),69,68,24,71,.338,10,27,.370,11,17,.647,11,51,12,10,6,19,11,,28,79,.354,8,30,.267,4,10,.400,10,41,19,12,4,12,17,2025,illinois-chicago
38271,10,2024-12-15,@,Little Rock,W (1 OT),77,69,26,64,.406,6,28,.214,19,25,.760,17,42,13,8,6,16,22,,25,61,.410,6,19,.316,13,24,.542,12,30,15,6,6,12,21,2025,illinois-chicago
38272,11,2024-12-20,@,Seattle,W,79,68,27,53,.509,9,21,.429,16,21,.762,2,29,18,10,4,12,18,,24,58,.414,6,18,.333,14,21,.667,9,32,10,8,4,15,20,2025,illinois-chicago
38273,12,2024-12-29,@,Illinois State,W,73,67,24,52,.462,8,17,.471,17,22,.773,9,35,13,3,1,10,21,,23,58,.397,6,26,.231,15,21,.714,8,27,14,5,2,5,19,2025,illinois-chicago
38274,13,2025-01-01,,Drake,W,74,70,27,47,.574,8,17,.471,12,17,.706,4,15,16,2,3,7,12,,28,57,.491,6,19,.316,8,11,.727,12,27,17,4,1,9,18,2025,illinois-chicago
38275,14,2025-01-04,@,Belmont,L,87,92,30,64,.469,12,35,.343,15,21,.714,8,33,16,6,3,12,16,,32,67,.478,12,29,.414,16,18,.889,11,40,18,6,0,12,17,2025,illinois-chicago
38276,15,2025-01-07,@,Missouri State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois-chicago
38277,16,2025-01-11,,Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois-chicago
38278,17,2025-01-15,,Murray State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois-chicago
38279,18,2025-01-18,@,Valparaiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois-chicago
38280,19,2025-01-22,@,Evansville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois-chicago
38281,20,2025-01-25,,Southern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois-chicago
38282,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,illinois-chicago
38283,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,illinois-chicago
38284,21,2025-01-29,@,Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois-chicago
38285,22,2025-02-01,,Indiana State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois-chicago
38286,23,2025-02-05,,Illinois State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois-chicago
38287,24,2025-02-08,@,Southern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois-chicago
38288,25,2025-02-11,@,Murray State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois-chicago
38289,26,2025-02-16,,Missouri State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois-chicago
38290,27,2025-02-19,@,Drake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois-chicago
38291,28,2025-02-22,,Evansville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois-chicago
38292,29,2025-02-26,@,Northern Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois-chicago
38293,30,2025-03-02,,Valparaiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois-chicago
