,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38196,1,2024-11-04,,Eastern Illinois,W,112,67,31,64,.484,16,42,.381,34,46,.739,14,56,16,2,9,13,21,,26,68,.382,4,12,.333,11,25,.440,3,24,5,5,1,7,29,2025,illinois
38197,2,2024-11-08,,SIU-Edwardsville,W,90,58,28,63,.444,15,38,.395,19,28,.679,13,43,21,2,6,5,13,,22,73,.301,6,24,.250,8,17,.471,14,33,11,3,3,7,23,2025,illinois
38198,3,2024-11-13,,Oakland,W,66,54,23,55,.418,7,25,.280,13,17,.765,10,32,11,9,2,16,11,,20,53,.377,4,25,.160,10,11,.909,6,24,9,10,1,15,16,2025,illinois
38199,4,2024-11-20,N,Alabama,L,87,100,32,71,.451,10,30,.333,13,24,.542,13,42,15,7,5,12,16,,39,75,.520,11,34,.324,11,13,.846,5,35,23,7,6,7,17,2025,illinois
38200,5,2024-11-23,,Maryland-Eastern Shore,W,87,40,33,74,.446,10,40,.250,11,18,.611,19,56,9,8,9,9,11,,15,68,.221,5,20,.250,5,8,.625,10,32,3,6,1,15,16,2025,illinois
38201,6,2024-11-25,,Little Rock,W,92,34,30,68,.441,10,31,.323,22,26,.846,14,49,20,11,4,8,11,,13,55,.236,3,14,.214,5,12,.417,6,23,5,7,1,14,18,2025,illinois
38202,7,2024-11-28,N,Arkansas,W,90,77,30,57,.526,15,31,.484,15,22,.682,5,30,16,7,4,10,22,,28,58,.483,5,17,.294,16,27,.593,8,28,12,7,2,11,20,2025,illinois
38203,8,2024-12-06,@,Northwestern,L (1 OT),66,70,25,67,.373,9,34,.265,7,11,.636,6,42,19,2,4,9,16,,28,72,.389,4,21,.190,10,17,.588,7,38,13,5,6,4,14,2025,illinois
38204,9,2024-12-10,,Wisconsin,W,86,80,27,64,.422,10,33,.303,22,25,.880,15,38,15,3,2,13,22,,28,63,.444,10,29,.345,14,21,.667,9,27,15,5,2,11,21,2025,illinois
38205,10,2024-12-14,,Tennessee,L,64,66,15,51,.294,4,23,.174,30,36,.833,10,32,6,2,1,11,21,,20,62,.323,6,24,.250,20,28,.714,16,39,6,7,4,4,24,2025,illinois
38206,11,2024-12-22,N,Missouri,W,80,77,25,57,.439,8,26,.308,22,23,.957,11,40,12,4,3,16,24,,23,58,.397,3,13,.231,28,37,.757,9,30,6,12,3,8,19,2025,illinois
38207,12,2024-12-29,,Chicago State,W,117,64,41,66,.621,15,33,.455,20,28,.714,10,45,26,6,6,10,8,,25,67,.373,10,31,.323,4,4,1.000,4,18,10,5,0,14,19,2025,illinois
38208,13,2025-01-02,@,Oregon,W,109,77,42,73,.575,16,29,.552,9,11,.818,9,40,17,5,5,10,18,,30,69,.435,5,15,.333,12,17,.706,7,28,13,2,5,10,14,2025,illinois
38209,14,2025-01-05,@,Washington,W,81,77,31,66,.470,5,26,.192,14,19,.737,12,40,10,4,3,13,13,,28,65,.431,10,26,.385,11,14,.786,7,24,11,9,3,10,18,2025,illinois
38210,15,2025-01-08,,Penn State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois
38211,16,2025-01-11,,USC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois
38212,17,2025-01-14,@,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois
38213,18,2025-01-19,@,Michigan State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois
38214,19,2025-01-23,,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois
38215,20,2025-01-26,,Northwestern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois
38216,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,illinois
38217,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,illinois
38218,21,2025-01-30,@,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois
38219,22,2025-02-02,,Ohio State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois
38220,23,2025-02-05,@,Rutgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois
38221,24,2025-02-08,@,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois
38222,25,2025-02-11,,UCLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois
38223,26,2025-02-15,,Michigan State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois
38224,27,2025-02-18,@,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois
38225,28,2025-02-22,N,Duke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois
38226,29,2025-02-25,,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois
38227,30,2025-03-02,@,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois
38228,31,2025-03-07,,Purdue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,illinois
