,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38705,1,1,2024-11-04,,UT Martin,REG (Non-Conf),L,65,67,,18,62,.290,8,41,.195,10,21,.476,.355,21,28,.750,8,31,39,13,6,2,9,19,26,66,.394,7,25,.280,19,41,.463,.447,8,18,.444,10,36,46,14,6,3,14,25,2025,illinois-state
38706,2,2,2024-11-07,@,North Dakota State,REG (Non-Conf),W,77,68,,28,59,.475,8,20,.400,20,39,.513,.542,13,14,.929,8,30,38,11,2,1,5,10,27,66,.409,11,39,.282,16,27,.593,.492,3,6,.500,5,21,26,12,1,3,6,14,2025,illinois-state
38707,3,3,2024-11-12,,Ohio,REG (Non-Conf),W,85,75,,30,49,.612,10,19,.526,20,30,.667,.714,15,16,.938,3,21,24,14,5,2,11,17,26,55,.473,10,25,.400,16,30,.533,.564,13,16,.813,8,14,22,8,4,5,10,18,2025,illinois-state
38708,4,4,2024-11-17,,,REG (Non-Conf),W,107,52,,41,66,.621,20,40,.500,21,26,.808,.773,5,6,.833,9,34,43,26,3,1,8,11,18,54,.333,8,28,.286,10,26,.385,.407,8,13,.615,0,15,15,9,4,0,9,11,2025,illinois-state
38709,5,5,2024-11-22,N,McNeese State,REG (Non-Conf),L,68,76,,22,50,.440,11,26,.423,11,24,.458,.550,13,21,.619,5,21,26,14,3,3,7,19,24,54,.444,8,20,.400,16,34,.471,.519,20,26,.769,10,24,34,10,5,3,5,21,2025,illinois-state
38710,6,6,2024-11-23,N,UAB,REG (Non-Conf),W,84,83,,30,53,.566,11,27,.407,19,26,.731,.670,13,17,.765,5,23,28,14,10,1,16,20,31,56,.554,8,19,.421,23,37,.622,.625,13,19,.684,5,17,22,19,7,1,16,18,2025,illinois-state
38711,7,7,2024-11-25,N,George Washington,REG (Non-Conf),L,64,72,,21,48,.438,4,18,.222,17,30,.567,.479,18,21,.857,4,25,29,6,6,1,10,24,19,50,.380,10,28,.357,9,22,.409,.480,24,30,.800,4,24,28,12,4,4,8,16,2025,illinois-state
38712,8,8,2024-12-04,@,Belmont,REG (Conf),L,97,99,OT,35,65,.538,18,33,.545,17,32,.531,.677,9,10,.900,8,28,36,24,8,2,19,16,39,75,.520,11,26,.423,28,49,.571,.593,10,16,.625,10,20,30,23,12,4,10,13,2025,illinois-state
38713,9,9,2024-12-07,,Pacific,REG (Non-Conf),W,72,61,,23,52,.442,10,25,.400,13,27,.481,.538,16,19,.842,6,25,31,13,5,0,7,12,22,57,.386,8,25,.320,14,32,.438,.456,9,9,1.000,8,23,31,8,1,2,12,17,2025,illinois-state
38714,10,10,2024-12-15,,Saint Louis,REG (Non-Conf),W,81,77,,29,55,.527,8,17,.471,21,38,.553,.600,15,21,.714,9,18,27,13,4,4,8,12,26,54,.481,12,31,.387,14,23,.609,.593,13,14,.929,8,20,28,14,5,3,10,23,2025,illinois-state
38715,11,11,2024-12-18,,Northern Illinois,REG (Non-Conf),W,81,60,,30,60,.500,10,24,.417,20,36,.556,.583,11,14,.786,10,32,42,19,6,0,14,14,22,60,.367,6,29,.207,16,31,.516,.417,10,12,.833,4,20,24,10,6,2,10,18,2025,illinois-state
38716,12,12,2024-12-22,@,Cornell,REG (Non-Conf),W,80,77,,27,54,.500,14,26,.538,13,28,.464,.630,12,18,.667,7,22,29,17,4,0,10,13,28,53,.528,6,25,.240,22,28,.786,.585,15,17,.882,3,23,26,15,4,2,9,18,2025,illinois-state
38717,13,13,2024-12-29,,Illinois–Chicago,REG (Conf),L,67,73,,23,58,.397,6,26,.231,17,32,.531,.448,15,21,.714,8,19,27,14,5,2,5,19,24,52,.462,8,17,.471,16,35,.457,.538,17,22,.773,9,26,35,13,3,1,10,21,2025,illinois-state
38718,14,14,2025-01-02,@,Murray State,REG (Conf),W,74,68,,26,49,.531,8,20,.400,18,29,.621,.612,14,16,.875,5,20,25,10,2,3,11,24,20,48,.417,8,23,.348,12,25,.480,.500,20,26,.769,8,16,24,7,7,0,10,17,2025,illinois-state
38719,15,15,2025-01-05,,Southern Illinois,REG (Conf),W,85,54,,31,51,.608,13,28,.464,18,23,.783,.735,10,13,.769,5,30,35,19,6,0,17,23,20,56,.357,4,20,.200,16,36,.444,.393,10,23,.435,12,13,25,10,12,1,13,15,2025,illinois-state
38720,16,16,2025-01-08,@,Evansville,REG (Conf),L,51,69,,18,52,.346,9,31,.290,9,21,.429,.433,6,12,.500,9,22,31,9,6,1,14,18,26,52,.500,8,24,.333,18,28,.643,.577,9,10,.900,3,26,29,15,5,5,8,15,2025,illinois-state
38721,17,17,2025-01-11,,Northern Iowa,REG (Conf),L,84,85,,25,54,.463,12,24,.500,13,30,.433,.574,22,27,.815,11,17,28,13,9,0,9,10,30,53,.566,14,31,.452,16,22,.727,.698,11,12,.917,4,20,24,14,7,3,11,21,2025,illinois-state
38722,18,18,2025-01-15,@,Drake,REG (Conf),L,62,66,,24,48,.500,6,21,.286,18,27,.667,.563,8,11,.727,3,14,17,10,5,1,4,12,23,44,.523,11,23,.478,12,21,.571,.648,9,11,.818,6,18,24,10,4,4,8,12,2025,illinois-state
