,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38294,1,2024-11-04,@,California Baptist,L,78,83,31,61,.508,11,23,.478,5,9,.556,11,35,6,2,4,11,22,,31,65,.477,5,17,.294,16,23,.696,12,30,15,6,1,5,12,2025,incarnate-word
38295,2,2024-11-08,,Southwestern (TX),W,97,53,33,55,.600,10,17,.588,21,30,.700,12,33,14,16,6,13,18,,15,44,.341,7,22,.318,16,21,.762,6,20,8,8,4,21,23,2025,incarnate-word
38296,3,2024-11-12,,Prairie View,W,84,81,27,59,.458,3,15,.200,27,38,.711,12,41,9,4,7,6,23,,22,55,.400,15,29,.517,22,27,.815,4,24,13,5,3,7,25,2025,incarnate-word
38297,4,2024-11-16,,Arkansas-Pine Bluff,W,92,64,35,63,.556,11,28,.393,11,15,.733,10,35,23,9,4,7,16,,24,56,.429,5,18,.278,11,15,.733,5,20,9,3,2,13,16,2025,incarnate-word
38298,5,2024-11-22,@,Northern Arizona,L,74,75,27,65,.415,11,22,.500,9,15,.600,10,26,17,5,3,8,23,,24,62,.387,9,27,.333,18,28,.643,14,39,18,5,4,9,16,2025,incarnate-word
38299,6,2024-11-25,@,South Alabama,L,63,84,22,52,.423,14,34,.412,5,10,.500,6,23,15,4,3,13,9,,32,49,.653,12,24,.500,8,12,.667,2,24,20,9,2,12,12,2025,incarnate-word
38300,7,2024-11-27,N,Western Illinois,W,86,75,34,64,.531,9,20,.450,9,13,.692,8,23,15,7,1,5,20,,23,45,.511,5,13,.385,24,28,.857,8,26,5,4,4,16,13,2025,incarnate-word
38301,8,2024-12-05,,Northwestern State,L,70,72,25,52,.481,11,24,.458,9,11,.818,5,26,13,5,5,13,13,,25,53,.472,7,15,.467,15,18,.833,7,23,16,9,5,7,10,2025,incarnate-word
38302,9,2024-12-07,,East Texas A&M,W,65,53,23,49,.469,4,14,.286,15,21,.714,11,29,7,12,4,16,14,,15,41,.366,8,24,.333,15,20,.750,4,20,9,9,3,21,15,2025,incarnate-word
38303,10,2024-12-10,@,Duke,L,46,72,17,53,.321,5,23,.217,7,12,.583,8,24,7,7,4,7,19,,24,55,.436,8,25,.320,16,21,.762,14,41,16,5,1,12,16,2025,incarnate-word
38304,11,2024-12-15,,Our Lady of the Lake,W,93,69,34,61,.557,14,28,.500,11,19,.579,10,31,17,6,5,10,17,,20,52,.385,9,22,.409,20,24,.833,9,23,12,6,0,13,16,2025,incarnate-word
38305,12,2024-12-19,,Schreiner,W,101,57,42,70,.600,8,19,.421,9,11,.818,16,50,19,12,5,16,10,,22,62,.355,8,26,.308,5,10,.500,6,17,11,10,3,19,10,2025,incarnate-word
38306,13,2024-12-29,,Texas Lutheran,W,99,48,38,66,.576,14,27,.519,9,15,.600,12,46,18,6,4,5,13,,17,61,.279,5,26,.192,9,14,.643,9,24,8,3,1,7,13,2025,incarnate-word
38307,14,2025-01-04,@,Stephen F. Austin,W,55,49,20,56,.357,5,25,.200,10,15,.667,13,40,6,6,5,9,18,,16,51,.314,2,18,.111,15,27,.556,12,35,8,5,2,11,15,2025,incarnate-word
38308,15,2025-01-06,@,Lamar,L,58,72,23,52,.442,5,17,.294,7,9,.778,7,22,12,8,2,14,13,,29,60,.483,5,18,.278,9,13,.692,12,34,24,9,4,11,11,2025,incarnate-word
38309,16,2025-01-11,@,Houston Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,incarnate-word
38310,17,2025-01-13,,Nicholls State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,incarnate-word
38311,18,2025-01-18,,Texas A&M-Corpus Christi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,incarnate-word
38312,19,2025-01-20,,Texas-Rio Grande Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,incarnate-word
38313,20,2025-01-25,@,Southeastern Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,incarnate-word
38314,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,incarnate-word
38315,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,incarnate-word
38316,21,2025-01-27,@,New Orleans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,incarnate-word
38317,22,2025-02-01,,Houston Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,incarnate-word
38318,23,2025-02-03,@,McNeese State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,incarnate-word
38319,24,2025-02-08,,Southeastern Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,incarnate-word
38320,25,2025-02-10,,New Orleans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,incarnate-word
38321,26,2025-02-15,@,Texas A&M-Corpus Christi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,incarnate-word
38322,27,2025-02-17,@,Texas-Rio Grande Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,incarnate-word
38323,28,2025-02-22,,Stephen F. Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,incarnate-word
38324,29,2025-02-24,,Lamar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,incarnate-word
38325,30,2025-03-01,@,East Texas A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,incarnate-word
38326,31,2025-03-03,,Northwestern State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,incarnate-word
