,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38327,1,2024-11-06,,SIU-Edwardsville,W,80,61,30,57,.526,6,16,.375,14,17,.824,8,41,18,7,5,16,15,,25,71,.352,5,26,.192,6,13,.462,14,31,11,9,3,12,17,2025,indiana
38328,2,2024-11-10,,Eastern Illinois,W,90,55,38,62,.613,6,18,.333,8,12,.667,7,36,26,11,6,12,14,,21,57,.368,7,20,.350,6,9,.667,6,24,8,8,0,16,15,2025,indiana
38329,3,2024-11-16,,South Carolina,W,87,71,26,51,.510,8,17,.471,27,33,.818,7,34,12,7,7,11,21,,24,63,.381,8,29,.276,15,23,.652,10,30,12,4,1,12,23,2025,indiana
38330,4,2024-11-21,,UNC Greensboro,W,69,58,25,60,.417,5,19,.263,14,16,.875,11,39,16,7,2,13,16,,20,63,.317,9,32,.281,9,15,.600,13,34,14,10,5,13,20,2025,indiana
38331,5,2024-11-27,N,Louisville,L,61,89,21,63,.333,7,20,.350,12,17,.706,15,29,12,8,3,23,15,,37,65,.569,10,27,.370,5,7,.714,8,29,23,15,1,15,17,2025,indiana
38332,6,2024-11-28,N,Gonzaga,L,73,89,27,59,.458,4,18,.222,15,22,.682,3,22,17,8,4,12,22,,31,64,.484,6,20,.300,21,22,.955,9,33,20,9,2,13,22,2025,indiana
38333,7,2024-11-29,N,Providence,W,89,73,32,60,.533,8,15,.533,17,20,.850,6,31,20,5,5,10,18,,25,64,.391,10,30,.333,13,21,.619,12,31,15,5,4,6,19,2025,indiana
38334,8,2024-12-03,,Sam Houston,W,97,71,34,55,.618,7,15,.467,22,29,.759,2,33,18,7,2,12,18,,26,61,.426,6,17,.353,13,20,.650,4,23,14,7,2,10,21,2025,indiana
38335,9,2024-12-06,,Miami (OH),W,76,57,28,52,.538,6,18,.333,14,19,.737,6,42,15,2,4,16,12,,20,65,.308,11,32,.344,6,11,.545,9,24,13,7,3,7,16,2025,indiana
38336,10,2024-12-09,,Minnesota,W,82,67,30,53,.566,4,14,.286,18,29,.621,10,32,21,6,3,13,14,,26,55,.473,2,11,.182,13,15,.867,6,22,12,10,6,12,24,2025,indiana
38337,11,2024-12-13,@,Nebraska,L,68,85,23,65,.354,8,35,.229,14,20,.700,14,34,10,7,3,9,20,,30,49,.612,8,14,.571,17,26,.654,4,33,16,5,1,14,16,2025,indiana
38338,12,2024-12-21,,Chattanooga,W,74,65,29,58,.500,5,20,.250,11,20,.550,11,36,16,7,4,10,15,,24,59,.407,10,28,.357,7,10,.700,5,25,18,4,2,10,19,2025,indiana
38339,13,2024-12-29,,Winthrop,W,77,68,30,66,.455,1,20,.050,16,24,.667,13,40,17,6,7,8,19,,24,64,.375,6,23,.261,14,20,.700,9,33,8,6,2,10,22,2025,indiana
38340,14,2025-01-02,,Rutgers,W,84,74,28,72,.389,12,27,.444,16,25,.640,14,41,16,4,3,8,21,,27,61,.443,6,21,.286,14,23,.609,6,34,7,3,4,10,21,2025,indiana
38341,15,2025-01-05,@,Penn State,W,77,71,26,58,.448,9,23,.391,16,22,.727,11,35,17,6,2,13,19,,29,63,.460,3,21,.143,10,17,.588,7,26,13,6,5,9,18,2025,indiana
38342,16,2025-01-08,,USC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,indiana
38343,17,2025-01-11,@,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,indiana
38344,18,2025-01-14,,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,indiana
38345,19,2025-01-17,@,Ohio State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,indiana
38346,20,2025-01-22,@,Northwestern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,indiana
38347,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,indiana
38348,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,indiana
38349,21,2025-01-26,,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,indiana
38350,22,2025-01-31,@,Purdue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,indiana
