,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38360,1,2024-11-04,N,Florida Atlantic,L,64,97,21,64,.328,13,37,.351,9,14,.643,6,27,15,11,1,21,23,,34,61,.557,11,23,.478,18,27,.667,7,43,18,15,6,16,18,2025,indiana-state
38361,2,2024-11-07,,Eureka,W,93,48,38,72,.528,5,25,.200,12,17,.706,14,49,14,13,6,13,6,,20,69,.290,7,27,.259,1,3,.333,7,25,8,5,4,15,12,2025,indiana-state
38362,3,2024-11-12,,SIU-Edwardsville,L,72,77,24,59,.407,15,41,.366,9,15,.600,10,30,15,8,3,16,14,,30,60,.500,8,27,.296,9,12,.750,10,36,16,9,6,15,14,2025,indiana-state
38363,4,2024-11-16,@,Ball State,W,94,84,28,56,.500,12,27,.444,26,29,.897,4,42,21,4,2,13,29,,22,57,.386,7,24,.292,33,46,.717,4,28,11,4,3,8,22,2025,indiana-state
38364,5,2024-11-22,,Chicago State,W,97,61,34,60,.567,15,33,.455,14,21,.667,9,44,20,8,2,13,11,,24,68,.353,4,26,.154,9,14,.643,11,33,4,8,1,11,19,2025,indiana-state
38365,6,2024-11-25,@,Southern Indiana,L,77,87,31,64,.484,7,27,.259,8,11,.727,12,34,13,13,1,19,17,,30,61,.492,11,21,.524,16,23,.696,10,34,15,14,2,15,15,2025,indiana-state
38366,7,2024-11-29,N,Arkansas State,L,81,86,28,67,.418,9,32,.281,16,20,.800,9,33,15,5,3,9,17,,31,68,.456,9,26,.346,15,22,.682,8,37,8,5,6,7,16,2025,indiana-state
38367,8,2024-11-30,N,Iona,W,83,80,27,51,.529,11,27,.407,18,24,.750,5,27,17,6,2,17,15,,30,64,.469,9,23,.391,11,19,.579,11,32,12,10,3,11,17,2025,indiana-state
38368,9,2024-12-01,N,Tarleton State,W,87,71,34,56,.607,13,29,.448,6,6,1.000,7,27,17,10,2,16,19,,24,54,.444,3,12,.250,20,24,.833,8,21,8,8,0,13,10,2025,indiana-state
38369,10,2024-12-07,@,Missouri State,W,80,77,32,56,.571,10,27,.370,6,10,.600,6,30,18,4,4,13,23,,26,58,.448,8,22,.364,17,27,.630,12,33,10,11,1,10,13,2025,indiana-state
38370,11,2024-12-18,,Murray State,W,84,74,29,51,.569,9,20,.450,17,23,.739,5,31,9,6,0,14,22,,24,58,.414,6,23,.261,20,26,.769,9,24,10,9,2,11,19,2025,indiana-state
38371,12,2024-12-21,,,W,101,53,42,72,.583,13,35,.371,4,8,.500,8,47,27,10,5,9,6,,22,71,.310,5,27,.185,4,4,1.000,7,30,4,6,1,13,4,2025,indiana-state
