,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38393,1,2024-11-04,@,Princeton,L,80,81,30,56,.536,6,13,.462,14,22,.636,10,31,14,7,0,16,21,,31,56,.554,8,26,.308,11,22,.500,8,24,14,6,2,9,15,2025,iona
38394,2,2024-11-08,@,Hofstra,L,76,90,23,59,.390,8,24,.333,22,30,.733,10,28,10,10,2,15,22,,32,59,.542,10,21,.476,16,24,.667,10,33,22,7,8,13,23,2025,iona
38395,3,2024-11-12,,Delaware,L,58,64,22,73,.301,4,22,.182,10,22,.455,25,52,9,10,5,17,17,,22,59,.373,7,20,.350,13,17,.765,10,34,8,9,6,15,19,2025,iona
38396,4,2024-11-15,,Vermont,W,62,59,21,57,.368,5,19,.263,15,23,.652,15,38,8,8,1,18,15,,21,46,.457,8,25,.320,9,12,.750,1,18,12,8,7,14,21,2025,iona
38397,5,2024-11-20,@,West Virginia,L,43,86,14,59,.237,5,19,.263,10,15,.667,14,30,6,7,2,20,17,,29,56,.518,15,31,.484,13,19,.684,12,38,15,11,11,16,17,2025,iona
38398,6,2024-11-25,,Cornell,L,68,84,26,65,.400,4,21,.190,12,19,.632,10,33,13,11,3,13,20,,27,56,.482,13,32,.406,17,20,.850,8,35,22,8,3,17,15,2025,iona
38399,7,2024-11-29,N,Tarleton State,W,62,51,24,53,.453,9,27,.333,5,10,.500,10,32,11,10,0,13,18,,17,43,.395,5,12,.417,12,18,.667,5,25,5,6,2,16,8,2025,iona
38400,8,2024-11-30,N,Indiana State,L,80,83,30,64,.469,9,23,.391,11,19,.579,11,32,12,10,3,11,17,,27,51,.529,11,27,.407,18,24,.750,5,27,17,6,2,17,15,2025,iona
38401,9,2024-12-01,N,Rice,L,66,70,22,62,.355,8,22,.364,14,20,.700,13,25,8,12,3,12,26,,21,46,.457,3,19,.158,25,29,.862,10,33,6,5,2,19,21,2025,iona
38402,10,2024-12-06,@,Sacred Heart,L,59,83,22,60,.367,3,14,.214,12,16,.750,10,30,14,8,2,15,17,,28,57,.491,10,24,.417,17,21,.810,8,34,18,7,1,16,15,2025,iona
