,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38426,1,2024-11-04,,East Texas A&M,W,89,67,32,70,.457,10,29,.345,15,20,.750,14,35,23,13,10,14,13,,29,62,.468,7,24,.292,2,6,.333,10,31,12,5,5,24,18,2025,iowa
38427,2,2024-11-07,,Southern,W,89,74,32,60,.533,18,40,.450,7,12,.583,5,32,26,5,4,12,14,,31,65,.477,6,19,.316,6,15,.400,9,34,16,10,1,11,15,2025,iowa
38428,3,2024-11-12,,South Dakota,W,96,77,37,68,.544,13,31,.419,9,12,.750,10,39,21,5,3,10,16,,30,68,.441,10,32,.313,7,14,.500,13,35,10,6,2,12,15,2025,iowa
38429,4,2024-11-15,N,Washington State,W,76,66,25,60,.417,8,25,.320,18,27,.667,9,34,14,10,5,13,13,,26,66,.394,5,28,.179,9,12,.750,10,40,11,7,6,17,25,2025,iowa
38430,5,2024-11-19,,Rider,W,83,58,30,64,.469,8,22,.364,15,21,.714,9,32,18,11,5,8,14,,23,54,.426,1,16,.063,11,13,.846,6,32,11,5,2,17,16,2025,iowa
38431,6,2024-11-22,N,Utah State,L,69,77,28,64,.438,5,26,.192,8,16,.500,6,26,19,11,8,16,18,,30,65,.462,7,21,.333,10,16,.625,13,45,17,13,6,18,20,2025,iowa
38432,7,2024-11-26,,USC Upstate,W,110,77,43,71,.606,12,26,.462,12,15,.800,5,33,24,12,5,7,10,,29,66,.439,9,27,.333,10,14,.714,8,31,14,4,2,19,14,2025,iowa
38433,8,2024-12-03,,Northwestern,W,80,79,30,55,.545,9,23,.391,11,19,.579,4,24,16,7,2,12,14,,29,60,.483,8,21,.381,13,16,.813,8,32,13,8,1,11,19,2025,iowa
38434,9,2024-12-07,@,Michigan,L,83,85,32,77,.416,9,27,.333,10,17,.588,13,27,13,5,2,4,18,,32,58,.552,4,20,.200,17,22,.773,10,42,15,3,3,16,16,2025,iowa
38435,10,2024-12-12,,Iowa State,L,80,89,28,63,.444,11,28,.393,13,15,.867,5,29,18,5,4,9,17,,31,70,.443,11,28,.393,16,22,.727,17,45,16,7,3,9,15,2025,iowa
38436,11,2024-12-15,,New Orleans,W,104,57,42,67,.627,14,29,.483,6,9,.667,6,33,28,9,11,6,7,,25,67,.373,4,24,.167,3,5,.600,12,28,16,4,1,15,7,2025,iowa
38437,12,2024-12-21,N,Utah,W,95,88,34,64,.531,9,20,.450,18,24,.750,8,27,15,8,5,11,14,,35,68,.515,7,21,.333,11,16,.688,9,34,24,8,3,11,18,2025,iowa
38438,13,2024-12-30,,New Hampshire,W,112,70,45,74,.608,10,29,.345,12,22,.545,10,42,27,9,7,9,11,,28,69,.406,8,26,.308,6,13,.462,11,37,13,8,1,18,18,2025,iowa
38439,14,2025-01-03,@,Wisconsin,L,85,116,32,66,.485,9,24,.375,12,18,.667,6,20,13,7,1,9,13,,40,62,.645,21,31,.677,15,17,.882,7,35,26,4,0,12,16,2025,iowa
38440,15,2025-01-07,,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,iowa
38441,16,2025-01-11,,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,iowa
38442,17,2025-01-14,@,USC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,iowa
38443,18,2025-01-17,@,UCLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,iowa
38444,19,2025-01-21,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,iowa
38445,20,2025-01-24,,Penn State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,iowa
38446,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,iowa
38447,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,iowa
