,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38955,1,1,2024-11-04,,Mississippi Valley State,REG (Non-Conf),W,83,44,,28,59,.475,5,21,.238,23,38,.605,.517,22,29,.759,11,25,36,16,16,6,12,12,19,51,.373,1,12,.083,18,39,.462,.382,5,11,.455,5,24,29,8,9,1,23,19,2025,iowa-state
38956,2,2,2024-11-11,,Kansas City,REG (Non-Conf),W,82,56,,30,62,.484,10,25,.400,20,37,.541,.565,12,19,.632,11,23,34,21,5,2,7,13,18,54,.333,8,31,.258,10,23,.435,.407,12,13,.923,8,14,22,9,6,5,12,17,2025,iowa-state
38957,3,3,2024-11-18,,IU Indy,REG (Non-Conf),W,87,52,,31,62,.500,7,25,.280,24,37,.649,.556,18,24,.750,11,29,40,19,8,4,9,10,18,52,.346,9,28,.321,9,24,.375,.433,7,9,.778,5,22,27,9,4,0,19,21,2025,iowa-state
38958,4,4,2024-11-25,N,Auburn,REG (Non-Conf),L,81,83,,25,53,.472,7,18,.389,18,35,.514,.538,24,29,.828,5,21,26,12,9,0,8,18,28,59,.475,9,27,.333,19,32,.594,.551,18,22,.818,7,23,30,14,7,4,12,23,2025,iowa-state
38959,5,5,2024-11-26,N,Dayton,REG (Non-Conf),W,89,84,,30,58,.517,4,17,.235,26,41,.634,.552,25,29,.862,5,15,20,11,7,2,6,21,29,50,.580,7,18,.389,22,32,.688,.650,19,26,.731,6,19,25,17,3,3,11,23,2025,iowa-state
38960,6,6,2024-11-27,N,Colorado,REG (Non-Conf),W,99,71,,35,58,.603,11,25,.440,24,33,.727,.698,18,23,.783,6,22,28,18,13,0,9,19,23,55,.418,8,19,.421,15,36,.417,.491,17,18,.944,6,17,23,18,4,1,17,17,2025,iowa-state
38961,7,7,2024-12-04,,Marquette,REG (Non-Conf),W,81,70,,30,59,.508,6,15,.400,24,44,.545,.559,15,21,.714,8,26,34,16,6,6,12,14,27,70,.386,11,31,.355,16,39,.410,.464,5,10,.500,11,19,30,15,4,5,10,19,2025,iowa-state
38962,8,8,2024-12-08,,Jackson State,REG (Non-Conf),W,100,58,,34,67,.507,11,28,.393,23,39,.590,.590,21,29,.724,14,26,40,26,16,2,7,14,20,54,.370,7,22,.318,13,32,.406,.435,11,13,.846,6,20,26,10,5,0,23,20,2025,iowa-state
38963,9,9,2024-12-12,@,Iowa,REG (Non-Conf),W,89,80,,31,70,.443,11,28,.393,20,42,.476,.521,16,22,.727,17,28,45,16,7,3,9,15,28,63,.444,11,28,.393,17,35,.486,.532,13,15,.867,5,24,29,18,5,4,9,17,2025,iowa-state
38964,10,10,2024-12-15,,Omaha,REG (Non-Conf),W,83,51,,32,60,.533,6,20,.300,26,40,.650,.583,13,18,.722,10,26,36,19,11,4,12,10,20,56,.357,6,23,.261,14,33,.424,.411,5,9,.556,7,15,22,10,10,2,18,13,2025,iowa-state
38965,11,11,2024-12-22,,Morgan State,REG (Non-Conf),W,99,72,,36,59,.610,7,20,.350,29,39,.744,.669,20,26,.769,8,26,34,26,11,11,11,13,29,63,.460,4,9,.444,25,54,.463,.492,10,15,.667,9,16,25,12,7,1,13,15,2025,iowa-state
38966,12,12,2024-12-30,@,Colorado,REG (Conf),W,79,69,,29,68,.426,4,18,.222,25,50,.500,.456,17,22,.773,14,18,32,9,13,3,9,14,28,57,.491,7,22,.318,21,35,.600,.553,6,8,.750,7,21,28,18,7,5,19,18,2025,iowa-state
38967,13,13,2025-01-04,,Baylor,REG (Conf),W,74,55,,24,49,.490,10,21,.476,14,28,.500,.592,16,24,.667,7,34,41,19,6,5,12,15,19,64,.297,7,29,.241,12,35,.343,.352,10,14,.714,12,21,33,11,9,2,7,16,2025,iowa-state
38968,14,14,2025-01-07,,Utah,REG (Conf),W,82,59,,27,61,.443,6,22,.273,21,39,.538,.492,22,29,.759,11,24,35,11,9,4,8,15,22,61,.361,7,29,.241,15,32,.469,.418,8,13,.615,12,21,33,18,6,6,17,20,2025,iowa-state
38969,15,15,2025-01-11,@,Texas Tech,REG (Conf),W,85,84,OT,31,59,.525,6,17,.353,25,42,.595,.576,17,24,.708,8,21,29,12,11,3,14,19,28,66,.424,9,20,.450,19,46,.413,.492,19,24,.792,14,20,34,16,5,1,14,19,2025,iowa-state
38970,16,16,2025-01-15,,Kansas,REG (Conf),W,74,57,,24,59,.407,8,13,.615,16,46,.348,.475,18,25,.720,9,28,37,17,11,4,13,14,24,59,.407,5,16,.313,19,43,.442,.449,4,11,.364,8,23,31,16,6,10,17,17,2025,iowa-state
