,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38525,1,2024-11-04,,Trinity Baptist,W,78,65,29,73,.397,6,32,.188,14,22,.636,20,47,19,12,3,12,18,,23,56,.411,8,25,.320,11,16,.688,3,26,6,6,1,18,17,2025,jacksonville
38526,2,2024-11-07,@,Florida,L,60,81,25,66,.379,7,24,.292,3,3,1.000,15,35,11,7,2,17,19,,30,57,.526,7,24,.292,14,25,.560,12,33,19,10,10,10,7,2025,jacksonville
38527,3,2024-11-11,@,Furman,L,69,78,24,65,.369,6,25,.240,15,20,.750,14,38,11,9,7,14,21,,26,57,.456,9,26,.346,17,24,.708,7,35,16,10,4,14,18,2025,jacksonville
38528,4,2024-11-14,,South Carolina State,W,71,62,26,54,.481,12,22,.545,7,14,.500,12,37,20,8,8,22,17,,22,58,.379,3,15,.200,15,25,.600,11,25,8,13,2,14,13,2025,jacksonville
38529,5,2024-11-20,@,Virginia Tech,W,74,64,31,60,.517,7,25,.280,5,8,.625,6,30,17,8,6,13,18,,23,56,.411,6,18,.333,12,20,.600,12,31,16,5,0,16,11,2025,jacksonville
38530,6,2024-11-25,N,Mercer,L (1 OT),89,90,32,72,.444,8,22,.364,17,24,.708,18,39,12,13,4,15,17,,36,62,.581,7,21,.333,11,16,.688,7,29,14,10,4,18,20,2025,jacksonville
38531,7,2024-11-26,N,Siena,W,75,64,25,53,.472,7,14,.500,18,26,.692,5,26,12,9,2,8,22,,21,52,.404,7,22,.318,15,20,.750,6,28,11,5,2,13,22,2025,jacksonville
38532,8,2024-11-30,@,Georgia,L,56,102,20,57,.351,7,25,.280,9,13,.692,8,21,12,9,2,15,17,,36,54,.667,14,24,.583,16,21,.762,4,29,24,12,5,12,14,2025,jacksonville
38533,9,2024-12-05,,Florida Tech,W,88,67,32,57,.561,4,12,.333,20,29,.690,8,35,19,4,2,9,13,,27,64,.422,6,18,.333,7,11,.636,9,29,11,4,2,13,18,2025,jacksonville
38534,10,2024-12-10,@,Florida Atlantic,L,63,85,17,55,.309,12,29,.414,17,27,.630,7,33,11,8,4,15,21,,30,68,.441,8,26,.308,17,26,.654,14,47,16,13,6,11,23,2025,jacksonville
38535,11,2024-12-14,,ETSU,W,60,52,23,56,.411,6,20,.300,8,11,.727,11,33,8,9,8,19,15,,20,58,.345,8,24,.333,4,14,.286,9,29,10,8,5,13,15,2025,jacksonville
38536,12,2024-12-21,@,UCF,L,66,86,23,56,.411,6,20,.300,14,18,.778,5,19,11,12,4,16,20,,27,46,.587,10,17,.588,22,25,.880,5,30,17,12,4,18,14,2025,jacksonville
38537,13,2025-01-02,,Lipscomb,L,65,70,25,51,.490,6,15,.400,9,13,.692,9,22,10,10,1,15,19,,22,39,.564,7,15,.467,19,26,.731,6,24,10,13,4,16,14,2025,jacksonville
38538,14,2025-01-04,,Austin Peay,W,68,44,24,52,.462,5,11,.455,15,20,.750,8,39,9,8,11,16,11,,19,69,.275,4,28,.143,2,5,.400,9,28,7,9,3,12,16,2025,jacksonville
38539,15,2025-01-09,@,Bellarmine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,jacksonville
38540,16,2025-01-11,@,Eastern Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,jacksonville
38541,17,2025-01-16,,North Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,jacksonville
38542,18,2025-01-18,,Central Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,jacksonville
38543,19,2025-01-23,@,West Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,jacksonville
38544,20,2025-01-25,@,Queens (NC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,jacksonville
38545,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,jacksonville
38546,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,jacksonville
38547,21,2025-01-29,,Florida Gulf Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,jacksonville
38548,22,2025-02-01,,North Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,jacksonville
38549,23,2025-02-06,@,Stetson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,jacksonville
38550,24,2025-02-08,,Bellarmine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,jacksonville
38551,25,2025-02-13,@,Central Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,jacksonville
38552,26,2025-02-15,@,North Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,jacksonville
38553,27,2025-02-18,@,Florida Gulf Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,jacksonville
38554,28,2025-02-20,@,North Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,jacksonville
38555,29,2025-02-24,,Eastern Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,jacksonville
38556,30,2025-02-26,,Stetson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,jacksonville
