,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38590,1,2024-11-04,,Ohio,W,88,78,31,57,.544,10,20,.500,16,26,.615,9,36,15,6,4,13,19,,30,59,.508,7,18,.389,11,20,.550,4,21,11,8,2,9,19,2025,james-madison
38591,2,2024-11-09,@,Norfolk State,L,69,83,23,62,.371,13,42,.310,10,18,.556,16,37,14,7,0,14,22,,27,45,.600,7,15,.467,22,29,.759,0,24,12,5,3,12,21,2025,james-madison
38592,3,2024-11-12,,Mary Baldwin,W,100,52,39,63,.619,6,16,.375,16,27,.593,8,45,18,11,5,13,15,,19,58,.328,3,20,.150,11,18,.611,4,24,7,6,0,18,21,2025,james-madison
38593,4,2024-11-16,@,Towson,L,63,67,23,58,.397,9,28,.321,8,9,.889,7,30,12,6,4,11,13,,24,55,.436,9,21,.429,10,13,.769,5,28,9,9,3,8,13,2025,james-madison
38594,5,2024-11-21,N,UIC,W,99,81,34,64,.531,10,24,.417,21,27,.778,11,34,16,13,3,12,17,,33,64,.516,3,13,.231,12,19,.632,10,25,12,6,2,16,21,2025,james-madison
38595,6,2024-11-22,N,UC-San Diego,L,67,73,24,56,.429,11,27,.407,8,8,1.000,6,25,10,1,3,9,22,,24,48,.500,7,18,.389,18,26,.692,3,24,10,5,1,5,15,2025,james-madison
38596,7,2024-11-23,N,Jacksonville State,W,71,65,24,55,.436,11,27,.407,12,16,.750,8,29,15,8,3,7,14,,25,51,.490,4,17,.235,11,18,.611,5,29,15,3,2,11,15,2025,james-madison
38597,8,2024-11-29,,George Mason,L,61,66,23,64,.359,10,40,.250,5,7,.714,15,36,12,3,0,9,18,,23,47,.489,4,13,.308,16,24,.667,3,25,11,6,2,11,14,2025,james-madison
38598,9,2024-12-03,,ETSU,W,71,61,23,50,.460,5,16,.313,20,25,.800,6,35,13,3,5,10,12,,23,64,.359,8,29,.276,7,14,.500,12,32,9,8,1,10,16,2025,james-madison
38599,10,2024-12-07,,Utah Valley,W,78,61,27,54,.500,13,26,.500,11,16,.688,7,32,19,5,5,11,17,,19,57,.333,5,21,.238,18,25,.720,10,27,7,8,2,9,11,2025,james-madison
38600,11,2024-12-17,@,Wake Forest,L,58,75,22,58,.379,8,24,.333,6,9,.667,8,23,12,7,3,8,13,,30,60,.500,7,24,.292,8,13,.615,11,35,12,4,9,9,12,2025,james-madison
38601,12,2024-12-21,@,South Alabama,L,49,77,16,55,.291,8,30,.267,9,12,.750,12,30,10,4,2,15,12,,29,56,.518,9,29,.310,10,11,.909,5,28,16,14,2,8,14,2025,james-madison
38602,13,2024-12-29,,Midway,W,96,64,37,70,.529,11,27,.407,11,16,.688,12,51,13,4,3,12,11,,22,70,.314,7,30,.233,13,16,.813,5,27,10,12,2,6,10,2025,james-madison
38603,14,2025-01-02,,Southern Miss,W,83,72,26,55,.473,10,27,.370,21,28,.750,5,29,15,3,4,8,18,,26,65,.400,7,23,.304,13,14,.929,13,32,11,3,3,9,17,2025,james-madison
38604,15,2025-01-04,,Arkansas State,W,67,62,24,59,.407,6,19,.316,13,18,.722,12,37,6,6,2,15,11,,27,61,.443,5,17,.294,3,8,.375,8,26,8,7,4,9,17,2025,james-madison
38605,16,2025-01-09,@,Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,james-madison
38606,17,2025-01-11,@,Appalachian State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,james-madison
38607,18,2025-01-16,,Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,james-madison
38608,19,2025-01-18,,Appalachian State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,james-madison
38609,20,2025-01-22,@,Old Dominion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,james-madison
38610,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,james-madison
38611,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,james-madison
38612,21,2025-01-25,@,Georgia State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,james-madison
38613,22,2025-01-30,,Coastal Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,james-madison
38614,23,2025-02-01,,Old Dominion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,james-madison
38615,24,2025-02-05,,Troy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,james-madison
38616,25,2025-02-13,@,Georgia Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,james-madison
38617,26,2025-02-15,@,Coastal Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,james-madison
38618,27,2025-02-20,,Georgia State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,james-madison
38619,28,2025-02-22,,Georgia Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,james-madison
38620,29,2025-02-25,@,Louisiana-Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,james-madison
38621,30,2025-02-28,@,Texas State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,james-madison
