,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38655,1,2024-11-05,,New Orleans,W,89,65,34,73,.466,13,34,.382,8,12,.667,18,41,24,7,6,9,12,,25,64,.391,9,20,.450,6,7,.857,12,33,13,7,3,12,13,2025,kansas-state
38656,2,2024-11-09,,Cleveland State,W,77,64,26,45,.578,10,19,.526,15,26,.577,5,18,16,12,6,19,17,,23,60,.383,6,18,.333,12,16,.750,16,29,12,13,3,17,20,2025,kansas-state
38657,3,2024-11-14,,LSU,L,65,76,23,61,.377,5,21,.238,14,20,.700,6,22,13,7,1,7,17,,27,54,.500,8,24,.333,14,18,.778,11,41,19,3,2,14,19,2025,kansas-state
38658,4,2024-11-19,,Mississippi Valley State,W,74,56,23,64,.359,3,23,.130,25,27,.926,20,42,15,8,5,10,12,,20,53,.377,8,19,.421,8,8,1.000,7,27,12,7,3,15,19,2025,kansas-state
38659,5,2024-11-22,N,George Washington,W,83,71,29,56,.518,9,26,.346,16,27,.593,10,38,19,9,3,12,22,,20,55,.364,8,25,.320,23,33,.697,6,27,9,9,2,10,23,2025,kansas-state
38660,6,2024-11-24,N,Liberty,L,65,67,27,60,.450,7,24,.292,4,5,.800,10,32,11,5,2,12,11,,24,53,.453,9,20,.450,10,14,.714,9,27,13,7,0,12,10,2025,kansas-state
38661,7,2024-11-25,N,Longwood,W,80,64,33,56,.589,11,20,.550,3,5,.600,8,34,15,8,3,18,19,,24,58,.414,2,15,.133,14,19,.737,7,23,8,8,4,13,13,2025,kansas-state
38662,8,2024-12-01,,Arkansas-Pine Bluff,W,120,73,40,65,.615,21,40,.525,19,26,.731,8,28,30,16,1,13,11,,32,68,.471,6,28,.214,3,6,.500,9,25,16,6,2,20,17,2025,kansas-state
38663,9,2024-12-07,@,St. John's (NY),L,71,88,25,71,.352,8,25,.320,13,20,.650,10,35,10,5,4,8,16,,32,75,.427,8,27,.296,16,17,.941,13,47,17,4,7,8,17,2025,kansas-state
38664,10,2024-12-17,,Drake,L (1 OT),70,73,26,52,.500,7,21,.333,11,20,.550,6,22,21,12,3,12,14,,24,49,.490,9,16,.563,16,22,.727,8,30,14,8,2,13,18,2025,kansas-state
