,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38688,1,2024-11-05,,Toccoa Falls,W,110,61,41,85,.482,10,34,.294,18,32,.563,27,62,20,10,4,9,13,,23,66,.348,4,18,.222,11,16,.688,5,24,5,7,5,16,19,2025,kennesaw-state
38689,2,2024-11-09,@,California Baptist,L,84,88,27,60,.450,15,31,.484,15,16,.938,9,30,17,4,4,17,27,,25,62,.403,3,18,.167,35,42,.833,14,37,7,10,1,8,17,2025,kennesaw-state
38690,3,2024-11-13,,Bryan,W,94,59,36,85,.424,13,40,.325,9,15,.600,21,62,21,7,6,9,8,,22,75,.293,10,36,.278,5,7,.714,7,36,12,8,2,11,11,2025,kennesaw-state
38691,4,2024-11-16,,Presbyterian,W,85,67,26,58,.448,11,25,.440,22,29,.759,12,36,12,8,4,9,20,,22,49,.449,5,13,.385,18,28,.643,8,27,10,7,2,14,22,2025,kennesaw-state
38692,5,2024-11-20,,Abilene Christian,W,84,78,22,41,.537,7,16,.438,33,41,.805,7,30,13,3,3,19,20,,27,59,.458,5,15,.333,19,30,.633,6,20,16,13,2,7,25,2025,kennesaw-state
38693,6,2024-11-24,,Rutgers,W,79,77,28,60,.467,8,27,.296,15,24,.625,11,41,14,6,7,21,21,,26,66,.394,8,25,.320,17,23,.739,7,24,15,14,3,9,19,2025,kennesaw-state
38694,7,2024-11-28,N,UC-Irvine,L,59,76,22,62,.355,4,23,.174,11,13,.846,8,31,9,10,3,17,13,,32,62,.516,6,23,.261,6,9,.667,5,36,24,11,6,16,14,2025,kennesaw-state
38695,8,2024-11-29,N,Towson,W (1 OT),67,63,22,59,.373,10,32,.313,13,24,.542,15,38,12,7,4,11,14,,25,75,.333,5,28,.179,8,12,.667,22,43,11,6,4,12,19,2025,kennesaw-state
38696,9,2024-11-30,N,Kent State,L,60,67,17,52,.327,4,22,.182,22,23,.957,8,34,13,5,1,17,24,,18,63,.286,5,29,.172,26,33,.788,17,38,8,10,4,9,19,2025,kennesaw-state
38697,10,2024-12-06,@,Georgia State,W,81,77,26,61,.426,9,29,.310,20,27,.741,7,31,14,8,5,11,19,,26,65,.400,9,24,.375,16,25,.640,15,41,15,6,2,12,22,2025,kennesaw-state
38698,11,2024-12-18,@,Santa Clara,L,74,94,23,49,.469,8,22,.364,20,29,.690,8,25,11,6,4,20,24,,28,56,.500,11,31,.355,27,34,.794,10,28,20,11,3,14,22,2025,kennesaw-state
38699,12,2024-12-21,@,San Jose State,L,65,89,21,67,.313,7,32,.219,16,26,.615,18,47,11,3,2,14,18,,33,63,.524,9,26,.346,14,22,.636,3,31,20,7,2,6,18,2025,kennesaw-state
38700,13,2024-12-29,,Brewton-Parker,W,112,77,43,86,.500,19,50,.380,7,12,.583,19,51,26,11,2,12,17,,30,69,.435,11,27,.407,6,18,.333,6,27,10,8,4,19,10,2025,kennesaw-state
