,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38721,1,2024-11-04,@,Louisiana,W,70,66,21,50,.420,6,24,.250,22,28,.786,11,32,9,3,3,15,19,,22,49,.449,9,20,.450,13,21,.619,4,24,14,7,3,10,22,2025,kent-state
38722,2,2024-11-08,,Miami-Hamilton,W,98,53,37,64,.578,12,28,.429,12,18,.667,11,32,24,14,5,9,17,,16,43,.372,4,14,.286,17,24,.708,8,23,9,6,1,21,13,2025,kent-state
38723,3,2024-11-13,@,Auburn,L,56,79,20,61,.328,5,21,.238,11,15,.733,10,28,5,5,0,7,19,,28,57,.491,6,24,.250,17,22,.773,10,36,23,3,6,6,12,2025,kent-state
38724,4,2024-11-21,,Niagara,W,76,73,24,55,.436,9,24,.375,19,22,.864,13,35,12,5,5,12,23,,23,50,.460,9,22,.409,18,23,.783,3,20,11,6,2,12,20,2025,kent-state
38725,5,2024-11-23,@,Cleveland State,W,68,52,23,51,.451,11,22,.500,11,13,.846,9,35,13,10,7,16,22,,15,50,.300,3,20,.150,19,28,.679,10,26,7,9,4,13,16,2025,kent-state
38726,6,2024-11-28,N,Towson,W,65,54,26,61,.426,9,28,.321,4,8,.500,8,29,12,8,2,7,13,,18,46,.391,8,21,.381,10,15,.667,8,33,10,5,1,13,12,2025,kent-state
38727,7,2024-11-29,N,UC-Irvine,L,39,51,14,62,.226,4,27,.148,7,12,.583,9,28,7,9,1,5,21,,15,47,.319,2,15,.133,19,22,.864,8,38,11,3,4,13,15,2025,kent-state
38728,8,2024-11-30,N,Kennesaw State,W,67,60,18,63,.286,5,29,.172,26,33,.788,17,38,8,10,4,9,19,,17,52,.327,4,22,.182,22,23,.957,8,34,13,5,1,17,24,2025,kent-state
38729,9,2024-12-06,,Portland,W,76,57,33,73,.452,8,26,.308,2,2,1.000,12,39,19,5,2,6,19,,16,46,.348,11,26,.423,14,20,.700,5,24,15,3,1,12,9,2025,kent-state
38730,10,2024-12-15,,Mercyhurst,W,82,57,28,59,.475,7,20,.350,19,24,.792,11,32,15,7,5,7,10,,23,52,.442,6,18,.333,5,6,.833,3,18,12,4,3,13,19,2025,kent-state
38731,11,2024-12-22,@,Alabama,L,54,81,21,75,.280,2,27,.074,10,13,.769,15,37,5,7,2,11,23,,27,60,.450,9,35,.257,18,35,.514,17,55,14,8,7,17,15,2025,kent-state
38732,12,2024-12-29,,Heidelberg,W,84,80,31,62,.500,10,23,.435,12,17,.706,12,32,20,6,3,12,13,,31,63,.492,8,19,.421,10,12,.833,9,23,12,9,2,7,13,2025,kent-state
38733,13,2025-01-04,,Ball State,L,67,75,24,67,.358,9,34,.265,10,13,.769,8,24,13,11,2,9,20,,24,46,.522,9,18,.500,18,26,.692,5,34,14,5,3,21,14,2025,kent-state
38734,14,2025-01-07,@,Northern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kent-state
38735,15,2025-01-10,@,Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kent-state
38736,16,2025-01-14,,Western Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kent-state
38737,17,2025-01-18,,Miami (OH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kent-state
38738,18,2025-01-21,@,Toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kent-state
38739,19,2025-01-24,@,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kent-state
38740,20,2025-01-28,,Bowling Green State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kent-state
38741,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,kent-state
38742,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,kent-state
38743,21,2025-01-31,,Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kent-state
38744,22,2025-02-04,@,Eastern Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kent-state
38745,23,2025-02-11,,Central Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kent-state
38746,24,2025-02-15,,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kent-state
38747,25,2025-02-18,@,Bowling Green State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kent-state
38748,26,2025-02-22,@,Miami (OH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kent-state
38749,27,2025-02-25,,Toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kent-state
38750,28,2025-03-01,@,Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kent-state
38751,29,2025-03-04,@,Western Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kent-state
38752,30,2025-03-07,,Eastern Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kent-state
