,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38753,1,2024-11-04,,Wright State,W,103,62,39,65,.600,11,24,.458,14,19,.737,7,40,30,11,4,7,14,,24,68,.353,5,27,.185,9,12,.750,10,30,8,4,1,12,12,2025,kentucky
38754,2,2024-11-09,,Bucknell,W,100,72,38,79,.481,13,36,.361,11,16,.688,20,49,23,9,6,15,13,,29,73,.397,12,33,.364,2,6,.333,9,32,18,8,1,13,14,2025,kentucky
38755,3,2024-11-12,N,Duke,W,77,72,25,63,.397,10,25,.400,17,24,.708,8,35,17,4,8,10,18,,28,71,.394,4,24,.167,12,17,.706,10,42,12,6,6,7,19,2025,kentucky
38756,4,2024-11-19,,Lipscomb,W,97,68,34,62,.548,12,25,.480,17,21,.810,9,43,10,3,6,8,14,,26,67,.388,5,29,.172,11,12,.917,5,25,13,4,1,6,14,2025,kentucky
38757,5,2024-11-22,,Jackson State,W,108,59,41,71,.577,17,39,.436,9,10,.900,4,39,29,13,9,10,11,,23,69,.333,4,21,.190,9,18,.500,10,34,6,5,3,16,10,2025,kentucky
38758,6,2024-11-26,,Western Kentucky,W,87,68,25,62,.403,8,29,.276,29,42,.690,13,48,16,5,7,10,20,,21,66,.318,4,26,.154,22,29,.759,12,40,7,7,3,11,29,2025,kentucky
38759,7,2024-11-29,,Georgia State,W,105,76,40,67,.597,7,26,.269,18,22,.818,7,32,23,10,2,9,20,,26,56,.464,11,21,.524,13,20,.650,4,23,14,6,1,17,24,2025,kentucky
38760,8,2024-12-03,@,Clemson,L,66,70,24,63,.381,7,27,.259,11,18,.611,10,35,11,6,6,12,20,,24,65,.369,8,25,.320,14,19,.737,14,42,13,6,9,7,15,2025,kentucky
38761,9,2024-12-07,N,Gonzaga,W (1 OT),90,89,34,75,.453,7,25,.280,15,18,.833,15,40,17,1,4,7,21,,33,71,.465,6,27,.222,17,24,.708,13,39,17,2,2,5,15,2025,kentucky
38762,10,2024-12-11,,Colgate,W,78,67,30,70,.429,10,31,.323,8,13,.615,13,41,15,6,4,5,6,,27,66,.409,11,33,.333,2,3,.667,7,34,15,5,0,8,11,2025,kentucky
38763,11,2024-12-14,,Louisville,W,93,85,32,55,.582,11,21,.524,18,28,.643,7,36,23,6,2,11,18,,31,70,.443,14,39,.359,9,14,.643,10,28,8,3,0,7,20,2025,kentucky
38764,12,2024-12-21,N,Ohio State,L,65,85,17,57,.298,4,22,.182,27,32,.844,11,28,11,6,3,9,20,,30,53,.566,4,14,.286,21,27,.778,6,29,12,8,3,7,22,2025,kentucky
38765,13,2024-12-31,,Brown,W,88,54,30,60,.500,10,28,.357,18,23,.783,9,27,18,14,5,5,15,,20,49,.408,5,21,.238,9,12,.750,7,30,11,3,3,23,17,2025,kentucky
38766,14,2025-01-04,,Florida,W,106,100,37,64,.578,14,29,.483,18,24,.750,8,26,25,6,2,5,20,,33,60,.550,12,33,.364,22,35,.629,12,33,16,3,4,8,20,2025,kentucky
38767,15,2025-01-07,@,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kentucky
38768,16,2025-01-11,@,Mississippi State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kentucky
38769,17,2025-01-14,,Texas A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kentucky
38770,18,2025-01-18,,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kentucky
38771,19,2025-01-25,@,Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kentucky
38772,20,2025-01-28,@,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kentucky
38773,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,kentucky
38774,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,kentucky
38775,21,2025-02-01,,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kentucky
38776,22,2025-02-04,@,Ole Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kentucky
38777,23,2025-02-08,,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kentucky
38778,24,2025-02-11,,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kentucky
38779,25,2025-02-15,@,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kentucky
38780,26,2025-02-19,,Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kentucky
38781,27,2025-02-22,@,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kentucky
38782,28,2025-02-26,@,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kentucky
38783,29,2025-03-01,,Auburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kentucky
38784,30,2025-03-04,,LSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kentucky
38785,31,2025-03-08,@,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,kentucky
