,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38786,1,2024-11-04,,American,W,65,52,23,55,.418,5,16,.313,14,18,.778,9,36,7,5,3,5,14,,20,55,.364,9,31,.290,3,8,.375,8,28,13,3,3,9,16,2025,la-salle
38787,2,2024-11-09,,Lafayette,W,81,60,27,61,.443,7,20,.350,20,26,.769,10,46,17,8,2,11,16,,22,61,.361,9,30,.300,7,15,.467,5,26,14,7,1,9,20,2025,la-salle
38788,3,2024-11-12,,Cornell,W,93,77,31,61,.508,7,18,.389,24,33,.727,10,34,9,8,2,11,19,,29,62,.468,5,27,.185,14,21,.667,11,29,12,7,3,14,26,2025,la-salle
38789,4,2024-11-16,@,Drexel,W,71,68,26,62,.419,8,24,.333,11,12,.917,6,30,16,7,5,10,12,,29,64,.453,6,19,.316,4,11,.364,8,34,14,2,6,8,13,2025,la-salle
38790,5,2024-11-21,N,UC-San Diego,L,67,72,21,55,.382,7,24,.292,18,31,.581,11,40,6,2,1,14,19,,22,62,.355,11,32,.344,17,28,.607,12,37,13,10,3,8,22,2025,la-salle
38791,6,2024-11-22,N,UIC,L,83,96,33,66,.500,5,18,.278,12,18,.667,4,22,12,6,4,8,24,,28,53,.528,10,26,.385,30,34,.882,7,33,15,6,2,13,17,2025,la-salle
38792,7,2024-11-23,N,Stetson,W,92,77,33,69,.478,10,21,.476,16,21,.762,13,39,15,6,3,9,16,,27,64,.422,7,19,.368,16,18,.889,10,32,11,6,3,10,17,2025,la-salle
38793,8,2024-11-30,,Temple,W,83,75,32,81,.395,7,25,.280,12,16,.750,13,39,16,12,8,6,16,,30,67,.448,1,16,.063,14,16,.875,8,40,13,4,4,15,15,2025,la-salle
38794,9,2024-12-03,@,Northeastern,L,68,82,25,67,.373,8,23,.348,10,13,.769,11,31,9,12,4,17,15,,33,63,.524,8,19,.421,8,11,.727,8,36,18,11,8,17,14,2025,la-salle
38795,10,2024-12-07,N,St. Joseph's,L,68,82,22,60,.367,6,24,.250,18,21,.857,11,33,9,6,3,11,14,,32,60,.533,6,19,.316,12,16,.750,4,28,22,8,2,9,16,2025,la-salle
38796,11,2024-12-14,@,UNC,L,67,93,26,73,.356,10,29,.345,5,11,.455,11,31,15,7,0,12,16,,36,67,.537,10,31,.323,11,23,.478,12,45,22,8,6,10,16,2025,la-salle
38797,12,2024-12-18,,FDU,W,77,72,26,61,.426,3,18,.167,22,30,.733,15,37,10,9,5,11,13,,28,58,.483,8,22,.364,8,12,.667,7,28,18,7,2,13,20,2025,la-salle
38798,13,2024-12-21,,Immaculata,W,108,48,43,71,.606,15,30,.500,7,8,.875,12,48,26,10,2,5,8,,18,64,.281,5,26,.192,7,10,.700,10,23,11,4,4,12,11,2025,la-salle
38799,14,2024-12-31,@,Dayton,L,70,84,25,61,.410,7,20,.350,13,19,.684,7,33,12,7,3,16,20,,31,65,.477,7,25,.280,15,21,.714,7,36,20,11,3,11,17,2025,la-salle
38800,15,2025-01-08,,Loyola (IL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,la-salle
38801,16,2025-01-11,@,St. Bonaventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,la-salle
38802,17,2025-01-15,,Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,la-salle
38803,18,2025-01-19,@,UMass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,la-salle
38804,19,2025-01-22,@,Saint Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,la-salle
38805,20,2025-01-25,,Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,la-salle
38806,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,la-salle
38807,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,la-salle
38808,21,2025-01-29,,Fordham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,la-salle
