,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38852,1,2024-11-04,,Paul Quinn,W,113,42,46,82,.561,9,31,.290,12,22,.545,11,44,32,21,3,8,14,,16,53,.302,2,12,.167,8,16,.500,4,28,7,5,1,29,16,2025,lamar
38853,2,2024-11-11,@,Texas A&M,L,71,97,24,64,.375,6,18,.333,17,25,.680,13,28,12,10,2,9,21,,32,58,.552,12,26,.462,21,32,.656,15,44,21,7,6,14,19,2025,lamar
38854,3,2024-11-17,,Sam Houston,L,72,85,23,64,.359,6,22,.273,20,25,.800,17,33,16,6,3,14,15,,31,57,.544,10,21,.476,13,18,.722,9,28,24,5,5,10,20,2025,lamar
38855,4,2024-11-22,@,Akron,L,72,79,22,52,.423,4,17,.235,24,33,.727,7,33,7,2,4,17,24,,26,70,.371,6,33,.182,21,31,.677,17,39,13,6,4,9,28,2025,lamar
38856,5,2024-11-23,N,Alabama State,L,75,77,23,54,.426,8,21,.381,21,28,.750,10,32,14,5,2,11,21,,26,53,.491,8,21,.381,17,24,.708,1,21,9,4,3,9,21,2025,lamar
38857,6,2024-11-24,N,Omaha,L,59,65,20,53,.377,11,24,.458,8,11,.727,5,28,16,6,10,14,16,,20,56,.357,12,23,.522,13,18,.722,10,32,12,10,2,12,12,2025,lamar
38858,7,2024-11-30,,Our Lady of the Lake,W,88,54,36,66,.545,8,21,.381,8,15,.533,12,39,25,11,5,15,11,,20,60,.333,6,17,.353,8,9,.889,10,23,16,12,3,21,11,2025,lamar
38859,8,2024-12-05,@,Texas A&M-Corpus Christi,W,65,61,26,58,.448,6,19,.316,7,9,.778,9,33,17,9,9,14,16,,24,56,.429,0,13,.000,13,23,.565,9,26,11,11,5,9,15,2025,lamar
38860,9,2024-12-07,@,Texas-Rio Grande Valley,W,84,52,37,64,.578,6,13,.462,4,7,.571,7,31,13,9,3,10,11,,18,54,.333,5,29,.172,11,12,.917,7,24,8,8,1,17,14,2025,lamar
38861,10,2024-12-14,@,Louisiana,W,74,45,30,58,.517,7,15,.467,7,15,.467,12,43,13,8,8,9,13,,14,53,.264,6,21,.286,11,16,.688,8,27,6,3,3,12,10,2025,lamar
38862,11,2024-12-17,@,Southern Miss,W,69,65,26,66,.394,7,22,.318,10,15,.667,10,30,17,8,8,11,18,,24,57,.421,2,13,.154,15,25,.600,12,36,17,7,9,11,16,2025,lamar
38863,12,2024-12-21,@,Texas Tech,L,57,101,23,70,.329,6,20,.300,5,9,.556,16,31,10,3,4,12,12,,36,65,.554,13,29,.448,16,18,.889,10,36,19,9,4,6,10,2025,lamar
38864,13,2024-12-30,,,W,82,65,33,68,.485,7,22,.318,9,14,.643,15,45,25,7,5,14,13,,25,63,.397,7,16,.438,8,16,.500,9,29,15,6,1,12,14,2025,lamar
38865,14,2025-01-04,,Houston Christian,W,63,61,28,67,.418,5,16,.313,2,4,.500,8,31,19,14,5,7,11,,23,58,.397,8,24,.333,7,9,.778,9,35,11,5,2,17,9,2025,lamar
38866,15,2025-01-06,,Incarnate Word,W,72,58,29,60,.483,5,18,.278,9,13,.692,12,34,24,9,4,11,11,,23,52,.442,5,17,.294,7,9,.778,7,22,12,8,2,14,13,2025,lamar
38867,16,2025-01-11,,Stephen F. Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lamar
38868,17,2025-01-13,,New Orleans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lamar
38869,18,2025-01-18,@,McNeese State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lamar
38870,19,2025-01-20,@,Nicholls State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lamar
38871,20,2025-01-25,,East Texas A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lamar
38872,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,lamar
38873,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,lamar
38874,21,2025-01-27,,Northwestern State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lamar
38875,22,2025-02-01,@,Stephen F. Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lamar
38876,23,2025-02-03,@,Southeastern Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lamar
38877,24,2025-02-08,,Texas-Rio Grande Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lamar
38878,25,2025-02-10,,Texas A&M-Corpus Christi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lamar
38879,26,2025-02-15,@,East Texas A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lamar
38880,27,2025-02-17,@,Northwestern State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lamar
38881,28,2025-02-22,@,Houston Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lamar
38882,29,2025-02-24,@,Incarnate Word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lamar
38883,30,2025-03-01,,McNeese State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lamar
38884,31,2025-03-03,,Nicholls State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lamar
