,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39428,1,1,2024-11-04,@,Syracuse,REG (Non-Conf),L,82,86,,28,57,.491,9,25,.360,19,32,.594,.570,17,23,.739,5,24,29,12,6,1,16,25,31,72,.431,4,22,.182,27,50,.540,.458,20,31,.645,18,26,44,15,7,2,11,11,2025,le-moyne
39429,2,2,2024-11-06,,Cal State Northridge,REG (Non-Conf),L,75,97,,17,53,.321,11,36,.306,6,17,.353,.425,30,40,.750,6,19,25,14,9,0,14,26,33,60,.550,8,18,.444,25,42,.595,.617,23,33,.697,12,31,43,23,7,4,13,24,2025,le-moyne
39430,3,3,2024-11-09,,SUNY Poly,REG (Non-Conf),W,107,73,,44,75,.587,8,24,.333,36,51,.706,.640,11,18,.611,18,29,47,24,11,5,15,17,24,61,.393,9,28,.321,15,33,.455,.467,16,22,.727,6,17,23,14,9,5,16,13,2025,le-moyne
39431,4,4,2024-11-13,@,Connecticut,REG (Non-Conf),L,49,90,,19,54,.352,6,21,.286,13,33,.394,.407,5,8,.625,3,12,15,8,5,1,11,10,35,63,.556,12,33,.364,23,30,.767,.651,8,11,.727,11,23,34,24,7,9,7,13,2025,le-moyne
39432,5,5,2024-11-16,@,St. Bonaventure,REG (Non-Conf),L,52,71,,20,59,.339,8,29,.276,12,30,.400,.407,4,7,.571,5,17,22,14,5,0,10,17,25,52,.481,8,23,.348,17,29,.586,.558,13,23,.565,11,31,42,13,6,9,12,12,2025,le-moyne
39433,6,6,2024-11-22,N,UT Martin,REG (Non-Conf),W,65,53,,19,53,.358,8,29,.276,11,24,.458,.434,19,26,.731,9,34,43,13,7,4,15,20,17,67,.254,3,31,.097,14,36,.389,.276,16,24,.667,18,28,46,5,5,3,12,24,2025,le-moyne
39434,7,7,2024-11-23,@,Texas A&M–Corpus Christi,REG (Non-Conf),L,61,82,,20,47,.426,3,13,.231,17,34,.500,.457,18,27,.667,6,17,23,9,10,0,14,17,31,54,.574,7,15,.467,24,39,.615,.639,13,22,.591,10,25,35,15,8,2,13,22,2025,le-moyne
39435,8,8,2024-11-25,@,Texas–Rio Grande Valley,REG (Non-Conf),L,77,97,,30,60,.500,7,22,.318,23,38,.605,.558,10,15,.667,11,21,32,21,6,0,20,21,34,72,.472,13,40,.325,21,32,.656,.563,16,18,.889,15,17,32,23,10,2,10,16,2025,le-moyne
39436,9,9,2024-11-29,@,Manhattan,REG (Non-Conf),W,81,77,,32,53,.604,4,14,.286,28,39,.718,.642,13,21,.619,4,25,29,22,9,7,14,21,23,63,.365,8,31,.258,15,32,.469,.429,23,28,.821,14,22,36,13,8,1,14,18,2025,le-moyne
39437,10,10,2024-12-03,,Army,REG (Non-Conf),L,100,103,3OT,35,87,.402,8,31,.258,27,56,.482,.448,22,24,.917,14,36,50,17,8,7,12,25,35,87,.402,10,39,.256,25,48,.521,.460,23,29,.793,14,34,48,17,9,2,11,20,2025,le-moyne
39438,11,11,2024-12-07,,Binghamton,REG (Non-Conf),L,62,72,,24,60,.400,3,19,.158,21,41,.512,.425,11,15,.733,9,21,30,11,8,5,6,15,24,53,.453,11,22,.500,13,31,.419,.557,13,17,.765,10,25,35,14,3,2,13,13,2025,le-moyne
39439,12,12,2024-12-14,,SUNY Delhi,REG (Non-Conf),W,106,51,,38,65,.585,20,35,.571,18,30,.600,.738,10,18,.556,13,33,46,26,11,2,13,18,18,60,.300,5,19,.263,13,41,.317,.342,10,17,.588,8,19,27,7,8,3,15,14,2025,le-moyne
39440,13,13,2024-12-18,@,Dartmouth,REG (Non-Conf),W,80,76,,29,57,.509,9,22,.409,20,35,.571,.588,13,18,.722,6,24,30,16,9,0,12,20,26,58,.448,11,25,.440,15,33,.455,.543,13,19,.684,6,21,27,14,8,3,12,19,2025,le-moyne
39441,14,14,2024-12-22,@,Notre Dame,REG (Non-Conf),L,62,91,,21,57,.368,7,26,.269,14,31,.452,.430,13,16,.813,6,19,25,11,5,2,13,24,28,58,.483,9,24,.375,19,34,.559,.560,26,32,.813,14,26,40,16,6,2,10,11,2025,le-moyne
39442,15,15,2024-12-29,@,Niagara,REG (Non-Conf),L,69,88,,22,50,.440,8,22,.364,14,28,.500,.520,17,23,.739,7,22,29,9,5,2,18,19,31,66,.470,10,24,.417,21,42,.500,.545,16,22,.727,14,17,31,19,14,1,11,14,2025,le-moyne
39443,16,16,2025-01-03,@,LIU,REG (Conf),L,62,78,,21,48,.438,4,18,.222,17,30,.567,.479,16,20,.800,6,14,20,13,5,7,14,18,30,54,.556,7,13,.538,23,41,.561,.620,11,19,.579,10,20,30,19,8,3,10,15,2025,le-moyne
39444,17,17,2025-01-10,,FDU,REG (Conf),L,86,91,2OT,28,66,.424,6,22,.273,22,44,.500,.470,24,35,.686,15,32,47,14,7,1,19,31,28,70,.400,7,29,.241,21,41,.512,.450,28,38,.737,9,26,35,16,7,7,9,26,2025,le-moyne
39445,18,18,2025-01-12,,Mercyhurst,REG (Conf),W,79,63,,26,49,.531,6,19,.316,20,30,.667,.592,21,30,.700,11,28,39,14,4,2,9,21,23,56,.411,7,19,.368,16,37,.432,.473,10,14,.714,6,14,20,16,6,1,7,21,2025,le-moyne
39446,19,19,2025-01-18,@,Chicago State,REG (Conf),L,72,88,,23,47,.489,8,21,.381,15,26,.577,.574,18,31,.581,6,24,30,11,6,3,17,24,29,53,.547,11,19,.579,18,34,.529,.651,19,34,.559,7,23,30,19,12,4,10,27,2025,le-moyne
39447,20,20,2025-01-20,,Stonehill,REG (Conf),W,73,72,,23,58,.397,11,24,.458,12,34,.353,.491,16,21,.762,9,27,36,16,3,3,8,21,22,54,.407,9,26,.346,13,28,.464,.491,19,26,.731,7,26,33,12,3,1,7,20,2025,le-moyne
39448,21,21,2025-01-24,,Central Connecticut State,REG (Conf),L,70,93,,26,64,.406,13,36,.361,13,28,.464,.508,5,9,.556,7,18,25,17,5,1,4,9,36,65,.554,11,21,.524,25,44,.568,.638,10,10,1.000,11,30,41,20,3,2,8,11,2025,le-moyne
39449,22,22,2025-01-30,@,FDU,REG (Conf),L,74,78,,30,55,.545,4,11,.364,26,44,.591,.582,10,20,.500,11,21,32,15,7,1,12,21,29,57,.509,8,21,.381,21,36,.583,.579,12,24,.500,12,16,28,13,10,3,12,15,2025,le-moyne
39450,23,23,2025-02-01,@,Wagner,REG (Conf),L,61,73,,20,42,.476,4,17,.235,16,25,.640,.524,17,26,.654,4,11,15,8,8,2,10,19,21,37,.568,10,17,.588,11,20,.550,.703,21,25,.840,4,21,25,15,4,1,13,21,2025,le-moyne
39451,24,24,2025-02-06,@,Saint Francis (PA),REG (Conf),L,78,86,,28,58,.483,5,21,.238,23,37,.622,.526,17,24,.708,9,17,26,12,10,1,13,23,27,50,.540,11,26,.423,16,24,.667,.650,21,30,.700,7,21,28,18,8,1,18,19,2025,le-moyne
39452,25,25,2025-02-08,@,Mercyhurst,REG (Conf),L,78,82,,27,49,.551,13,26,.500,14,23,.609,.684,11,14,.786,4,23,27,15,2,1,16,19,27,56,.482,12,26,.462,15,30,.500,.589,16,16,1.000,4,19,23,24,7,0,5,16,2025,le-moyne
39453,26,26,2025-02-13,,Wagner,REG (Conf),W,72,68,OT,21,58,.362,8,29,.276,13,29,.448,.431,22,28,.786,8,24,32,11,9,3,6,19,25,59,.424,7,25,.280,18,34,.529,.483,11,18,.611,11,30,41,9,2,1,15,24,2025,le-moyne
39454,27,27,2025-02-15,,Chicago State,REG (Conf),W,80,75,,27,56,.482,12,27,.444,15,29,.517,.589,14,20,.700,8,27,35,17,5,1,16,12,29,63,.460,10,28,.357,19,35,.543,.540,7,8,.875,4,21,25,14,9,7,9,16,2025,le-moyne
39455,28,28,2025-02-20,,Saint Francis (PA),REG (Conf),L,76,81,OT,29,56,.518,11,32,.344,18,24,.750,.616,7,10,.700,6,19,25,17,11,1,17,19,29,64,.453,10,31,.323,19,33,.576,.531,13,17,.765,15,19,34,11,11,2,16,14,2025,le-moyne
39456,29,29,2025-02-22,,LIU,REG (Conf),L,61,76,,17,38,.447,5,16,.313,12,22,.545,.513,22,24,.917,5,19,24,11,5,1,20,16,27,61,.443,6,21,.286,21,40,.525,.492,16,19,.842,13,14,27,14,13,3,7,18,2025,le-moyne
39457,30,30,2025-02-27,@,Central Connecticut State,REG (Conf),L,75,84,,28,60,.467,10,22,.455,18,38,.474,.550,9,12,.750,6,19,25,14,9,1,10,11,34,63,.540,10,23,.435,24,40,.600,.619,6,6,1.000,7,25,32,15,9,5,13,10,2025,le-moyne
39458,31,,2025-02-28,@,Central Connecticut State,REG (Conf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,le-moyne
39459,32,32,2025-03-01,@,Stonehill,REG (Conf),L,79,85,,28,58,.483,10,19,.526,18,39,.462,.569,13,18,.722,10,17,27,10,6,3,11,24,23,47,.489,12,24,.500,11,23,.478,.617,27,31,.871,8,20,28,18,5,1,10,22,2025,le-moyne
39460,Rk,Gtm,Date,,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,2025,le-moyne
39461,33,33,2025-03-05,@,Central Connecticut State,CTOURN,L,67,86,,26,53,.491,4,18,.222,22,35,.629,.528,11,21,.524,8,19,27,12,6,1,11,12,30,57,.526,12,25,.480,18,32,.563,.632,14,16,.875,8,23,31,18,10,4,10,15,2025,le-moyne
39462,,,,,,,9-23,2371,2566,,826,1802,.458,253,746,.339,573,1056,.543,.529,466,662,.704,255,712,967,454,222,69,416,614,884,1912,.462,288,788,.365,596,1124,.530,.538,510,699,.730,324,730,1054,503,242,96,359,554,2025,le-moyne
