,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38918,1,2024-11-04,@,Northwestern,L,46,90,17,53,.321,2,17,.118,10,18,.556,6,26,8,4,1,12,16,,36,66,.545,9,20,.450,9,14,.643,10,41,22,10,3,7,18,2025,lehigh
38919,2,2024-11-06,@,Georgetown,L,77,85,28,59,.475,10,23,.435,11,17,.647,6,24,16,7,1,13,18,,31,64,.484,5,22,.227,18,23,.783,16,40,12,7,8,13,17,2025,lehigh
38920,3,2024-11-12,@,Columbia,L,75,76,29,53,.547,9,22,.409,8,14,.571,4,25,19,2,1,8,18,,28,62,.452,9,25,.360,11,21,.524,10,34,17,6,2,6,15,2025,lehigh
38921,4,2024-11-15,@,UCLA,L,45,85,15,51,.294,6,24,.250,9,15,.600,4,18,7,2,0,11,20,,31,56,.554,3,13,.231,20,26,.769,10,41,14,5,0,8,19,2025,lehigh
38922,5,2024-11-20,,Valley Forge,W,100,53,38,68,.559,16,35,.457,8,12,.667,11,50,29,8,4,14,15,,19,63,.302,7,22,.318,8,12,.667,5,22,7,9,1,14,11,2025,lehigh
38923,6,2024-11-26,@,Saint Francis (PA),L,78,88,30,63,.476,9,28,.321,9,12,.750,8,27,12,5,2,10,13,,34,62,.548,9,25,.360,11,14,.786,10,33,16,6,4,10,12,2025,lehigh
38924,7,2024-11-30,,Marist,W,74,69,26,53,.491,5,12,.417,17,25,.680,4,31,15,2,1,8,15,,28,66,.424,7,25,.280,6,8,.750,7,32,8,5,3,4,21,2025,lehigh
38925,8,2024-12-04,,Monmouth,W,90,63,30,53,.566,11,23,.478,19,23,.826,5,33,20,5,3,10,21,,15,59,.254,5,19,.263,28,35,.800,13,29,5,8,2,9,21,2025,lehigh
38926,9,2024-12-07,@,Dayton,L,62,86,24,62,.387,8,23,.348,6,11,.545,7,30,14,2,2,4,18,,28,49,.571,14,22,.636,16,23,.696,1,33,21,3,7,4,13,2025,lehigh
38927,10,2024-12-21,@,LIU,W,60,59,18,47,.383,8,16,.500,16,20,.800,2,22,14,11,4,16,8,,25,57,.439,4,17,.235,5,8,.625,9,36,16,10,3,17,17,2025,lehigh
38928,11,2024-12-29,,Neumann,W,87,67,30,58,.517,9,22,.409,18,22,.818,9,40,18,5,1,12,15,,28,63,.444,4,10,.400,7,15,.467,3,21,5,7,1,8,16,2025,lehigh
38929,12,2025-01-02,,Bucknell,W (1 OT),66,64,22,65,.338,9,27,.333,13,21,.619,9,36,10,9,5,14,16,,24,60,.400,5,18,.278,11,20,.550,8,37,12,10,4,16,21,2025,lehigh
38930,13,2025-01-05,@,Loyola (MD),L,74,80,24,60,.400,10,24,.417,16,22,.727,7,26,8,9,0,11,25,,25,52,.481,3,13,.231,27,33,.818,9,37,9,7,3,13,19,2025,lehigh
38931,14,2025-01-08,@,Colgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lehigh
38932,15,2025-01-11,,Army,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lehigh
38933,16,2025-01-15,@,Boston University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lehigh
38934,17,2025-01-18,,Loyola (MD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lehigh
38935,18,2025-01-22,@,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lehigh
38936,19,2025-01-25,,Lafayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lehigh
38937,20,2025-01-29,,Navy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lehigh
38938,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,lehigh
38939,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,lehigh
38940,21,2025-02-01,@,Holy Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lehigh
38941,22,2025-02-03,,Colgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lehigh
38942,23,2025-02-08,,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lehigh
38943,24,2025-02-12,@,Navy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lehigh
38944,25,2025-02-15,,Holy Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lehigh
38945,26,2025-02-17,@,Bucknell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lehigh
38946,27,2025-02-22,@,Lafayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lehigh
38947,28,2025-02-26,,Boston University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lehigh
38948,29,2025-03-01,@,Army,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lehigh
