,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
38949,1,2024-11-04,N,Valparaiso,W,83,63,32,59,.542,10,24,.417,9,13,.692,4,32,15,6,5,5,16,,22,63,.349,2,15,.133,17,21,.810,8,30,7,1,2,8,13,2025,liberty
38950,2,2024-11-09,@,Seattle,W,66,64,24,50,.480,8,22,.364,10,19,.526,7,26,11,7,0,14,21,,24,46,.522,5,14,.357,11,24,.458,6,29,10,11,2,12,16,2025,liberty
38951,3,2024-11-12,,Carolina,W,81,45,28,69,.406,13,45,.289,12,17,.706,9,34,22,12,3,3,7,,15,46,.326,9,21,.429,6,6,1.000,4,33,11,3,3,21,14,2025,liberty
38952,4,2024-11-16,N,Florida Atlantic,L (1 OT),74,77,26,61,.426,10,34,.294,12,21,.571,10,36,17,11,3,12,13,,30,59,.508,8,21,.381,9,12,.750,2,29,10,5,2,13,15,2025,liberty
38953,5,2024-11-17,@,College of Charleston,W,68,47,26,50,.520,8,18,.444,8,15,.533,4,32,17,11,9,13,15,,16,52,.308,4,13,.308,11,14,.786,7,28,8,5,2,15,11,2025,liberty
38954,6,2024-11-22,N,Louisiana,W,89,69,33,49,.673,9,18,.500,14,23,.609,9,30,19,3,1,14,13,,25,56,.446,8,24,.333,11,13,.846,3,15,14,8,1,6,18,2025,liberty
38955,7,2024-11-24,N,Kansas State,W,67,65,24,53,.453,9,20,.450,10,14,.714,9,27,13,7,0,12,10,,27,60,.450,7,24,.292,4,5,.800,10,32,11,5,2,12,11,2025,liberty
38956,8,2024-11-25,N,McNeese State,W,62,58,20,48,.417,11,31,.355,11,14,.786,5,23,14,5,2,11,13,,21,47,.447,1,12,.083,15,18,.833,8,26,5,7,1,13,15,2025,liberty
38957,9,2024-11-29,,Central Pennsylvania College,W,93,36,38,71,.535,11,35,.314,6,8,.750,13,47,19,9,3,7,8,,16,57,.281,4,21,.190,0,2,.000,6,25,6,5,2,14,11,2025,liberty
38958,10,2024-12-07,,Mississippi Valley State,W,89,52,29,52,.558,16,33,.485,15,20,.750,5,26,18,9,3,10,10,,20,48,.417,2,11,.182,10,15,.667,5,23,6,6,0,17,13,2025,liberty
38959,11,2024-12-14,,North Carolina A&T,W,83,74,33,66,.500,8,23,.348,9,15,.600,8,36,21,5,2,6,7,,27,67,.403,9,22,.409,11,12,.917,8,33,12,4,5,9,12,2025,liberty
38960,12,2024-12-17,,St. Andrews,W,124,50,48,77,.623,18,39,.462,10,12,.833,13,58,29,15,1,13,8,,19,67,.284,10,34,.294,2,4,.500,5,18,9,10,0,19,10,2025,liberty
38961,13,2024-12-21,,UT Arlington,W,79,56,27,51,.529,15,32,.469,10,14,.714,4,28,24,6,6,12,14,,22,70,.314,2,20,.100,10,12,.833,13,33,4,9,1,8,12,2025,liberty
38962,14,2025-01-02,,Western Kentucky,L,70,71,27,62,.435,8,27,.296,8,16,.500,7,35,15,7,4,8,16,,28,62,.452,5,17,.294,10,19,.526,8,38,9,5,2,14,14,2025,liberty
38963,15,2025-01-04,,Middle Tennessee,W,73,63,28,64,.438,10,26,.385,7,10,.700,8,34,16,6,3,10,14,,25,66,.379,6,23,.261,7,11,.636,15,41,8,6,5,9,14,2025,liberty
38964,16,2025-01-09,@,Sam Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,liberty
38965,17,2025-01-11,@,Louisiana Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,liberty
38966,18,2025-01-16,,UTEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,liberty
38967,19,2025-01-18,,New Mexico State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,liberty
38968,20,2025-01-25,@,Florida International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,liberty
38969,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,liberty
38970,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,liberty
38971,21,2025-01-30,@,Kennesaw State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,liberty
38972,22,2025-02-01,@,Jacksonville State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,liberty
38973,23,2025-02-06,,Louisiana Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,liberty
38974,24,2025-02-08,,Sam Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,liberty
38975,25,2025-02-13,@,New Mexico State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,liberty
38976,26,2025-02-15,@,UTEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,liberty
38977,27,2025-02-22,,Florida International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,liberty
38978,28,2025-02-27,,Jacksonville State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,liberty
38979,29,2025-03-02,,Kennesaw State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,liberty
38980,30,2025-03-06,@,Middle Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,liberty
38981,31,2025-03-08,@,Western Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,liberty
