,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39533,1,1,2024-11-04,@,Oklahoma,REG (Non-Conf),L,60,93,,23,65,.354,4,24,.167,19,41,.463,.385,10,14,.714,11,20,31,5,6,3,12,15,34,65,.523,14,34,.412,20,31,.645,.631,11,17,.647,11,32,43,23,9,4,11,16,2025,lindenwood
39534,2,2,2024-11-07,,,REG (Non-Conf),W,98,30,,43,62,.694,5,12,.417,38,50,.760,.734,7,15,.467,6,30,36,23,19,7,9,10,11,53,.208,5,25,.200,6,28,.214,.255,3,4,.750,4,14,18,4,5,0,24,12,2025,lindenwood
39535,3,3,2024-11-14,N,New Orleans,REG (Non-Conf),L,74,82,,30,68,.441,6,27,.222,24,41,.585,.485,8,13,.615,12,21,33,15,9,3,13,22,27,57,.474,9,25,.360,18,32,.563,.553,19,28,.679,10,25,35,15,9,6,16,16,2025,lindenwood
39536,4,4,2024-11-15,@,Robert Morris,REG (Non-Conf),L,53,67,,19,54,.352,4,15,.267,15,39,.385,.389,11,18,.611,8,20,28,10,5,2,10,12,26,61,.426,10,28,.357,16,33,.485,.508,5,5,1.000,10,27,37,15,3,6,10,12,2025,lindenwood
39537,5,5,2024-11-17,N,Stonehill,REG (Non-Conf),W,75,74,,24,59,.407,8,25,.320,16,34,.471,.475,19,24,.792,12,21,33,8,9,6,12,18,24,51,.471,15,30,.500,9,21,.429,.618,11,17,.647,3,23,26,19,6,3,13,22,2025,lindenwood
39538,6,6,2024-11-21,@,Valparaiso,REG (Non-Conf),L,64,77,,26,61,.426,7,23,.304,19,38,.500,.484,5,11,.455,9,22,31,7,11,2,15,20,26,57,.456,6,20,.300,20,37,.541,.509,19,22,.864,9,20,29,14,6,4,14,12,2025,lindenwood
39539,7,7,2024-11-27,@,Missouri,REG (Non-Conf),L,61,81,,21,59,.356,3,20,.150,18,39,.462,.381,16,21,.762,9,15,24,6,13,2,12,20,27,54,.500,5,22,.227,22,32,.688,.546,22,29,.759,14,30,44,11,7,5,19,16,2025,lindenwood
39540,8,8,2024-12-04,,,REG (Non-Conf),W,102,45,,36,64,.563,12,28,.429,24,36,.667,.656,18,25,.720,12,33,45,20,12,10,13,10,19,69,.275,2,21,.095,17,48,.354,.290,5,11,.455,9,20,29,8,10,4,21,20,2025,lindenwood
39541,9,9,2024-12-07,@,Ole Miss,REG (Non-Conf),L,53,86,,18,51,.353,6,21,.286,12,30,.400,.412,11,19,.579,8,21,29,9,5,2,14,19,31,60,.517,8,23,.348,23,37,.622,.583,16,22,.727,8,28,36,19,8,8,7,16,2025,lindenwood
39542,10,10,2024-12-10,,,REG (Non-Conf),W,99,53,,37,72,.514,10,20,.500,27,52,.519,.583,15,27,.556,15,31,46,22,14,5,10,5,19,59,.322,7,25,.280,12,34,.353,.381,8,11,.727,5,21,26,12,6,4,22,19,2025,lindenwood
39543,11,11,2024-12-14,,IU Indy,REG (Non-Conf),W,81,63,,30,60,.500,8,17,.471,22,43,.512,.567,13,17,.765,12,27,39,17,7,2,12,13,20,52,.385,11,28,.393,9,24,.375,.490,12,14,.857,4,19,23,12,7,2,11,15,2025,lindenwood
