,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39015,1,2024-11-04,@,Duquesne,W,77,72,25,48,.521,9,21,.429,18,26,.692,2,30,16,3,2,16,18,,28,62,.452,6,20,.300,10,19,.526,8,32,10,6,4,14,22,2025,lipscomb
39016,2,2024-11-06,@,Arkansas,L,60,76,22,58,.379,9,27,.333,7,9,.778,4,26,8,8,1,18,12,,34,63,.540,4,19,.211,4,7,.571,6,33,10,11,5,12,11,2025,lipscomb
39017,3,2024-11-09,,Wofford,W,78,69,28,58,.483,7,21,.333,15,18,.833,11,34,9,8,0,6,16,,26,58,.448,12,31,.387,5,10,.500,11,30,12,3,2,10,17,2025,lipscomb
39018,4,2024-11-12,,Belmont,L,79,80,31,66,.470,11,29,.379,6,8,.750,7,25,19,11,3,7,11,,33,64,.516,11,28,.393,3,6,.500,12,37,15,3,5,14,14,2025,lipscomb
39019,5,2024-11-17,@,Western Kentucky,L,61,66,23,66,.348,5,31,.161,10,11,.909,6,36,15,10,4,13,14,,24,63,.381,5,22,.227,13,18,.722,7,39,9,9,5,13,14,2025,lipscomb
39020,6,2024-11-19,@,Kentucky,L,68,97,26,67,.388,5,29,.172,11,12,.917,5,25,13,4,1,6,14,,34,62,.548,12,25,.480,17,21,.810,9,43,10,3,6,8,14,2025,lipscomb
39021,7,2024-11-24,,Jackson State,W,77,53,29,73,.397,9,32,.281,10,15,.667,13,41,23,10,3,5,8,,23,63,.365,6,21,.286,1,5,.200,12,36,9,2,7,16,11,2025,lipscomb
39022,8,2024-11-30,@,Alabama A&M,W,82,44,28,61,.459,14,35,.400,12,15,.800,8,44,21,13,6,18,15,,16,64,.250,5,21,.238,7,11,.636,9,30,11,13,4,15,14,2025,lipscomb
39023,9,2024-12-03,@,Chattanooga,W,80,62,33,57,.579,8,17,.471,6,6,1.000,5,31,15,6,3,12,11,,25,56,.446,6,19,.316,6,9,.667,2,20,13,7,1,8,7,2025,lipscomb
39024,10,2024-12-05,,Southeast Missouri State,W,78,60,29,60,.483,10,25,.400,10,16,.625,8,34,21,8,6,11,12,,25,60,.417,5,14,.357,5,8,.625,7,30,9,8,3,15,16,2025,lipscomb
39025,11,2024-12-16,,Truett-McConnell,W,99,67,37,76,.487,9,29,.310,16,21,.762,16,41,21,15,6,10,9,,27,63,.429,6,20,.300,7,11,.636,8,32,7,7,5,22,17,2025,lipscomb
39026,12,2024-12-19,@,Middle Tennessee,L,65,67,24,52,.462,4,18,.222,13,17,.765,3,28,12,6,7,8,17,,24,63,.381,6,21,.286,13,22,.591,18,45,8,5,3,11,17,2025,lipscomb
39027,13,2024-12-29,,Asbury,W,112,54,44,91,.484,11,46,.239,13,17,.765,21,62,26,6,4,2,6,,21,79,.266,11,40,.275,1,2,.500,12,36,5,2,1,11,15,2025,lipscomb
39028,14,2025-01-02,@,Jacksonville,W,70,65,22,39,.564,7,15,.467,19,26,.731,6,24,10,13,4,16,14,,25,51,.490,6,15,.400,9,13,.692,9,22,10,10,1,15,19,2025,lipscomb
39029,15,2025-01-04,@,North Florida,W,96,64,33,61,.541,8,20,.400,22,29,.759,7,39,23,10,3,9,15,,23,64,.359,7,31,.226,11,18,.611,10,31,10,5,4,14,18,2025,lipscomb
39030,16,2025-01-09,,Queens (NC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lipscomb
39031,17,2025-01-11,,West Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lipscomb
39032,18,2025-01-16,@,Bellarmine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lipscomb
39033,19,2025-01-18,,Austin Peay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lipscomb
39034,20,2025-01-23,@,North Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lipscomb
39035,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,lipscomb
39036,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,lipscomb
39037,21,2025-01-25,@,Central Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lipscomb
39038,22,2025-01-30,,Eastern Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lipscomb
39039,23,2025-02-01,,Bellarmine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lipscomb
39040,24,2025-02-05,@,West Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lipscomb
39041,25,2025-02-08,@,Queens (NC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lipscomb
39042,26,2025-02-13,,Stetson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lipscomb
39043,27,2025-02-15,,Florida Gulf Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lipscomb
39044,28,2025-02-18,@,Eastern Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lipscomb
39045,29,2025-02-20,,North Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lipscomb
39046,30,2025-02-24,@,Austin Peay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lipscomb
39047,31,2025-02-26,,Central Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,lipscomb
