,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39606,1.0,1.0,2024-11-04,,,REG (Non-Conf),W,93,48,,37,69,0.536,6,19,0.316,31,50,0.62,0.58,13,23,0.565,23,33,56,15,13,6,16,19,14,58,0.241,6,22,0.273,8,36,0.222,0.293,14,23,0.609,12,10,22,9,9,1,18,22,2025,long-beach-state
39607,2.0,2.0,2024-11-08,@,South Dakota State,REG (Non-Conf),L,79,80,,22,55,0.4,11,26,0.423,11,29,0.379,0.5,24,27,0.889,7,22,29,11,4,0,10,22,29,56,0.518,5,13,0.385,24,43,0.558,0.563,17,24,0.708,7,26,33,9,5,2,12,20,2025,long-beach-state
39608,3.0,3.0,2024-11-13,@,San Francisco,REG (Non-Conf),L,54,84,,20,54,0.37,6,21,0.286,14,33,0.424,0.426,8,8,1.0,4,14,18,5,9,2,15,15,32,54,0.593,7,17,0.412,25,37,0.676,0.657,13,19,0.684,9,18,27,19,9,5,14,7,2025,long-beach-state
39609,4.0,4.0,2024-11-16,,Portland,REG (Non-Conf),L,61,63,,21,55,0.382,9,27,0.333,12,28,0.429,0.464,10,19,0.526,11,26,37,13,6,3,8,16,22,52,0.423,8,20,0.4,14,32,0.438,0.5,11,17,0.647,7,19,26,12,3,3,10,15,2025,long-beach-state
39610,5.0,5.0,2024-11-20,@,Gonzaga,REG (Non-Conf),L,41,84,,17,54,0.315,2,20,0.1,15,34,0.441,0.333,5,11,0.455,9,23,32,6,3,4,12,20,29,63,0.46,9,27,0.333,20,36,0.556,0.532,17,24,0.708,11,27,38,14,7,2,4,15,2025,long-beach-state
39611,6.0,6.0,2024-11-23,,Fresno State,REG (Non-Conf),L,69,72,,27,64,0.422,12,29,0.414,15,35,0.429,0.516,3,4,0.75,9,28,37,16,7,2,18,26,18,60,0.3,6,26,0.231,12,34,0.353,0.35,30,44,0.682,16,25,41,10,10,0,8,12,2025,long-beach-state
39612,7.0,7.0,2024-11-25,N,UNC Greensboro,REG (Non-Conf),L,48,71,,16,53,0.302,3,15,0.2,13,38,0.342,0.33,13,21,0.619,10,25,35,8,3,3,13,17,24,62,0.387,12,29,0.414,12,33,0.364,0.484,11,17,0.647,10,22,32,16,8,2,8,19,2025,long-beach-state
39613,8.0,8.0,2024-11-26,N,UTEP,REG (Non-Conf),L,44,70,,15,37,0.405,4,14,0.286,11,23,0.478,0.459,10,14,0.714,3,20,23,10,8,1,25,17,26,56,0.464,7,21,0.333,19,35,0.543,0.527,11,17,0.647,10,21,31,13,16,2,16,14,2025,long-beach-state
39614,9.0,9.0,2024-11-27,N,San Jose State,REG (Non-Conf),L,66,82,,24,54,0.444,6,18,0.333,18,36,0.5,0.5,12,18,0.667,8,17,25,12,3,3,7,19,31,57,0.544,6,18,0.333,25,39,0.641,0.596,14,24,0.583,10,20,30,14,2,4,7,16,2025,long-beach-state
39615,10.0,10.0,2024-12-05,@,Cal State Fullerton,REG (Conf),W,73,56,,26,51,0.51,6,18,0.333,20,33,0.606,0.569,15,25,0.6,6,22,28,12,11,4,13,21,23,49,0.469,1,13,0.077,22,36,0.611,0.48,9,18,0.5,7,17,24,9,7,3,15,19,2025,long-beach-state
39616,11.0,11.0,2024-12-07,,Hawaii,REG (Conf),W,76,68,,25,50,0.5,10,13,0.769,15,37,0.405,0.6,16,17,0.941,4,19,23,11,10,1,11,16,26,53,0.491,7,19,0.368,19,34,0.559,0.557,9,12,0.75,7,21,28,13,6,4,15,16,2025,long-beach-state
39617,12.0,12.0,2024-12-10,@,San Diego,REG (Non-Conf),W,76,70,,25,43,0.581,7,13,0.538,18,30,0.6,0.663,19,25,0.76,3,22,25,16,3,3,11,14,25,58,0.431,11,25,0.44,14,33,0.424,0.526,9,11,0.818,11,13,24,14,8,5,10,21,2025,long-beach-state
39618,13.0,13.0,2024-12-19,@,Pepperdine,REG (Non-Conf),W,79,76,,29,58,0.5,8,23,0.348,21,35,0.6,0.569,13,19,0.684,6,22,28,9,3,5,10,22,24,59,0.407,8,21,0.381,16,38,0.421,0.475,20,28,0.714,11,23,34,17,7,4,9,17,2025,long-beach-state
39619,14.0,14.0,2024-12-22,,,REG (Non-Conf),W,83,57,,26,51,0.51,5,20,0.25,21,31,0.677,0.559,26,28,0.929,5,29,34,17,8,2,9,16,21,53,0.396,7,22,0.318,14,31,0.452,0.462,8,14,0.571,4,19,23,12,2,1,13,22,2025,long-beach-state
39620,15.0,15.0,2025-01-02,,UC Riverside,REG (Conf),L,60,76,,23,53,0.434,3,11,0.273,20,42,0.476,0.462,11,13,0.846,5,22,27,15,3,6,9,11,30,67,0.448,10,30,0.333,20,37,0.541,0.522,6,7,0.857,11,25,36,10,5,2,6,16,2025,long-beach-state
39621,16.0,16.0,2025-01-04,@,Cal State Bakersfield,REG (Conf),L,65,80,,23,45,0.511,4,12,0.333,19,33,0.576,0.556,15,23,0.652,3,14,17,9,1,1,12,21,27,59,0.458,7,17,0.412,20,42,0.476,0.517,19,22,0.864,17,22,39,9,8,3,9,23,2025,long-beach-state
