,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39082,1,2024-11-04,@,Ole Miss,L,60,90,20,58,.345,5,15,.333,15,24,.625,8,26,6,9,5,15,22,,28,57,.491,9,22,.409,25,32,.781,9,36,12,10,13,14,18,2025,long-island-university
39083,2,2024-11-09,,Pratt Institute,W,102,42,38,74,.514,13,36,.361,13,21,.619,18,41,30,23,4,9,21,,12,45,.267,5,23,.217,13,19,.684,8,27,9,3,0,29,17,2025,long-island-university
39084,3,2024-11-11,@,Air Force,W,63,54,22,56,.393,6,18,.333,13,19,.684,12,34,11,5,0,9,25,,14,39,.359,4,20,.200,22,28,.786,4,22,10,7,5,9,17,2025,long-island-university
39085,4,2024-11-15,@,California Baptist,L,77,90,30,56,.536,6,19,.316,11,12,.917,3,23,7,2,2,9,16,,34,68,.500,13,31,.419,9,12,.750,12,34,15,6,2,7,13,2025,long-island-university
39086,5,2024-11-20,,Columbia,L,72,80,25,58,.431,9,26,.346,13,15,.867,6,28,13,6,2,13,18,,26,52,.500,8,22,.364,20,23,.870,5,30,18,12,3,11,13,2025,long-island-university
39087,6,2024-11-23,@,Charlotte,W,79,76,26,53,.491,7,19,.368,20,31,.645,7,30,10,4,5,8,30,,18,53,.340,3,16,.188,37,53,.698,14,35,10,4,2,5,22,2025,long-island-university
39088,7,2024-11-25,@,Winthrop,L,65,87,26,64,.406,3,15,.200,10,21,.476,14,34,9,7,3,16,27,,31,61,.508,6,20,.300,19,32,.594,9,35,16,12,10,10,20,2025,long-island-university
39089,8,2024-11-29,@,Lafayette,L,56,75,20,56,.357,5,18,.278,11,15,.733,6,28,10,8,0,12,18,,23,48,.479,8,19,.421,21,27,.778,6,37,15,10,7,13,15,2025,long-island-university
39090,9,2024-11-30,N,Binghamton,L (1 OT),70,75,25,62,.403,6,27,.222,14,23,.609,11,35,13,5,2,15,28,,23,46,.500,4,16,.250,25,38,.658,6,28,13,9,3,14,21,2025,long-island-university
39091,10,2024-12-01,N,Niagara,L,52,60,19,54,.352,7,24,.292,7,7,1.000,6,24,11,10,0,10,18,,21,43,.488,6,20,.300,12,17,.706,5,31,11,7,3,15,12,2025,long-island-university
39092,11,2024-12-04,,York (NY),W,103,53,44,78,.564,10,25,.400,5,12,.417,21,50,27,8,7,8,18,,17,57,.298,7,22,.318,12,19,.632,11,27,12,4,6,16,14,2025,long-island-university
39093,12,2024-12-11,@,UMass-Lowell,L,62,69,25,67,.373,4,15,.267,8,9,.889,10,29,9,8,3,10,22,,21,51,.412,6,20,.300,21,25,.840,9,37,16,1,10,16,14,2025,long-island-university
39094,13,2024-12-14,@,Missouri,L,61,88,24,64,.375,8,24,.333,5,6,.833,12,25,11,6,2,14,17,,31,55,.564,14,28,.500,12,19,.632,8,29,20,10,7,13,10,2025,long-island-university
39095,14,2024-12-18,,Mount St. Mary's,L,72,80,21,49,.429,6,18,.333,24,32,.750,11,34,14,7,7,17,28,,20,62,.323,9,29,.310,31,41,.756,17,37,16,11,1,11,19,2025,long-island-university
39096,15,2024-12-21,,Lehigh,L,59,60,25,57,.439,4,17,.235,5,8,.625,9,36,16,10,3,17,17,,18,47,.383,8,16,.500,16,20,.800,2,22,14,11,4,16,8,2025,long-island-university
39097,16,2025-01-03,,Le Moyne,W,78,62,30,54,.556,7,13,.538,11,19,.579,10,30,19,8,3,10,15,,21,48,.438,4,18,.222,16,20,.800,6,20,13,5,7,14,18,2025,long-island-university
39098,17,2025-01-05,,Chicago State,W,53,39,19,50,.380,3,16,.188,12,17,.706,7,35,6,8,3,9,14,,14,48,.292,3,20,.150,8,10,.800,4,30,10,6,4,15,16,2025,long-island-university
39099,18,2025-01-10,@,Stonehill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,long-island-university
39100,19,2025-01-12,@,Central Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,long-island-university
39101,20,2025-01-18,,Saint Francis (PA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,long-island-university
39102,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,long-island-university
39103,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,long-island-university
39104,21,2025-01-20,,Mercyhurst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,long-island-university
39105,22,2025-01-24,@,Saint Francis (PA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,long-island-university
39106,23,2025-01-26,@,Mercyhurst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,long-island-university
39107,24,2025-01-30,,Central Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,long-island-university
39108,25,2025-02-01,@,Chicago State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,long-island-university
39109,26,2025-02-06,@,Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,long-island-university
39110,27,2025-02-08,,Stonehill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,long-island-university
39111,28,2025-02-15,,FDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,long-island-university
39112,29,2025-02-22,@,Le Moyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,long-island-university
39113,30,2025-02-27,,Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,long-island-university
39114,31,2025-03-01,@,FDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,long-island-university
