,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39115,1,2024-11-04,,Randolph,W,79,68,24,55,.436,2,14,.143,29,40,.725,7,39,10,5,1,11,17,,24,59,.407,13,36,.361,7,13,.538,2,23,18,2,2,14,27,2025,longwood
39116,2,2024-11-09,,Morgan State,W,84,66,25,49,.510,9,27,.333,25,33,.758,6,22,14,11,3,15,18,,27,54,.500,1,12,.083,11,20,.550,8,24,10,6,1,19,25,2025,longwood
39117,3,2024-11-13,,Milwaukee,W,76,62,22,56,.393,4,16,.250,28,40,.700,11,40,14,13,7,18,22,,23,64,.359,4,24,.167,12,20,.600,7,33,8,9,0,20,31,2025,longwood
39118,4,2024-11-16,,UT-Martin,W,64,62,20,54,.370,7,27,.259,17,21,.810,13,34,9,7,2,16,15,,19,60,.317,10,35,.286,14,17,.824,14,33,11,13,1,13,15,2025,longwood
39119,5,2024-11-19,@,Binghamton,W,66,60,20,62,.323,5,21,.238,21,25,.840,13,36,9,10,4,7,15,,23,48,.479,7,21,.333,5,13,.385,5,29,12,3,8,13,23,2025,longwood
39120,6,2024-11-22,N,UAB,W,89,81,31,60,.517,4,16,.250,23,26,.885,4,26,11,3,4,7,21,,32,69,.464,3,17,.176,14,20,.700,13,35,15,4,3,11,22,2025,longwood
39121,7,2024-11-24,N,McNeese State,L,69,84,21,49,.429,7,20,.350,20,27,.741,11,25,10,6,1,19,17,,34,55,.618,4,14,.286,12,17,.706,8,26,12,13,5,14,23,2025,longwood
39122,8,2024-11-25,N,Kansas State,L,64,80,24,58,.414,2,15,.133,14,19,.737,7,23,8,8,4,13,13,,33,56,.589,11,20,.550,3,5,.600,8,34,15,8,3,18,19,2025,longwood
39123,9,2024-12-01,,Regent,W,108,55,42,67,.627,13,25,.520,11,14,.786,11,34,25,10,2,11,10,,21,48,.438,8,28,.286,5,8,.625,3,14,13,5,1,19,13,2025,longwood
39124,10,2024-12-05,,Maryland-Eastern Shore,W,80,76,30,69,.435,7,27,.259,13,21,.619,18,34,17,9,0,8,22,,23,38,.605,8,17,.471,22,31,.710,4,28,9,3,2,21,19,2025,longwood
39125,11,2024-12-08,,Mary Baldwin,W,97,40,32,70,.457,8,25,.320,25,33,.758,19,57,20,11,1,11,20,,14,52,.269,4,22,.182,8,22,.364,2,16,7,7,3,13,19,2025,longwood
39126,12,2024-12-14,,North Carolina Central,L,70,77,25,49,.510,6,21,.286,14,23,.609,8,21,14,9,3,16,17,,29,53,.547,6,14,.429,13,19,.684,11,30,16,9,2,18,21,2025,longwood
39127,13,2024-12-18,@,Campbell,W,77,55,28,61,.459,7,24,.292,14,18,.778,13,40,17,8,1,11,23,,15,45,.333,6,18,.333,19,27,.704,6,25,6,4,6,14,17,2025,longwood
39128,14,2024-12-20,@,North Carolina Central,W,82,67,27,50,.540,9,22,.409,19,27,.704,8,31,13,4,0,14,21,,26,55,.473,4,22,.182,11,23,.478,8,21,15,9,2,12,21,2025,longwood
39129,15,2024-12-29,@,SMU,L,82,98,34,72,.472,4,14,.286,10,14,.714,13,27,21,10,1,13,21,,31,50,.620,10,20,.500,26,31,.839,6,30,18,7,4,20,14,2025,longwood
39130,16,2025-01-02,@,Presbyterian,L,60,68,20,55,.364,1,15,.067,19,26,.731,8,29,9,7,0,7,23,,22,54,.407,3,20,.150,21,28,.750,13,40,10,3,3,12,20,2025,longwood
39131,17,2025-01-04,,Charleston Southern,W,83,78,28,52,.538,7,13,.538,20,25,.800,4,25,14,6,6,10,20,,23,45,.511,7,18,.389,25,35,.714,3,21,12,8,2,12,22,2025,longwood
39132,18,2025-01-08,,UNC Asheville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,longwood
39133,19,2025-01-11,@,Winthrop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,longwood
39134,20,2025-01-16,,High Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,longwood
39135,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,longwood
39136,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,longwood
39137,21,2025-01-22,@,Radford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,longwood
39138,22,2025-01-25,,USC Upstate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,longwood
39139,23,2025-01-29,@,Gardner-Webb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,longwood
39140,24,2025-02-01,@,Charleston Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,longwood
39141,25,2025-02-08,,Radford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,longwood
39142,26,2025-02-12,@,High Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,longwood
39143,27,2025-02-15,,Presbyterian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,longwood
39144,28,2025-02-19,,Gardner-Webb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,longwood
39145,29,2025-02-22,@,UNC Asheville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,longwood
39146,30,2025-02-26,,Winthrop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,longwood
39147,31,2025-03-01,@,USC Upstate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,longwood
