,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39214,1,2024-11-04,,Champion Christian,W,111,61,41,76,.539,10,26,.385,19,26,.731,17,54,21,11,2,13,11,,24,75,.320,7,34,.206,6,8,.750,6,24,15,9,4,19,19,2025,louisiana-monroe
39215,2,2024-11-06,@,LSU,L,60,95,24,62,.387,3,14,.214,9,13,.692,6,25,6,6,2,14,18,,34,67,.507,10,34,.294,17,19,.895,13,44,13,7,7,12,13,2025,louisiana-monroe
39216,3,2024-11-08,@,Tulane,L,64,80,20,66,.303,11,36,.306,13,16,.813,15,45,16,7,2,17,21,,28,60,.467,10,25,.400,14,26,.538,8,34,13,13,3,11,16,2025,louisiana-monroe
39217,4,2024-11-12,@,Rice,L,50,66,17,52,.327,3,21,.143,13,21,.619,7,31,9,11,1,15,18,,21,56,.375,10,29,.345,14,21,.667,13,39,15,10,3,15,18,2025,louisiana-monroe
39218,5,2024-11-14,,Ecclesia,W,110,48,42,75,.560,13,32,.406,13,16,.813,18,53,31,10,4,9,12,,18,62,.290,7,30,.233,5,9,.556,7,22,13,8,0,15,10,2025,louisiana-monroe
39219,6,2024-11-18,,Southeastern Louisiana,L,67,70,25,53,.472,8,20,.400,9,20,.450,6,24,13,11,1,12,17,,29,53,.547,4,14,.286,8,9,.889,4,29,14,8,2,17,18,2025,louisiana-monroe
39220,7,2024-11-22,@,Northwestern State,W,65,63,24,59,.407,6,14,.429,11,16,.688,8,30,10,8,0,8,12,,26,53,.491,6,19,.316,5,9,.556,4,31,18,2,8,12,11,2025,louisiana-monroe
39221,8,2024-11-23,N,North Alabama,L,62,74,25,52,.481,3,11,.273,9,15,.600,8,32,12,2,0,14,13,,29,65,.446,7,26,.269,9,11,.818,7,27,11,6,2,3,12,2025,louisiana-monroe
39222,9,2024-11-29,,Stephen F. Austin,L,60,68,22,51,.431,2,13,.154,14,18,.778,5,24,11,6,0,10,15,,26,55,.473,8,24,.333,8,13,.615,9,25,13,5,6,10,16,2025,louisiana-monroe
39223,10,2024-12-02,,UT Arlington,L,70,84,23,65,.354,5,18,.278,19,30,.633,17,38,8,7,2,14,12,,30,66,.455,15,34,.441,9,14,.643,14,37,22,11,4,12,23,2025,louisiana-monroe
39224,11,2024-12-11,,Arkansas-Pine Bluff,W,89,73,31,57,.544,10,24,.417,17,22,.773,7,35,22,12,4,18,16,,28,60,.467,5,25,.200,12,21,.571,6,26,17,11,2,15,20,2025,louisiana-monroe
39225,12,2024-12-14,@,UT Arlington,L,68,77,27,69,.391,5,19,.263,9,9,1.000,16,44,15,5,2,12,17,,28,60,.467,10,31,.323,11,19,.579,5,29,20,8,5,7,16,2025,louisiana-monroe
39226,13,2024-12-17,,Houston Christian,L,68,74,28,58,.483,5,17,.294,7,12,.583,8,32,8,7,3,15,13,,27,62,.435,11,31,.355,9,15,.600,9,31,13,14,4,11,11,2025,louisiana-monroe
39227,14,2024-12-21,,Old Dominion,L (1 OT),75,80,24,65,.369,7,17,.412,20,26,.769,9,31,11,10,4,7,18,,26,66,.394,8,24,.333,20,24,.833,15,43,14,3,5,13,18,2025,louisiana-monroe
39228,15,2025-01-02,@,Georgia Southern,L,82,90,27,63,.429,12,30,.400,16,25,.640,11,26,14,10,2,8,10,,32,61,.525,15,33,.455,11,12,.917,11,32,21,8,5,14,18,2025,louisiana-monroe
39229,16,2025-01-04,@,Coastal Carolina,L,51,70,19,55,.345,10,27,.370,3,7,.429,3,25,11,6,0,8,18,,24,53,.453,7,27,.259,15,18,.833,8,39,11,0,1,10,10,2025,louisiana-monroe
39230,17,2025-01-09,@,Southern Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisiana-monroe
39231,18,2025-01-11,@,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisiana-monroe
