,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39148,1,2024-11-06,,Louisiana-Monroe,W,95,60,34,67,.507,10,34,.294,17,19,.895,13,44,13,7,7,12,13,,24,62,.387,3,14,.214,9,13,.692,6,25,6,6,2,14,18,2025,louisiana-state
39149,2,2024-11-10,,Alabama State,W,74,61,21,47,.447,7,20,.350,25,34,.735,4,30,14,7,6,14,21,,20,60,.333,1,20,.050,20,26,.769,13,34,6,10,2,14,23,2025,louisiana-state
39150,3,2024-11-14,@,Kansas State,W,76,65,27,54,.500,8,24,.333,14,18,.778,11,41,19,3,2,14,19,,23,61,.377,5,21,.238,14,20,.700,6,22,13,7,1,7,17,2025,louisiana-state
39151,4,2024-11-19,,Charleston Southern,W,77,68,30,59,.508,4,15,.267,13,23,.565,12,38,8,7,7,9,18,,24,66,.364,6,21,.286,14,21,.667,14,37,6,5,4,9,18,2025,louisiana-state
39152,5,2024-11-22,N,Pitt,L,63,74,22,59,.373,5,21,.238,14,20,.700,10,30,9,5,1,15,20,,24,54,.444,7,24,.292,19,22,.864,10,32,13,10,6,12,20,2025,louisiana-state
39153,6,2024-11-24,N,UCF,W (3 OT),109,102,38,88,.432,12,36,.333,21,29,.724,15,44,16,11,4,17,20,,37,90,.411,10,34,.294,18,25,.720,17,45,16,15,7,15,24,2025,louisiana-state
39154,7,2024-11-29,,Northwestern State,W,77,53,26,58,.448,10,27,.370,15,18,.833,10,36,15,10,9,12,11,,21,67,.313,8,26,.308,3,10,.300,16,34,11,8,3,19,14,2025,louisiana-state
39155,8,2024-12-03,,Florida State,W,85,75,28,62,.452,9,27,.333,20,29,.690,15,39,10,9,8,10,19,,28,72,.389,6,19,.316,13,22,.591,17,39,10,5,6,14,23,2025,louisiana-state
39156,9,2024-12-08,,Florida Gulf Coast,W,80,71,29,58,.500,8,27,.296,14,16,.875,9,32,15,10,6,12,8,,28,66,.424,11,31,.355,4,5,.800,10,27,12,7,1,13,12,2025,louisiana-state
39157,10,2024-12-14,N,SMU,L,64,74,23,54,.426,4,15,.267,14,18,.778,5,27,14,10,4,17,18,,27,60,.450,6,16,.375,14,23,.609,10,37,20,9,4,14,14,2025,louisiana-state
39158,11,2024-12-17,,Stetson,W,99,53,35,65,.538,14,31,.452,15,18,.833,11,44,23,9,6,11,13,,18,59,.305,8,25,.320,9,12,.750,5,21,6,6,3,11,15,2025,louisiana-state
39159,12,2024-12-22,,New Orleans,W,86,70,32,70,.457,7,29,.241,15,21,.714,14,47,15,5,8,13,15,,25,68,.368,6,22,.273,14,21,.667,10,33,7,9,1,8,18,2025,louisiana-state
39160,13,2024-12-29,,Mississippi Valley State,W,110,45,46,70,.657,12,31,.387,6,12,.500,10,39,26,10,6,6,9,,18,55,.327,5,16,.313,4,4,1.000,2,19,5,5,1,15,12,2025,louisiana-state
39161,14,2025-01-04,,Vanderbilt,L,72,80,24,48,.500,5,18,.278,19,23,.826,4,26,5,6,3,14,19,,28,64,.438,8,26,.308,16,24,.667,14,34,11,10,3,8,21,2025,louisiana-state
39162,15,2025-01-07,@,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisiana-state
39163,16,2025-01-11,@,Ole Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisiana-state
39164,17,2025-01-14,,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisiana-state
39165,18,2025-01-18,@,Texas A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisiana-state
39166,19,2025-01-25,@,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisiana-state
39167,20,2025-01-29,,Auburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisiana-state
39168,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,louisiana-state
39169,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,louisiana-state
39170,21,2025-02-01,,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisiana-state
39171,22,2025-02-05,@,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisiana-state
39172,23,2025-02-08,,Ole Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisiana-state
39173,24,2025-02-12,@,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisiana-state
39174,25,2025-02-15,@,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisiana-state
39175,26,2025-02-18,,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisiana-state
39176,27,2025-02-22,,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisiana-state
39177,28,2025-02-25,,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisiana-state
39178,29,2025-03-01,@,Mississippi State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisiana-state
39179,30,2025-03-04,@,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisiana-state
39180,31,2025-03-08,,Texas A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisiana-state
