,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39181,1,2024-11-04,,Louisiana State-Alexandria,W,77,50,28,63,.444,9,27,.333,12,17,.706,11,43,17,10,8,11,14,,18,62,.290,5,23,.217,9,16,.563,10,32,6,6,5,13,18,2025,louisiana-tech
39182,2,2024-11-09,@,UT Arlington,W,92,77,31,61,.508,10,25,.400,20,26,.769,12,31,23,6,7,6,15,,28,67,.418,9,32,.281,12,17,.706,14,28,20,3,1,10,21,2025,louisiana-tech
39183,3,2024-11-13,N,UMass,W,76,66,28,58,.483,10,27,.370,10,12,.833,6,33,20,5,6,11,19,,26,67,.388,3,13,.231,11,21,.524,13,36,14,5,5,11,14,2025,louisiana-tech
39184,4,2024-11-18,,Mississippi College,W,105,67,40,59,.678,5,14,.357,20,28,.714,9,29,22,18,5,15,14,,25,50,.500,9,23,.391,8,10,.800,2,16,12,7,3,25,17,2025,louisiana-tech
39185,5,2024-11-25,N,Southern Illinois,W (1 OT),85,79,27,62,.435,5,20,.250,26,30,.867,6,36,11,14,6,16,16,,28,71,.394,7,24,.292,16,24,.667,15,43,18,10,2,17,22,2025,louisiana-tech
39186,6,2024-11-26,N,Richmond,W,65,62,21,52,.404,9,25,.360,14,18,.778,4,31,13,6,2,10,14,,24,57,.421,6,29,.207,8,12,.667,6,30,10,7,2,7,13,2025,louisiana-tech
39187,7,2024-11-27,N,Eastern Kentucky,W,78,69,30,56,.536,5,15,.333,13,21,.619,9,39,13,4,5,8,14,,24,60,.400,12,32,.375,9,11,.818,6,27,12,3,3,4,17,2025,louisiana-tech
39188,8,2024-11-30,,Southern,L,70,73,22,50,.440,9,26,.346,17,22,.773,7,28,18,9,7,16,14,,26,60,.433,9,25,.360,12,17,.706,9,28,15,13,4,13,17,2025,louisiana-tech
39189,9,2024-12-04,@,Memphis,L,71,81,25,49,.510,13,23,.565,8,12,.667,6,23,15,7,7,19,20,,26,60,.433,6,17,.353,23,33,.697,18,36,14,13,5,13,14,2025,louisiana-tech
39190,10,2024-12-08,@,Louisiana,W,69,58,27,51,.529,5,13,.385,10,14,.714,9,36,12,4,4,15,15,,22,53,.415,6,20,.300,8,14,.571,4,19,7,9,2,11,14,2025,louisiana-tech
39191,11,2024-12-13,,Georgia Southern,W,77,63,31,58,.534,9,22,.409,6,10,.600,9,32,21,10,4,12,6,,24,63,.381,11,31,.355,4,6,.667,10,30,14,6,1,13,11,2025,louisiana-tech
39192,12,2024-12-16,,Grand Canyon,W,74,66,28,54,.519,7,20,.350,11,14,.786,7,32,13,6,5,13,18,,25,62,.403,6,27,.222,10,17,.588,12,30,13,6,4,11,17,2025,louisiana-tech
39193,13,2024-12-21,,Rust,W,108,60,44,78,.564,11,35,.314,9,10,.900,15,55,33,10,3,8,4,,23,69,.333,12,36,.333,2,4,.500,4,22,14,7,0,12,7,2025,louisiana-tech
39194,14,2025-01-02,@,UTEP,L,60,70,20,50,.400,9,31,.290,11,13,.846,8,38,13,0,3,19,17,,25,66,.379,6,29,.207,14,17,.824,11,34,12,15,0,2,16,2025,louisiana-tech
