,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39247,1,2024-11-04,,Morehead State,W,93,45,32,71,.451,11,36,.306,18,28,.643,14,47,21,12,6,5,21,,12,52,.231,3,21,.143,18,27,.667,11,42,4,1,3,20,20,2025,louisville
39248,2,2024-11-09,,Tennessee,L,55,77,16,60,.267,10,39,.256,13,13,1.000,12,25,11,12,4,13,13,,30,53,.566,10,19,.526,7,11,.636,11,36,12,8,4,20,18,2025,louisville
39249,3,2024-11-19,,Bellarmine,W,100,68,35,64,.547,12,35,.343,18,24,.750,10,37,15,7,2,8,19,,24,53,.453,9,25,.360,11,17,.647,4,22,15,5,2,14,20,2025,louisville
39250,4,2024-11-22,,Winthrop,W,76,61,26,54,.481,7,26,.269,17,26,.654,10,44,12,7,10,20,21,,22,70,.314,6,29,.207,11,22,.500,17,37,8,10,0,18,23,2025,louisville
39251,5,2024-11-27,N,Indiana,W,89,61,37,65,.569,10,27,.370,5,7,.714,8,29,23,15,1,15,17,,21,63,.333,7,20,.350,12,17,.706,15,29,12,8,3,23,15,2025,louisville
39252,6,2024-11-28,N,West Virginia,W (1 OT),79,70,24,57,.421,7,28,.250,24,33,.727,12,38,10,7,4,13,15,,26,59,.441,9,26,.346,9,12,.750,5,26,11,5,6,14,29,2025,louisville
39253,7,2024-11-29,N,Oklahoma,L,64,69,24,63,.381,7,32,.219,9,16,.563,20,42,12,6,2,14,18,,21,44,.477,8,17,.471,19,25,.760,3,21,14,9,1,10,17,2025,louisville
39254,8,2024-12-03,,Ole Miss,L,63,86,19,57,.333,5,30,.167,20,30,.667,15,36,8,2,1,12,14,,34,60,.567,8,20,.400,10,13,.769,4,29,14,10,5,7,21,2025,louisville
39255,9,2024-12-08,,Duke,L,65,76,19,51,.373,11,31,.355,16,21,.762,8,34,10,4,1,14,16,,28,62,.452,8,30,.267,12,14,.857,9,35,14,7,3,5,18,2025,louisville
39256,10,2024-12-11,,UTEP,W,77,74,23,58,.397,6,34,.176,25,34,.735,16,39,13,9,2,11,13,,29,57,.509,9,20,.450,7,11,.636,5,27,9,7,1,15,27,2025,louisville
39257,11,2024-12-14,@,Kentucky,L,85,93,31,70,.443,14,39,.359,9,14,.643,10,28,8,3,0,7,20,,32,55,.582,11,21,.524,18,28,.643,7,36,23,6,2,11,18,2025,louisville
39258,12,2024-12-21,@,Florida State,W,90,76,28,55,.509,15,29,.517,19,23,.826,3,24,18,4,1,6,14,,29,55,.527,8,20,.400,10,14,.714,2,17,13,4,4,9,19,2025,louisville
39259,13,2024-12-28,,Eastern Kentucky,W,78,76,24,64,.375,11,36,.306,19,24,.792,18,44,12,7,4,14,10,,30,67,.448,10,25,.400,6,7,.857,9,29,9,8,2,10,21,2025,louisville
39260,14,2025-01-01,,UNC,W,83,70,26,58,.448,6,26,.231,25,39,.641,8,40,14,4,4,7,21,,24,60,.400,4,16,.250,18,23,.783,6,36,11,4,3,10,29,2025,louisville
39261,15,2025-01-04,@,Virginia,W,70,50,25,57,.439,7,19,.368,13,14,.929,11,39,15,6,5,8,11,,20,54,.370,5,26,.192,5,6,.833,6,22,13,5,6,9,16,2025,louisville
39262,16,2025-01-07,,Clemson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisville
39263,17,2025-01-11,@,Pitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisville
39264,18,2025-01-14,@,Syracuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisville
39265,19,2025-01-18,,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisville
39266,20,2025-01-21,@,SMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisville
39267,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,louisville
39268,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,louisville
39269,21,2025-01-30,,Wake Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisville
39270,22,2025-02-01,@,Georgia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisville
39271,23,2025-02-05,@,Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisville
39272,24,2025-02-10,,Miami (FL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisville
39273,25,2025-02-12,@,NC State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisville
39274,26,2025-02-16,@,Notre Dame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisville
39275,27,2025-02-22,,Florida State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisville
39276,28,2025-02-25,@,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisville
39277,29,2025-03-01,,Pitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisville
39278,30,2025-03-05,,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisville
39279,31,2025-03-08,,Stanford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,louisville
