,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39280,1,2024-11-04,,Chicago State,W,79,72,26,63,.413,6,25,.240,21,29,.724,8,38,14,6,5,8,19,,26,62,.419,8,26,.308,12,20,.600,4,31,12,8,6,12,23,2025,loyola-il
39281,2,2024-11-07,,Detroit Mercy,W,87,65,29,59,.492,8,30,.267,21,27,.778,10,30,21,11,8,14,22,,20,59,.339,6,24,.250,19,29,.655,12,30,10,7,2,16,22,2025,loyola-il
39282,3,2024-11-10,,Eureka,W,105,53,35,57,.614,14,24,.583,21,32,.656,11,35,26,12,2,17,22,,18,51,.353,2,17,.118,15,22,.682,8,20,9,9,0,20,21,2025,loyola-il
39283,4,2024-11-15,@,Princeton,W,73,68,27,64,.422,8,28,.286,11,19,.579,11,38,16,5,9,10,15,,24,59,.407,10,22,.455,10,13,.769,4,32,12,7,2,9,15,2025,loyola-il
39284,5,2024-11-19,,Southern Utah,W,76,72,26,60,.433,8,18,.444,16,22,.727,12,28,19,4,5,7,22,,23,55,.418,4,14,.286,22,27,.815,9,29,8,2,4,10,18,2025,loyola-il
39285,6,2024-11-23,,Tulsa,W,89,53,33,61,.541,10,22,.455,13,25,.520,10,35,27,12,5,10,21,,17,60,.283,2,22,.091,17,25,.680,12,32,7,6,3,18,20,2025,loyola-il
39286,7,2024-12-03,,Eastern Michigan,W,76,54,29,53,.547,9,22,.409,9,13,.692,12,38,21,5,1,17,18,,19,45,.422,7,20,.350,9,18,.500,3,14,11,13,3,12,13,2025,loyola-il
39287,8,2024-12-07,,South Florida,W,74,72,26,61,.426,6,21,.286,16,23,.696,8,28,16,8,3,6,13,,26,53,.491,8,21,.381,12,16,.750,7,33,17,4,3,14,17,2025,loyola-il
39288,9,2024-12-15,N,San Francisco,L,66,76,22,59,.373,7,24,.292,15,32,.469,6,32,8,4,6,11,25,,25,53,.472,9,21,.429,17,23,.739,5,37,11,5,3,14,26,2025,loyola-il
39289,10,2024-12-18,,Canisius,W,72,60,29,61,.475,11,28,.393,3,5,.600,7,34,20,3,4,10,8,,24,53,.453,8,18,.444,4,6,.667,1,22,14,6,6,10,11,2025,loyola-il
39290,11,2024-12-22,N,Oakland,L,71,72,27,55,.491,7,22,.318,10,15,.667,9,28,13,6,3,10,16,,27,63,.429,9,27,.333,9,10,.900,14,32,7,7,1,10,14,2025,loyola-il
39291,12,2024-12-23,N,College of Charleston,L,68,77,24,58,.414,6,24,.250,14,20,.700,10,36,9,9,3,18,15,,27,58,.466,11,26,.423,12,16,.750,2,26,15,14,0,13,19,2025,loyola-il
39292,13,2024-12-25,N,Murray State,L,68,71,25,40,.625,4,12,.333,14,21,.667,1,20,7,6,4,16,26,,21,43,.488,7,17,.412,22,33,.667,3,16,10,9,1,11,18,2025,loyola-il
39293,14,2025-01-04,,VCU,L,65,84,21,55,.382,8,24,.333,15,23,.652,9,24,17,3,2,12,22,,30,61,.492,9,24,.375,15,20,.750,16,35,15,8,4,10,19,2025,loyola-il
39294,15,2025-01-08,@,La Salle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,loyola-il
39295,16,2025-01-11,@,St. Joseph's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,loyola-il
39296,17,2025-01-15,,Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,loyola-il
39297,18,2025-01-18,@,Dayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,loyola-il
39298,19,2025-01-22,,Fordham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,loyola-il
39299,20,2025-01-29,@,George Mason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,loyola-il
39300,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,loyola-il
39301,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,loyola-il
39302,21,2025-02-01,,St. Joseph's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,loyola-il
39303,22,2025-02-04,,St. Bonaventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,loyola-il
39304,23,2025-02-08,@,Duquesne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,loyola-il
