,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39344,1,2024-11-04,,Life Pacific,W,99,56,39,72,.542,12,30,.400,9,11,.818,8,40,25,12,2,10,14,,21,56,.375,7,19,.368,7,9,.778,4,25,13,3,0,20,12,2025,loyola-marymount
39345,2,2024-11-08,,UC-Irvine,L,51,66,20,60,.333,7,26,.269,4,6,.667,5,26,10,4,2,10,17,,22,50,.440,8,19,.421,14,17,.824,3,39,16,4,3,13,12,2025,loyola-marymount
39346,3,2024-11-16,@,Saint Louis,L,71,77,23,62,.371,10,29,.345,15,19,.789,12,39,8,6,6,11,17,,27,61,.443,11,29,.379,12,19,.632,8,33,13,3,1,10,16,2025,loyola-marymount
39347,4,2024-11-22,,North Dakota,L,73,77,25,71,.352,8,31,.258,15,22,.682,14,39,13,7,7,6,17,,30,67,.448,7,19,.368,10,15,.667,12,41,13,4,5,11,17,2025,loyola-marymount
39348,5,2024-11-26,N,Belmont,W,77,63,31,70,.443,10,28,.357,5,12,.417,10,41,13,8,5,7,15,,23,63,.365,9,29,.310,8,11,.727,7,36,13,2,3,13,14,2025,loyola-marymount
39349,6,2024-11-27,N,Wyoming,W,73,70,28,57,.491,8,25,.320,9,11,.818,4,30,14,8,6,10,12,,27,63,.429,5,16,.313,11,14,.786,10,34,8,4,3,9,10,2025,loyola-marymount
39350,7,2024-12-04,@,Colorado State,L,54,83,19,56,.339,4,21,.190,12,16,.750,5,29,6,5,3,10,14,,30,67,.448,14,36,.389,9,10,.900,10,41,14,6,1,8,13,2025,loyola-marymount
39351,8,2024-12-07,,Nevada,W,68,64,21,50,.420,11,31,.355,15,21,.714,9,31,13,3,4,11,20,,21,60,.350,5,20,.250,17,21,.810,11,33,9,5,1,5,20,2025,loyola-marymount
39352,9,2024-12-14,,Prairie View,W,76,75,25,52,.481,8,22,.364,18,25,.720,11,33,19,4,6,18,23,,25,51,.490,3,13,.231,22,25,.880,2,19,16,9,0,9,24,2025,loyola-marymount
39353,10,2024-12-18,,UCSB,W,60,58,26,55,.473,5,19,.263,3,4,.750,4,28,13,6,4,14,8,,25,57,.439,6,13,.462,2,2,1.000,5,29,10,8,0,12,8,2025,loyola-marymount
39354,11,2024-12-20,,Southern,W,89,73,30,60,.500,16,28,.571,13,20,.650,13,38,22,5,5,11,18,,26,68,.382,3,21,.143,18,26,.692,15,35,11,6,1,8,15,2025,loyola-marymount
39355,12,2024-12-22,,North Alabama,W,85,69,33,65,.508,13,33,.394,6,8,.750,9,36,20,3,3,9,19,,23,64,.359,3,20,.150,20,25,.800,13,34,8,8,1,7,14,2025,loyola-marymount
39356,13,2024-12-28,@,San Francisco,L,55,70,19,54,.352,3,19,.158,14,22,.636,6,34,8,4,2,10,15,,24,63,.381,11,34,.324,11,16,.688,13,41,14,5,3,9,16,2025,loyola-marymount
39357,14,2024-12-30,@,Washington State,L,59,73,23,58,.397,3,21,.143,10,15,.667,5,27,8,9,4,15,21,,28,57,.491,7,19,.368,10,14,.714,8,38,17,6,1,16,15,2025,loyola-marymount
39358,15,2025-01-02,,Oregon State,W,82,61,30,59,.508,10,24,.417,12,19,.632,11,37,20,4,3,9,14,,21,53,.396,8,23,.348,11,18,.611,6,23,14,6,2,7,17,2025,loyola-marymount
39359,16,2025-01-04,,Gonzaga,L,68,96,21,55,.382,8,24,.333,18,25,.720,7,27,10,3,2,14,15,,38,72,.528,7,16,.438,13,14,.929,10,37,16,8,2,6,21,2025,loyola-marymount
39360,17,2025-01-07,@,Saint Mary's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,loyola-marymount
39361,18,2025-01-11,@,Pepperdine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,loyola-marymount
39362,19,2025-01-15,,Santa Clara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,loyola-marymount
39363,20,2025-01-18,,San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,loyola-marymount
39364,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,loyola-marymount
39365,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,loyola-marymount
39366,21,2025-01-22,@,Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,loyola-marymount
39367,22,2025-01-30,,Portland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,loyola-marymount
39368,23,2025-02-01,@,San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,loyola-marymount
39369,24,2025-02-06,@,Gonzaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,loyola-marymount
39370,25,2025-02-08,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,loyola-marymount
