,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39313,1,2024-11-04,,Columbia,L,78,81,29,63,.460,7,25,.280,13,18,.722,9,33,11,8,1,15,19,,25,56,.446,7,23,.304,24,30,.800,8,28,15,8,1,12,16,2025,loyola-md
39314,2,2024-11-09,,Lancaster Bible,W,83,42,28,67,.418,6,26,.231,21,24,.875,18,48,17,17,3,16,11,,20,54,.370,1,14,.071,1,3,.333,5,22,10,10,1,26,17,2025,loyola-md
39315,3,2024-11-12,@,NJIT,W,68,50,27,61,.443,8,22,.364,6,11,.545,10,36,10,5,2,10,13,,21,54,.389,3,18,.167,5,6,.833,5,27,7,4,7,15,12,2025,loyola-md
39316,4,2024-11-16,@,VCU,L,57,83,19,57,.333,7,19,.368,12,19,.632,9,29,10,8,0,16,17,,30,61,.492,8,26,.308,15,22,.682,12,38,19,12,6,10,21,2025,loyola-md
39317,5,2024-11-19,@,Boston College,L,61,82,24,58,.414,9,31,.290,4,4,1.000,7,28,13,5,6,13,12,,30,72,.417,11,21,.524,11,14,.786,16,41,13,11,2,8,12,2025,loyola-md
39318,6,2024-11-26,,VMI,W,70,67,26,67,.388,6,29,.207,12,15,.800,12,35,16,6,5,6,18,,21,49,.429,10,27,.370,15,20,.750,4,26,12,5,1,11,17,2025,loyola-md
39319,7,2024-12-02,@,Coppin State,W,68,57,24,52,.462,5,26,.192,15,20,.750,13,36,14,4,2,11,19,,18,48,.375,3,12,.250,18,25,.720,6,20,8,7,0,7,18,2025,loyola-md
39320,8,2024-12-07,@,Delaware State,L,77,80,27,61,.443,10,27,.370,13,16,.813,8,25,14,9,1,13,20,,31,59,.525,3,10,.300,15,23,.652,11,31,17,8,2,15,13,2025,loyola-md
39321,9,2024-12-14,@,Mount St. Mary's,W,77,69,22,51,.431,9,26,.346,24,29,.828,6,28,14,15,1,15,17,,26,57,.456,4,21,.190,13,17,.765,12,35,15,11,2,19,22,2025,loyola-md
39322,10,2024-12-21,,Hampton,L,68,76,25,54,.463,5,16,.313,13,21,.619,10,30,11,2,2,11,22,,22,56,.393,3,15,.200,29,35,.829,11,33,8,7,3,9,23,2025,loyola-md
39323,11,2024-12-28,@,DePaul,L,65,84,24,54,.444,6,17,.353,11,20,.550,6,28,15,4,5,14,17,,31,69,.449,5,24,.208,17,23,.739,15,46,20,6,2,7,17,2025,loyola-md
39324,12,2025-01-02,@,Holy Cross,L,72,74,24,60,.400,7,19,.368,17,20,.850,11,37,14,4,1,9,14,,27,54,.500,11,23,.478,9,13,.692,3,28,16,5,6,8,12,2025,loyola-md
39325,13,2025-01-05,,Lehigh,W,80,74,25,52,.481,3,13,.231,27,33,.818,9,37,9,7,3,13,19,,24,60,.400,10,24,.417,16,22,.727,7,26,8,9,0,11,25,2025,loyola-md
39326,14,2025-01-08,@,Army,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,loyola-md
39327,15,2025-01-11,,Navy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,loyola-md
