,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39376,1,2024-11-04,@,Duke,L,62,96,21,57,.368,3,14,.214,17,18,.944,6,24,4,9,0,13,19,,35,63,.556,11,29,.379,15,20,.750,10,39,17,10,3,12,18,2025,maine
39377,2,2024-11-06,,Maine-Fort Kent,W,98,47,33,64,.516,5,22,.227,27,33,.818,16,54,19,7,8,12,13,,16,75,.213,7,29,.241,8,16,.500,16,33,10,5,1,12,23,2025,maine
39378,3,2024-11-10,@,Brown,W,69,67,27,58,.466,4,14,.286,11,15,.733,6,28,10,7,5,13,21,,23,51,.451,7,20,.350,14,27,.519,7,29,10,7,2,13,14,2025,maine
39379,4,2024-11-15,@,Quinnipiac,L,55,58,22,61,.361,7,27,.259,4,8,.500,14,35,10,10,2,17,11,,25,58,.431,4,21,.190,4,6,.667,9,34,10,13,3,13,12,2025,maine
39380,5,2024-11-20,@,Richmond,L,66,70,21,58,.362,6,30,.200,18,23,.783,7,29,7,9,1,6,20,,21,47,.447,8,20,.400,20,25,.800,6,39,13,4,0,14,17,2025,maine
39381,6,2024-11-24,,Holy Cross,W,80,55,32,62,.516,9,24,.375,7,8,.875,5,31,21,8,1,9,13,,21,60,.350,3,20,.150,10,10,1.000,10,29,10,5,0,14,10,2025,maine
39382,7,2024-11-29,N,Elon,W,69,56,26,59,.441,7,22,.318,10,11,.909,7,26,21,11,2,7,15,,18,48,.375,6,24,.250,14,18,.778,9,31,12,5,5,18,12,2025,maine
39383,8,2024-11-30,@,Penn,L,64,77,27,57,.474,6,14,.429,4,5,.800,3,19,18,7,2,8,17,,25,54,.463,6,18,.333,21,24,.875,10,35,14,6,0,13,8,2025,maine
39384,9,2024-12-01,N,Navy,W,71,66,27,51,.529,4,12,.333,13,17,.765,4,23,14,10,3,12,15,,25,54,.463,6,17,.353,10,15,.667,8,27,12,6,2,14,13,2025,maine
39385,10,2024-12-03,,Maine-Augusta,W,103,51,44,79,.557,10,23,.435,5,6,.833,13,42,34,17,4,8,10,,19,53,.358,5,17,.294,8,10,.800,4,26,10,6,6,23,11,2025,maine
39386,11,2024-12-08,@,Fordham,L,72,87,26,66,.394,3,12,.250,17,19,.895,7,28,11,9,1,13,17,,31,61,.508,9,19,.474,16,25,.640,12,42,19,10,5,14,17,2025,maine
39387,12,2024-12-11,@,Duquesne,W,61,56,22,48,.458,4,9,.444,13,16,.813,8,24,8,13,4,14,13,,20,58,.345,11,26,.423,5,11,.455,17,36,13,7,5,18,16,2025,maine
39388,13,2024-12-14,@,Canisius,W,84,79,33,53,.623,7,16,.438,11,16,.688,5,26,21,2,1,8,11,,29,54,.537,9,21,.429,12,14,.857,3,18,16,6,2,6,12,2025,maine
39389,14,2024-12-21,@,Stony Brook,L,72,74,25,55,.455,12,27,.444,10,13,.769,8,24,19,10,3,10,16,,23,49,.469,7,14,.500,21,22,.955,7,29,12,7,1,12,14,2025,maine
39390,15,2024-12-29,,Boston University,L,56,59,18,48,.375,5,16,.313,15,22,.682,3,22,13,7,5,8,20,,20,48,.417,7,21,.333,12,20,.600,8,35,15,4,1,13,19,2025,maine
39391,16,2025-01-04,@,Bryant,L,55,81,18,53,.340,5,17,.294,14,20,.700,3,21,8,9,1,14,17,,31,62,.500,10,26,.385,9,14,.643,15,45,20,8,6,18,16,2025,maine
39392,17,2025-01-09,,Binghamton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maine
