,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39440,1,2024-11-04,@,Harvard,L,66,79,26,63,.413,8,20,.400,6,10,.600,8,23,10,10,1,8,14,,30,48,.625,7,17,.412,12,16,.750,5,27,12,6,3,12,15,2025,marist
39441,2,2024-11-09,@,Richmond,W,79,72,26,60,.433,14,28,.500,13,17,.765,10,35,12,2,2,10,21,,20,51,.392,8,22,.364,24,31,.774,8,33,9,6,5,10,18,2025,marist
39442,3,2024-11-15,,Army,W (1 OT),91,88,35,65,.538,9,25,.360,12,18,.667,12,33,19,6,4,11,15,,34,64,.531,11,25,.440,9,16,.563,8,24,16,4,1,9,19,2025,marist
39443,4,2024-11-19,,Dartmouth,W,75,62,28,59,.475,8,25,.320,11,19,.579,6,35,17,7,4,11,14,,23,61,.377,8,30,.267,8,10,.800,7,30,8,9,1,11,17,2025,marist
39444,5,2024-11-23,,New Hampshire,W,54,49,18,43,.419,4,19,.211,14,21,.667,3,29,9,3,6,10,13,,17,53,.321,5,19,.263,10,12,.833,8,31,7,4,3,11,16,2025,marist
39445,6,2024-11-30,@,Lehigh,L,69,74,28,66,.424,7,25,.280,6,8,.750,7,32,8,5,3,4,21,,26,53,.491,5,12,.417,17,25,.680,4,31,15,2,1,8,15,2025,marist
39446,7,2024-12-06,,Mount St. Mary's,W,53,50,22,54,.407,7,23,.304,2,4,.500,8,29,10,7,2,15,11,,20,55,.364,3,17,.176,7,11,.636,10,33,11,7,1,13,10,2025,marist
39447,8,2024-12-08,@,Manhattan,W,82,75,32,60,.533,6,18,.333,12,12,1.000,10,33,16,6,2,13,14,,28,61,.459,7,21,.333,12,17,.706,10,25,13,9,4,12,16,2025,marist
39448,9,2024-12-17,@,Stony Brook,W,68,66,28,61,.459,8,24,.333,4,10,.400,12,30,18,8,2,7,15,,20,45,.444,8,23,.348,18,22,.818,5,26,7,3,3,10,14,2025,marist
39449,10,2024-12-21,,UMBC,W (1 OT),76,73,29,64,.453,3,16,.188,15,20,.750,14,46,10,8,5,11,14,,25,61,.410,12,29,.414,11,16,.688,8,30,14,7,6,13,14,2025,marist
39450,11,2024-12-29,,Binghamton,W,69,51,28,56,.500,7,16,.438,6,9,.667,6,39,16,7,4,12,13,,18,59,.305,5,20,.250,10,21,.476,8,27,9,7,1,8,7,2025,marist
39451,12,2025-01-03,@,Iona,W,70,65,24,48,.500,7,17,.412,15,19,.789,5,27,18,7,3,20,19,,20,60,.333,7,20,.350,18,24,.750,10,29,17,13,1,16,20,2025,marist
39452,13,2025-01-05,,Quinnipiac,W,69,62,25,58,.431,6,20,.300,13,19,.684,7,39,14,10,5,13,12,,22,59,.373,9,23,.391,9,15,.600,8,36,7,11,5,15,19,2025,marist
39453,14,2025-01-12,,Fairfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,marist
39454,15,2025-01-16,@,St. Peter's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,marist
39455,16,2025-01-18,,Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,marist
39456,17,2025-01-23,@,Niagara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,marist
39457,18,2025-01-25,@,Canisius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,marist
39458,19,2025-01-31,,Siena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,marist
39459,20,2025-02-06,@,Fairfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,marist
39460,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,marist
39461,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,marist
39462,21,2025-02-08,,Iona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,marist
39463,22,2025-02-14,@,Siena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,marist
39464,23,2025-02-16,@,Merrimack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,marist
39465,24,2025-02-21,,Canisius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,marist
39466,25,2025-02-23,,Niagara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,marist
39467,26,2025-02-28,@,Sacred Heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,marist
39468,27,2025-03-02,,St. Peter's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,marist
39469,28,2025-03-06,,Merrimack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,marist
39470,29,2025-03-08,@,Mount St. Mary's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,marist
